StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q15,Q17,Q19,Q10,Q5,Q9,Q11,Q10,Q12,Q20,Q21,Q22,Q11
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter the subject ID you selected for yourself,Please select your age group,Please specify your gender,Please specify your dominant hand,I think that I would like to use this system frequently,I found the system unnecessarily complex,I thought the system was easy to use,I think that I would need the support of a technical person to be able to use this system,I found the various functions in this system were well integrated,I thought there was too much inconsistency in this system,I would imagine that most people would learn to use this system very quickly,I found the system very cumbersome to use,I felt very confident using the system,I needed to learn a lot of things before I could get going with this system
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103""}","{""ImportId"":""QID104""}","{""ImportId"":""QID98""}","{""ImportId"":""QID172807697""}","{""ImportId"":""QID172807701""}","{""ImportId"":""QID172807686""}","{""ImportId"":""QID172807685""}","{""ImportId"":""QID100""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID99""}"
2019-07-21 17:47:26,2019-07-21 17:49:04,IP Address,216.165.95.171,100,97,True,2019-07-21 17:49:04,R_DAB8u6usMVU4lQR,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,312,25-34,Male,Right,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-07-22 07:49:34,2019-07-22 07:51:01,IP Address,216.165.95.177,100,87,True,2019-07-22 07:51:01,R_3R3JCjt16egDAmK,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,6219,35-44,Female,Left,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree
2019-07-22 08:15:54,2019-07-22 08:17:06,IP Address,216.165.95.177,100,72,True,2019-07-22 08:17:07,R_b1KCtiFkn5TW56p,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3581,25-34,Female,Right,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
2019-07-22 09:45:57,2019-07-22 09:48:26,IP Address,216.165.95.177,100,148,True,2019-07-22 09:48:26,R_1IWVYCVgZqZFSb8,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3380,45-54,Male,Right,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-07-22 10:16:18,2019-07-22 10:17:46,IP Address,216.165.95.177,100,87,True,2019-07-22 10:17:46,R_30tUJzPXrzh0qwz,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,6525,18-24,Male,Right,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
2019-07-22 10:41:35,2019-07-22 10:43:50,IP Address,216.165.95.177,100,135,True,2019-07-22 10:43:50,R_DjXiz6AqfHkPtZv,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3409,18-24,Male,Both,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree
2019-07-22 13:25:59,2019-07-22 13:27:09,IP Address,216.165.95.146,100,69,True,2019-07-22 13:27:10,R_UbUHikn0cUOWaNb,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,5837,25-34,Male,Right,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
2019-07-22 14:25:13,2019-07-22 14:26:59,IP Address,216.165.95.146,100,106,True,2019-07-22 14:27:00,R_2SoX3rZMHICR4cW,,,,,40.73590087890625,-73.9904022216796875,anonymous,EN,3689,55-64,Male,Right,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree
