Sensor,Axis,Angle,Mean,Error,Error^2,abs error,,,,,,,,
LF,X,-80,-81.06923077,-1.06923077,1.14325444,1.06923077,,,,,,,,
LF,X,-60,-61.60357143,-1.60357143,2.571441331,1.60357143,,,,,,,,
LF,X,-40,-40.95333333,-0.95333333,0.908844438,0.95333333,,,,,,,,
LF,X,-20,-22.62695652,-2.62695652,6.900900558,2.62695652,,,,,,,,
LF,X,0,0,0,0,0,,,,,,,,
LF,X,20,21.03238095,1.03238095,1.065810426,1.03238095,,,,,,,,
LF,X,40,41.4395,1.4395,2.07216025,1.4395,,,,,,,,accuracy
LF,X,60,61.41882353,1.41882353,2.013060209,1.41882353,,,,,LF,124.0439578,27,1.895842995
LF,X,80,82.43571429,2.43571429,5.932704103,2.43571429,,,,,RF,133.3352607,27,1.984525885
LF,Y,-80,-84.76,-4.76,22.6576,4.76,,,,,LA,209.6966933,27,2.601258195
LF,Y,-60,-63.745,-3.745,14.025025,3.745,,,,,RA,182.8519173,27,2.402559725
LF,Y,-40,-44.03,-4.03,16.2409,4.03,,,,,,,,
LF,Y,-20,-22.94285714,-2.94285714,8.660408146,2.94285714,,,,,,,,
LF,Y,0,0,0,0,0,,,,,,,,
LF,Y,20,21.87238095,1.87238095,3.505810422,1.87238095,,,,,,,,
LF,Y,40,42.46210526,2.46210526,6.061962311,2.46210526,,,,,,,,
LF,Y,60,64.08181818,4.08181818,16.66123965,4.08181818,,,,,,,,
LF,Y,80,82.46615385,2.46615385,6.081914812,2.46615385,,,,,,,,
LF,Z,-80,-81.59266667,-1.59266667,2.536587122,1.59266667,,,,,,,,
LF,Z,-60,-60.46117647,-0.46117647,0.212683736,0.46117647,,,,,,,,
LF,Z,-40,-41.20071429,-1.20071429,1.441714806,1.20071429,,,,,,,,
LF,Z,-20,-20.77608696,-0.77608696,0.602310969,0.77608696,,,,,,,,
LF,Z,0,0,0,0,0,,,,,,,,
LF,Z,20,20.87761905,0.87761905,0.770215197,0.87761905,,,,,,,,
LF,Z,40,40.86736842,0.86736842,0.752327976,0.86736842,,,,,,,,
LF,Z,60,60.62875,0.62875,0.395326562,0.62875,,,,,,,,
LF,Z,80,80.91090909,0.91090909,0.82975537,0.91090909,1.312687919,1.713152487,0.766241142,,,,,
RF,X,-80,-81.95692308,-1.95692308,3.829547941,1.95692308,,,,,,,,
RF,X,-60,-61.98357143,-1.98357143,3.934555618,1.98357143,,,,,,,,
RF,X,-40,-41.62722222,-1.62722222,2.647852153,1.62722222,,,,,,,,
RF,X,-20,-21.24434783,-1.24434783,1.548401522,1.24434783,,,,,,,,
RF,X,0,0,0,0,0,,,,,,,,
RF,X,20,21.32952381,1.32952381,1.767633561,1.32952381,,,,,,,,
RF,X,40,41.76,1.76,3.0976,1.76,,,,,,,,
RF,X,60,61.42411765,1.42411765,2.028111081,1.42411765,,,,,,,,
RF,X,80,84.59538462,4.59538462,21.11755981,4.59538462,,,,,,,,
RF,Y,-80,-84.692,-4.692,22.014864,4.692,,,,,,,,
RF,Y,-60,-64.22875,-4.22875,17.88232656,4.22875,,,,,,,,
