Axis	IMU	Angle	Average	Count
X	A	-20	-21.24416667	12
X	A	-40	-41.648	10
X	A	-60	-61.554	10
X	A	-80	-83.1725	8
X	A	20	21.58545455	11
X	A	40	40.0025	8
X	A	60	59.53714286	7
X	A	80	79.4375	8
Y	A	-20	-21.32777778	9
Y	A	-40	-40.43875	8
Y	A	-60	-59.25375	8
Y	A	-80	-81.31	7
Y	A	20	24.673	10
Y	A	40	43.35111111	9
Y	A	60	65.368	10
Y	A	80	81.16	5
Z	A	-20	-20.82928571	14
Z	A	-40	-42.01818182	11
Z	A	-60	-60.64454545	11
Z	A	-80	-80.70727273	11
Z	A	20	25.36	12
Z	A	40	42.22277778	18
Z	A	60	62.65090909	11
Z	A	80	81.12666667	9
X	B	-20	-21.09833333	12
X	B	-40	-40.921	10
X	B	-60	-61.468	10
X	B	-80	-82.155	8
X	B	20	21.79272727	11
X	B	40	39.9025	8
X	B	60	60.73166667	6
X	B	80	81.03625	8
Y	B	-20	-20.899	10
Y	B	-40	-40.614	10
Y	B	-60	-60.81875	8
Y	B	-80	-80.86	7
Y	B	20	21.919	10
Y	B	40	45.90333333	9
Y	B	60	66.427	10
Y	B	80	80.974	5
Z	B	-20	-21.58142857	14
Z	B	-40	-40.83090909	11
Z	B	-60	-61.78545455	11
Z	B	-80	-81.44454545	11
Z	B	20	21.68	11
Z	B	40	42.31277778	18
Z	B	60	62.39583333	12
Z	B	80	82.44333333	9
X	C	-20	-21.62833333	12
X	C	-40	-40.84	10
X	C	-60	-61.342	10
X	C	-80	-87.98125	8
X	C	20	22.703	10
X	C	40	40.96	8
X	C	60	61.405	6
X	C	80	82.29875	8
Y	C	-20	-21.387	10
Y	C	-40	-41.06375	8
Y	C	-60	-61.44222222	9
Y	C	-80	-80.89714286	7
Y	C	20	22.471	10
Y	C	40	42.61777778	9
Y	C	60	64.677	10
Y	C	80	81.148	5
Z	C	-20	-21.06928571	14
Z	C	-40	-41.38818182	11
Z	C	-60	-60.98181818	11
Z	C	-80	-81.18545455	11
Z	C	20	24.28090909	11
Z	C	40	42.45333333	18
Z	C	60	62.33181818	11
Z	C	80	80.79777778	9
X	D	-20	-23.83833333	12
X	D	-40	-49.835	10
X	D	-60	-67.527	10
X	D	-80	-88.56625	8
X	D	20	22.703	10
X	D	40	37.13444444	9
X	D	60	54.92142857	7
X	D	80	78.65375	8
Y	D	-20	-19.46555556	9
Y	D	-40	-36.23	9
Y	D	-60	-53.28333333	9
Y	D	-80	-72.66857143	7
Y	D	20	23.821	10
Y	D	40	45.12555556	9
Y	D	60	69.61	10
Y	D	80	86.79	5
Z	D	-20	-21.465	14
Z	D	-40	-43.71272727	11
Z	D	-60	-63.88818182	11
Z	D	-80	-86.05909091	11
Z	D	20	21.66727273	11
Z	D	40	39.42666667	18
Z	D	60	57.32909091	11
Z	D	80	76.46111111	9
				10
