Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,157.67,-43.01,172.55,-25.37,666.00,91.17,27.16,90.00,90.00,6.56,136.99,22.42,-154.64,666.00,-88.83,20.02,104.04,-180.00
0.23,171.07,-43.01,175.62,-25.37,666.00,91.17,14.34,90.00,90.00,6.87,136.99,22.13,-154.64,666.00,-88.83,17.86,104.04,-180.00
0.36,167.82,-43.01,176.87,-25.37,666.00,91.17,16.98,90.00,90.00,6.97,136.99,22.29,-154.64,84.70,-88.83,44.25,104.04,-180.00
0.50,142.21,-43.01,157.38,-25.37,68.91,91.17,42.35,90.00,90.00,6.59,136.99,21.99,-154.64,666.00,-88.83,12.28,104.04,-180.00
0.63,104.65,-43.01,120.32,-25.37,-42.10,91.17,47.61,90.00,90.00,2.12,136.99,21.71,-154.64,666.00,-88.83,14.36,104.04,-180.00
0.76,46.04,-43.01,37.18,-25.37,-143.12,91.17,61.17,90.00,90.00,0.61,136.99,21.58,-154.64,666.00,-88.83,22.23,104.04,-180.00
0.90,24.37,-43.01,18.56,-25.37,666.00,91.17,23.89,90.00,90.00,-1.01,136.99,22.58,-154.64,666.00,-88.83,25.00,104.04,-180.00
1.03,2.44,-43.01,11.85,-25.37,666.00,91.17,3.75,90.00,90.00,-2.72,136.99,22.40,-154.64,67.25,-88.83,35.26,104.04,-180.00
1.26,-10.31,-43.01,15.51,-25.37,666.00,91.17,3.78,90.00,90.00,-1.26,136.99,17.65,-154.64,666.00,-88.83,11.45,104.04,-180.00
1.38,-13.52,-43.01,15.78,-25.37,666.00,91.17,4.29,90.00,90.00,-0.05,136.99,15.54,-154.64,666.00,-88.83,9.20,104.04,-180.00
1.51,-9.85,-43.01,13.47,-25.37,666.00,91.17,9.95,90.00,90.00,1.45,136.99,15.24,-154.64,666.00,-88.83,19.93,104.04,-180.00
1.64,-1.38,-43.01,10.84,-25.37,666.00,91.17,25.89,90.00,90.00,2.55,136.99,15.97,-154.64,666.00,-88.83,19.84,104.04,-180.00
1.77,17.85,-43.01,10.90,-25.37,-160.40,91.17,41.54,90.00,90.00,3.04,136.99,15.88,-154.64,666.00,-88.83,20.21,104.04,-180.00
1.89,44.54,-43.01,24.51,-25.37,-169.06,91.17,55.97,90.00,90.00,-0.20,136.99,17.64,-154.64,666.00,-88.83,25.04,104.04,-180.00
2.03,98.42,-43.01,111.30,-25.37,-27.66,91.17,41.50,90.00,90.00,-3.41,136.99,21.08,-154.64,64.70,-88.83,32.82,104.04,-180.00
2.16,123.97,-43.01,146.06,-25.37,67.36,91.17,32.92,90.00,90.00,-1.78,136.99,22.01,-154.64,69.66,-88.83,31.22,104.04,-180.00
2.29,138.32,-43.01,152.74,-25.37,80.41,91.17,32.41,90.00,90.00,-0.59,136.99,21.62,-154.64,74.20,-88.83,31.04,104.04,-180.00
2.43,151.01,-43.01,158.10,-25.37,90.20,91.17,34.65,90.00,90.00,-1.40,136.99,22.79,-154.64,74.30,-88.83,32.67,104.04,-180.00
2.56,154.81,-43.01,175.21,-25.37,666.00,91.17,20.49,90.00,90.00,-2.25,136.99,23.82,-154.64,67.20,-88.83,38.15,104.04,-180.00
2.70,161.77,-43.01,176.65,-25.37,666.00,91.17,19.40,90.00,90.00,-2.07,136.99,24.68,-154.64,71.29,-88.83,48.11,104.04,-180.00
2.84,168.90,-43.01,178.71,-25.37,666.00,91.17,15.80,90.00,90.00,-2.15,136.99,25.79,-154.64,65.41,-88.83,43.42,104.04,-180.00
2.97,166.75,-43.01,179.94,-25.37,666.00,91.17,12.33,90.00,90.00,-2.09,136.99,26.36,-154.64,62.99,-88.83,40.58,104.04,-180.00
3.25,130.96,-43.01,147.96,-25.37,70.33,91.17,45.85,90.00,90.00,-0.10,136.99,23.98,-154.64,68.45,-88.83,35.32,104.04,-180.00
3.42,95.66,-43.01,103.19,-25.37,-27.15,91.17,52.99,90.00,90.00,-1.47,136.99,21.72,-154.64,666.00,-88.83,11.07,104.04,-180.00
3.56,33.24,-43.01,29.06,-25.37,-155.73,91.17,48.84,90.00,90.00,-1.85,136.99,21.41,-154.64,666.00,-88.83,14.46,104.04,-180.00
