Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
2.80,14.11,-85.70,19.15,-83.55,-42.14,98.35,49.97,90.00,-180.00,5.92,-85.70,20.59,83.55,666.00,81.65,25.67,0.00,-90.00
3.18,17.19,-85.70,22.98,-83.55,-52.30,98.35,46.79,90.00,-180.00,17.91,-85.70,12.71,83.55,666.00,81.65,20.32,0.00,-90.00
3.48,4.08,-85.70,17.74,-83.55,-0.41,98.35,135.99,90.00,-180.00,5.84,-85.70,10.13,83.55,666.00,81.65,13.98,0.00,-90.00
3.68,2.19,-85.70,16.06,-83.55,35.67,98.35,119.87,90.00,-180.00,0.99,-85.70,12.00,83.55,666.00,81.65,16.42,0.00,-90.00
3.82,4.90,-85.70,5.55,-83.55,42.77,98.35,109.24,90.00,-180.00,2.31,-85.70,12.35,83.55,666.00,81.65,12.13,0.00,-90.00
4.00,47.35,-85.70,-25.79,-83.55,-75.16,98.35,154.41,90.00,-180.00,-2.47,-85.70,20.30,83.55,11.47,81.65,31.02,0.00,-90.00
4.13,42.87,-85.70,-19.58,-83.55,150.35,98.35,168.90,90.00,-180.00,-0.98,-85.70,19.79,83.55,22.17,81.65,35.54,0.00,-90.00
4.52,28.65,-85.70,-7.04,-83.55,147.15,98.35,140.46,90.00,-180.00,0.31,-85.70,15.29,83.55,666.00,81.65,23.95,0.00,-90.00
4.65,19.76,-85.70,-7.77,-83.55,173.15,98.35,70.40,90.00,-180.00,1.52,-85.70,20.01,83.55,666.00,81.65,23.93,0.00,-90.00
4.78,22.46,-85.70,-1.96,-83.55,160.11,98.35,88.41,90.00,-180.00,3.30,-85.70,21.31,83.55,32.07,81.65,30.90,0.00,-90.00
4.94,17.34,92.08,-4.05,96.40,-167.67,80.04,105.53,90.00,180.00,-1.56,92.08,22.82,-96.40,32.58,99.96,43.52,0.00,-90.00
5.08,14.48,-85.70,-7.04,-83.55,-169.31,98.35,97.94,90.00,-180.00,-4.77,-85.70,21.67,83.55,27.84,81.65,45.01,0.00,-90.00
5.21,12.11,-85.70,-7.46,-83.55,-169.25,98.35,99.83,90.00,-180.00,-7.17,-85.70,20.37,83.55,25.76,81.65,47.75,0.00,-90.00
5.34,5.04,-85.70,-3.81,-83.55,-163.36,98.35,112.11,90.00,-180.00,-6.43,-85.70,18.75,83.55,27.55,81.65,42.21,0.00,-90.00
5.48,-0.22,-85.70,-0.92,-83.55,16.17,98.35,118.68,90.00,-180.00,-4.59,-85.70,18.92,83.55,33.77,81.65,38.64,0.00,-90.00
5.61,-10.75,-85.70,5.44,-83.55,171.58,98.35,129.42,90.00,-180.00,-2.44,-85.70,18.35,83.55,41.36,81.65,37.85,0.00,-90.00
5.75,-9.79,-85.70,4.23,-83.55,179.01,98.35,114.44,90.00,-180.00,-1.41,-85.70,19.13,83.55,46.38,81.65,39.11,0.00,-90.00
5.87,6.07,-85.70,11.73,-83.55,24.51,98.35,75.04,90.00,-180.00,-1.48,-85.70,19.48,83.55,47.81,81.65,41.29,0.00,-90.00
6.00,-15.22,-85.70,3.07,-83.55,-166.49,98.35,34.84,90.00,-180.00,6.71,-85.70,18.58,83.55,70.72,81.65,41.62,0.00,-90.00
6.13,-19.36,-85.70,9.77,-83.55,-175.05,98.35,57.18,90.00,-180.00,5.20,-85.70,14.69,83.55,73.26,81.65,41.56,0.00,-90.00
6.26,-25.70,-85.70,7.99,-83.55,164.41,98.35,95.04,90.00,-180.00,4.90,-85.70,6.40,83.55,666.00,81.65,28.61,0.00,-90.00
6.40,27.98,-85.70,12.52,-83.55,173.20,98.35,139.95,90.00,-180.00,1.99,-85.70,6.08,83.55,67.62,81.65,32.87,0.00,-90.00
6.53,22.68,-85.70,11.22,-83.55,166.31,98.35,145.83,90.00,-180.00,-0.38,-85.70,4.74,83.55,74.28,81.65,37.16,0.00,-90.00
6.67,57.02,-85.70,34.92,-83.55,3.52,98.35,42.01,90.00,-180.00,1.03,-85.70,27.56,83.55,666.00,81.65,20.27,0.00,-90.00
6.80,55.75,-85.70,14.12,-83.55,666.00,98.35,23.07,90.00,-180.00,11.02,-85.70,30.86,83.55,666.00,81.65,22.48,0.00,-90.00
