Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.11,22.73,49.56,38.32,78.29,21.46,-13.64,126.80,3.83,-82.48,15.42,-87.58,25.42,85.83,66.27,-5.83,133.93,74.30,-0.76
0.24,21.37,49.56,33.47,78.29,26.45,-13.64,126.04,3.83,-82.48,13.49,-87.58,25.28,85.83,66.62,-5.83,133.68,74.30,-0.76
0.38,20.74,49.56,33.84,78.29,26.77,-13.64,127.80,3.83,-82.48,13.35,-87.58,25.33,85.83,63.38,-5.83,128.81,74.30,-0.76
0.61,19.43,49.56,34.25,78.29,26.99,-13.64,129.47,3.83,-82.48,12.83,-87.58,25.24,85.83,64.19,-5.83,131.10,74.30,-0.76
0.75,18.59,49.56,36.24,78.29,27.01,-13.64,131.42,3.83,-82.48,13.03,-87.58,23.84,85.83,63.93,-5.83,132.95,74.30,-0.76
0.99,17.56,49.56,38.18,78.29,25.97,-13.64,132.91,3.83,-82.48,12.64,-87.58,23.92,85.83,64.04,-5.83,133.16,74.30,-0.76
1.13,17.76,49.56,38.62,78.29,25.70,-13.64,132.91,3.83,-82.48,12.60,-87.58,23.80,85.83,64.07,-5.83,133.90,74.30,-0.76
1.26,17.02,49.56,40.66,78.29,24.10,-13.64,133.24,3.83,-82.48,11.39,-87.58,23.87,85.83,64.95,-5.83,134.19,74.30,-0.76
1.40,14.53,49.56,40.57,78.29,24.33,-13.64,135.35,3.83,-82.48,11.22,-87.58,23.84,85.83,65.61,-5.83,134.28,74.30,-0.76
1.53,15.28,49.56,40.97,78.29,23.36,-13.64,135.21,3.83,-82.48,11.52,-87.58,24.09,85.83,65.56,-5.83,134.15,74.30,-0.76
1.66,16.29,49.56,41.24,78.29,22.63,-13.64,135.06,3.83,-82.48,12.16,-87.58,24.21,85.83,65.24,-5.83,134.12,74.30,-0.76
1.79,16.75,49.56,41.72,78.29,21.95,-13.64,135.04,3.83,-82.48,11.98,-87.58,24.21,85.83,65.36,-5.83,133.98,74.30,-0.76
1.92,17.13,49.56,41.83,78.29,21.41,-13.64,134.88,3.83,-82.48,12.37,-87.58,24.43,85.83,65.26,-5.83,133.90,74.30,-0.76
2.05,16.58,49.56,41.43,78.29,21.81,-13.64,135.21,3.83,-82.48,12.48,-87.58,24.51,85.83,65.21,-5.83,133.96,74.30,-0.76
2.17,15.45,49.56,40.91,78.29,22.56,-13.64,135.80,3.83,-82.48,12.40,-87.58,24.49,85.83,65.24,-5.83,133.98,74.30,-0.76
2.31,16.09,49.56,41.57,78.29,21.80,-13.64,135.46,3.83,-82.48,12.38,-87.58,24.58,85.83,65.27,-5.83,134.01,74.30,-0.76
2.45,15.64,49.56,41.25,78.29,22.10,-13.64,135.65,3.83,-82.48,12.41,-87.58,24.53,85.83,65.32,-5.83,134.50,74.30,-0.76
2.58,15.14,49.56,41.06,78.29,22.33,-13.64,135.74,3.83,-82.48,12.05,-87.58,24.71,85.83,65.37,-5.83,134.65,74.30,-0.76
2.71,15.19,49.56,41.30,78.29,22.07,-13.64,136.00,3.83,-82.48,12.29,-87.58,24.58,85.83,65.19,-5.83,134.29,74.30,-0.76
2.84,15.82,49.56,41.70,78.29,21.50,-13.64,135.90,3.83,-82.48,12.31,-87.58,24.61,85.83,65.17,-5.83,134.19,74.30,-0.76
2.97,15.85,49.56,41.62,78.29,21.56,-13.64,135.88,3.83,-82.48,12.34,-87.58,24.59,85.83,65.19,-5.83,134.11,74.30,-0.76
3.09,14.99,49.56,40.83,78.29,22.41,-13.64,136.10,3.83,-82.48,12.35,-87.58,24.69,85.83,65.20,-5.83,134.12,74.30,-0.76
3.22,15.51,49.56,41.26,78.29,21.87,-13.64,135.85,3.83,-82.48,12.52,-87.58,24.67,85.83,65.15,-5.83,134.12,74.30,-0.76
3.35,15.89,49.56,41.05,78.29,21.91,-13.64,135.57,3.83,-82.48,12.44,-87.58,24.73,85.83,65.49,-5.83,134.53,74.30,-0.76
3.48,15.79,49.56,41.16,78.29,21.80,-13.64,135.57,3.83,-82.48,12.48,-87.58,24.68,85.83,65.49,-5.83,134.34,74.30,-0.76
3.61,17.07,49.56,42.13,78.29,20.62,-13.64,135.11,3.83,-82.48,12.64,-87.58,24.61,85.83,65.61,-5.83,134.49,74.30,-0.76
3.74,16.79,49.56,42.04,78.29,20.65,-13.64,135.31,3.83,-82.48,12.57,-87.58,24.70,85.83,65.61,-5.83,134.28,74.30,-0.76
3.87,16.46,49.56,41.56,78.29,21.05,-13.64,135.20,3.83,-82.48,12.59,-87.58,24.76,85.83,65.83,-5.83,134.49,74.30,-0.76
4.00,16.98,49.56,41.98,78.29,20.52,-13.64,135.11,3.83,-82.48,12.48,-87.58,24.82,85.83,66.07,-5.83,134.70,74.30,-0.76
4.12,16.76,49.56,41.72,78.29,20.78,-13.64,134.99,3.83,-82.48,12.27,-87.58,24.97,85.83,66.04,-5.83,134.41,74.30,-0.76
4.25,16.58,49.56,41.66,78.29,20.83,-13.64,135.13,3.83,-82.48,12.18,-87.58,24.90,85.83,66.09,-5.83,134.25,74.30,-0.76
4.38,17.84,49.56,42.36,78.29,19.89,-13.64,134.86,3.83,-82.48,12.65,-87.58,24.82,85.83,66.00,-5.83,134.46,74.30,-0.76
4.51,16.62,49.56,41.37,78.29,21.02,-13.64,134.98,3.83,-82.48,12.44,-87.58,24.96,85.83,66.01,-5.83,134.30,74.30,-0.76
4.65,17.06,49.56,41.07,78.29,21.20,-13.64,134.49,3.83,-82.48,12.65,-87.58,24.95,85.83,65.84,-5.83,134.20,74.30,-0.76
4.79,17.54,49.56,41.58,78.29,20.67,-13.64,134.21,3.83,-82.48,12.53,-87.58,24.96,85.83,65.92,-5.83,134.47,74.30,-0.76
4.93,17.04,49.56,41.39,78.29,20.99,-13.64,134.65,3.83,-82.48,12.63,-87.58,24.92,85.83,65.80,-5.83,134.40,74.30,-0.76
5.08,18.08,49.56,41.80,78.29,20.40,-13.64,134.15,3.83,-82.48,12.66,-87.58,24.87,85.83,65.74,-5.83,134.44,74.30,-0.76
5.23,18.40,49.56,41.99,78.29,20.13,-13.64,134.24,3.83,-82.48,12.58,-87.58,24.99,85.83,65.71,-5.83,134.66,74.30,-0.76
5.37,18.41,49.56,41.73,78.29,20.39,-13.64,134.31,3.83,-82.48,12.79,-87.58,24.98,85.83,65.48,-5.83,134.80,74.30,-0.76
5.50,18.27,49.56,41.65,78.29,20.46,-13.64,134.42,3.83,-82.48,12.75,-87.58,25.03,85.83,65.38,-5.83,134.59,74.30,-0.76
5.63,18.15,49.56,41.52,78.29,20.64,-13.64,134.32,3.83,-82.48,12.77,-87.58,24.97,85.83,65.31,-5.83,134.40,74.30,-0.76
5.76,18.76,49.56,41.85,78.29,20.16,-13.64,134.05,3.83,-82.48,12.82,-87.58,24.97,85.83,65.49,-5.83,134.66,74.30,-0.76
5.89,18.73,49.56,42.08,78.29,19.93,-13.64,134.15,3.83,-82.48,12.74,-87.58,24.95,85.83,65.48,-5.83,134.36,74.30,-0.76
6.02,17.40,49.56,41.16,78.29,21.01,-13.64,134.20,3.83,-82.48,12.29,-87.58,25.10,85.83,65.84,-5.83,134.54,74.30,-0.76
6.15,18.15,49.56,41.84,78.29,20.28,-13.64,133.92,3.83,-82.48,12.44,-87.58,25.14,85.83,65.84,-5.83,134.52,74.30,-0.76
6.28,18.74,49.56,42.07,78.29,19.94,-13.64,133.87,3.83,-82.48,12.62,-87.58,24.97,85.83,65.82,-5.83,134.29,74.30,-0.76
