Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
17.28,10.84,34.59,17.51,-24.83,51.94,146.23,100.14,45.23,-17.09,4.40,20.20,12.90,-34.51,33.49,-78.89,53.11,76.00,-51.18
17.49,11.30,34.59,17.57,-24.83,-21.43,146.23,129.58,45.23,-17.09,3.28,20.01,14.48,-34.93,36.52,-78.26,52.79,78.41,-50.56
17.62,9.68,34.59,16.89,-24.83,-17.45,146.23,134.20,45.23,-17.09,7.00,20.44,10.44,-36.53,32.51,-77.52,38.67,79.92,-53.46
17.75,5.61,34.59,20.76,-24.83,2.49,146.23,131.74,45.23,-17.09,6.43,20.02,15.01,-36.39,35.48,-77.72,41.30,80.74,-54.75
17.88,3.33,34.59,22.22,-24.83,-11.91,146.23,134.91,45.23,-17.09,6.25,19.50,18.05,-35.80,40.23,-77.19,40.90,81.55,-55.96
18.01,1.52,34.59,18.64,-24.83,-5.62,146.23,138.57,45.23,-17.09,5.98,19.43,24.61,-35.63,54.97,-76.70,49.28,81.87,-56.11
18.15,-1.53,34.59,19.30,-24.83,-2.06,146.23,142.85,45.23,-17.09,4.75,19.08,26.97,-35.66,55.49,-77.39,50.56,82.26,-56.34
18.29,-4.74,34.59,19.48,-24.83,-3.76,146.23,148.63,45.23,-17.09,6.12,18.77,18.22,-35.55,45.60,-79.53,35.22,83.47,-51.41
18.42,-7.36,34.59,20.49,-24.83,18.63,146.23,139.33,45.23,-17.09,5.70,18.96,18.88,-34.19,42.39,-79.31,36.47,85.14,-51.48
18.55,-7.34,34.59,24.35,-24.83,8.55,146.23,152.79,45.23,-17.09,0.69,18.59,24.98,-33.73,27.72,-81.36,58.18,86.81,-50.66
18.68,-11.18,34.59,26.41,-24.83,11.97,146.23,148.91,45.23,-17.09,6.99,18.70,29.41,-33.10,42.99,-82.10,34.17,87.31,-51.57
18.82,-22.23,34.59,27.29,-24.83,-19.09,146.23,158.80,45.23,-17.09,1.18,18.78,26.89,-34.43,-47.46,-80.76,135.64,85.97,-51.90
18.95,-38.83,34.59,32.84,-24.83,-162.95,146.23,120.50,45.23,-17.09,4.98,18.88,24.23,-35.54,-61.30,-80.42,149.31,85.14,-52.08
