Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,8.89,8.04,15.16,-15.76,666.00,-56.44,20.08,27.88,-35.79,0.89,25.94,21.25,-26.78,59.47,89.73,32.87,55.31,-37.14
0.20,14.43,8.04,17.92,-15.76,666.00,-56.44,21.19,27.88,-35.79,3.35,25.94,27.29,-26.78,56.16,89.73,47.35,55.31,-37.14
0.33,19.10,8.04,17.23,-15.76,666.00,-56.44,20.42,27.88,-35.79,5.56,25.94,27.46,-26.78,79.57,89.73,42.02,63.50,124.44
0.46,29.72,8.04,11.74,-15.76,666.00,-56.44,14.21,27.88,-35.79,14.08,25.94,22.61,-26.78,-76.12,89.73,32.29,55.31,-37.14
0.59,32.93,8.04,13.76,-15.76,666.00,-56.44,20.31,27.88,-35.79,18.23,25.94,11.65,-26.78,666.00,89.73,17.65,55.31,-37.14
0.73,34.92,8.04,13.52,-15.76,666.00,-56.44,23.00,27.88,-35.79,15.98,25.94,12.35,-26.78,666.00,89.73,22.02,55.31,-37.14
0.86,35.79,8.04,12.65,-15.76,666.00,-56.44,23.25,27.88,-35.79,17.26,25.94,10.33,-26.78,666.00,89.73,20.63,55.31,-37.14
0.99,35.64,8.04,11.80,-15.76,666.00,-56.44,22.33,27.88,-35.79,21.97,25.94,11.56,-26.78,666.00,89.73,15.88,55.31,-37.14
1.13,34.53,8.04,7.52,-15.76,666.00,-56.44,26.51,27.88,-35.79,21.46,25.94,13.08,-26.78,666.00,89.73,16.66,55.31,-37.14
1.26,32.66,8.04,6.50,-15.76,666.00,-56.44,26.48,27.88,-35.79,21.62,25.94,13.15,-26.78,666.00,89.73,15.87,55.31,-37.14
1.39,31.64,8.04,7.89,-15.76,666.00,-56.44,26.53,27.88,-35.79,21.90,25.94,11.73,-26.78,666.00,89.73,16.28,55.31,-37.14
1.51,27.65,8.04,5.17,-15.76,666.00,-56.44,27.67,27.88,-35.79,22.07,25.94,11.95,-26.78,666.00,89.73,16.27,55.31,-37.14
1.64,28.13,8.04,5.96,-15.76,666.00,-56.44,24.98,27.88,-35.79,19.65,25.94,14.26,-26.78,666.00,89.73,16.54,55.31,-37.14
1.77,30.68,8.04,10.01,-15.76,666.00,-56.44,19.93,27.88,-35.79,13.79,25.94,20.97,-26.78,-83.99,89.73,30.86,55.31,-37.14
1.89,33.32,8.04,11.50,-15.76,666.00,-56.44,18.15,27.88,-35.79,13.86,25.94,22.10,-26.78,-77.83,89.73,31.97,55.31,-37.14
2.02,33.91,8.04,13.75,-15.76,666.00,-56.44,17.99,27.88,-35.79,14.21,25.94,23.43,-26.78,666.00,89.73,26.21,55.31,-37.14
2.15,33.34,8.04,14.68,-15.76,666.00,-56.44,18.91,27.88,-35.79,14.40,25.94,23.56,-26.78,-77.96,89.73,33.00,55.31,-37.14
2.27,32.68,8.04,14.97,-15.76,666.00,-56.44,19.10,27.88,-35.79,14.50,25.94,23.40,-26.78,666.00,89.73,26.10,55.31,-37.14
2.40,32.21,8.04,14.39,-15.76,666.00,-56.44,19.67,27.88,-35.79,14.95,25.94,23.67,-26.78,666.00,89.73,26.22,55.31,-37.14
2.53,32.06,8.04,14.09,-15.76,666.00,-56.44,19.84,27.88,-35.79,15.19,25.94,23.77,-26.78,666.00,89.73,27.36,55.31,-37.14
2.68,32.08,8.04,14.19,-15.76,666.00,-56.44,20.24,27.88,-35.79,15.61,25.94,23.59,-26.78,666.00,89.73,26.89,55.31,-37.14
2.80,32.24,8.04,14.05,-15.76,666.00,-56.44,21.76,27.88,-35.79,16.02,25.94,23.69,-26.78,-74.21,89.73,38.11,55.31,-37.14
2.93,32.85,8.04,10.98,-15.76,666.00,-56.44,19.81,27.88,-35.79,15.06,25.94,19.75,-26.78,-70.89,89.73,32.40,55.31,-37.14
3.06,31.86,8.04,8.60,-15.76,666.00,-56.44,18.61,27.88,-35.79,12.35,25.94,14.79,-26.78,666.00,89.73,29.08,55.31,-37.14
3.19,31.91,8.04,8.06,-15.76,666.00,-56.44,17.87,27.88,-35.79,13.40,25.94,17.07,-26.78,-70.27,89.73,31.10,55.31,-37.14
3.31,33.02,8.04,8.86,-15.76,666.00,-56.44,18.29,27.88,-35.79,13.29,25.94,17.36,-26.78,-72.59,89.73,32.34,55.31,-37.14
3.44,35.83,8.04,11.25,-15.76,666.00,-56.44,22.96,27.88,-35.79,13.60,25.94,17.83,-26.78,-73.61,89.73,32.40,55.31,-37.14
3.57,37.98,8.04,14.69,-15.76,666.00,-56.44,21.07,27.88,-35.79,14.96,25.94,19.34,-26.78,-73.12,89.73,31.08,55.31,-37.14
3.70,37.85,8.04,15.65,-15.76,666.00,-56.44,20.75,27.88,-35.79,15.38,25.94,18.20,-26.78,-71.70,89.73,32.05,55.31,-37.14
3.83,37.31,8.04,15.03,-15.76,666.00,-56.44,20.79,27.88,-35.79,16.60,25.94,18.23,-26.78,-68.09,89.73,30.40,55.31,-37.14
3.96,36.69,8.04,14.58,-15.76,666.00,-56.44,19.47,27.88,-35.79,17.21,25.94,19.15,-26.78,-68.54,89.73,32.67,55.31,-37.14
4.09,35.87,8.04,12.51,-15.76,666.00,-56.44,20.68,27.88,-35.79,17.02,25.94,19.57,-26.78,666.00,89.73,23.45,55.31,-37.14
4.21,34.32,8.04,9.43,-15.76,666.00,-56.44,20.55,27.88,-35.79,17.03,25.94,20.40,-26.78,-71.34,89.73,31.75,55.31,-37.14
4.35,34.46,8.04,8.44,-15.76,666.00,-56.44,19.45,27.88,-35.79,16.05,25.94,19.17,-26.78,-71.69,89.73,32.14,55.31,-37.14
4.47,35.85,8.04,6.78,-15.76,666.00,-56.44,21.77,27.88,-35.79,15.18,25.94,17.67,-26.78,666.00,89.73,26.12,55.31,-37.14
4.60,39.93,8.04,1.47,-15.76,666.00,-56.44,21.70,27.88,-35.79,14.53,25.94,15.38,-26.78,666.00,89.73,27.35,55.31,-37.14
4.73,41.12,8.04,4.19,-15.76,666.00,-56.44,23.32,27.88,-35.79,14.33,25.94,14.93,-26.78,666.00,89.73,21.68,55.31,-37.14
4.86,40.88,8.04,3.84,-15.76,666.00,-56.44,23.60,27.88,-35.79,13.92,25.94,15.08,-26.78,-68.57,89.73,30.13,55.31,-37.14
4.98,38.22,8.04,4.50,-15.76,666.00,-56.44,25.73,27.88,-35.79,11.80,25.94,16.48,-26.78,666.00,89.73,23.26,55.31,-37.14
