Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,10.86,8.04,68.67,-15.76,-35.20,-56.44,30.28,27.88,-35.79,2.25,25.94,15.80,-26.78,666.00,89.73,21.82,55.31,-37.14
0.20,22.95,8.04,76.89,-15.76,666.00,-56.44,23.47,27.88,-35.79,2.21,25.94,15.73,-26.78,666.00,89.73,21.07,55.31,-37.14
0.37,17.92,8.04,76.47,-15.76,666.00,-56.44,22.74,27.88,-35.79,1.62,25.94,15.61,-26.78,666.00,89.73,20.22,55.31,-37.14
0.50,-3.62,8.04,61.93,-15.76,-30.62,-56.44,37.38,27.88,-35.79,1.74,25.94,15.82,-26.78,666.00,89.73,20.93,55.31,-37.14
0.67,-8.48,8.04,34.73,-15.76,-8.77,-56.44,35.41,27.88,-35.79,2.28,25.94,15.75,-26.78,666.00,89.73,20.29,55.31,-37.14
0.80,-2.13,90.95,15.14,-90.68,5.55,172.33,38.19,6.48,115.61,2.16,25.94,16.20,-26.78,666.00,89.73,25.15,55.31,-37.14
0.94,0.77,8.04,3.36,-15.76,31.03,-56.44,61.02,27.88,-35.79,2.07,25.94,16.53,-26.78,25.13,89.73,45.04,55.31,-37.14
1.17,0.92,8.04,3.33,-15.76,666.00,-56.44,28.73,27.88,-35.79,6.76,25.94,17.08,-26.78,29.79,89.73,40.71,55.31,-37.14
1.30,1.22,8.04,4.09,-15.76,666.00,-56.44,29.23,27.88,-35.79,6.38,25.94,18.71,-26.78,33.15,89.73,40.67,55.31,-37.14
1.44,1.17,8.04,6.78,-15.76,666.00,-56.44,26.49,27.88,-35.79,6.61,25.94,16.26,-26.78,666.00,89.73,25.68,55.31,-37.14
1.67,0.40,8.04,7.96,-15.76,666.00,-56.44,24.61,27.88,-35.79,2.71,25.94,15.66,-26.78,666.00,89.73,20.36,55.31,-37.14
1.84,1.48,8.04,8.00,-15.76,666.00,-56.44,21.62,27.88,-35.79,-0.82,25.94,14.94,-26.78,666.00,89.73,19.33,55.31,-37.14
1.97,4.91,8.04,7.65,-15.76,666.00,-56.44,21.07,27.88,-35.79,-0.54,25.94,14.05,-26.78,666.00,89.73,20.65,55.31,-37.14
2.09,8.21,8.04,8.53,-15.76,666.00,-56.44,17.91,27.88,-35.79,-0.30,25.94,12.94,-26.78,666.00,89.73,21.71,55.31,-37.14
2.22,11.21,8.04,7.70,-15.76,666.00,-56.44,21.20,27.88,-35.79,1.18,25.94,12.55,-26.78,666.00,89.73,22.87,55.31,-37.14
2.34,12.32,8.04,7.52,-15.76,666.00,-56.44,22.37,27.88,-35.79,1.81,25.94,12.18,-26.78,666.00,89.73,23.22,55.31,-37.14
2.47,12.07,8.04,7.23,-15.76,666.00,-56.44,21.51,14.08,37.03,1.87,25.94,12.23,-26.78,666.00,89.73,22.59,55.31,-37.14
2.60,8.24,8.04,7.59,-15.76,666.00,-56.44,15.77,27.88,-35.79,1.49,25.94,12.63,-26.78,666.00,89.73,20.78,55.31,-37.14
2.72,4.84,8.04,7.37,-15.76,666.00,-56.44,19.68,27.88,-35.79,2.49,25.94,14.94,-26.78,666.00,89.73,21.99,55.31,-37.14
2.85,2.45,8.04,7.18,-15.76,666.00,-56.44,20.81,27.88,-35.79,4.04,25.94,16.89,-26.78,666.00,89.73,26.26,55.31,-37.14
2.97,0.53,8.04,9.00,-15.76,666.00,-56.44,21.72,27.88,-35.79,4.25,25.94,16.84,-26.78,666.00,89.73,27.21,55.31,-37.14
3.10,0.24,8.04,9.60,-15.76,666.00,-56.44,21.61,27.88,-35.79,4.61,25.94,15.99,-26.78,666.00,89.73,24.59,55.31,-37.14
3.22,1.52,8.04,9.39,-15.76,666.00,-56.44,20.99,27.88,-35.79,4.85,25.94,15.74,-26.78,666.00,89.73,25.01,55.31,-37.14
3.35,3.83,21.50,6.28,-2.57,666.00,45.38,23.18,27.88,-35.79,6.66,-14.85,17.54,-23.90,666.00,-23.16,24.51,55.31,-37.14
3.47,2.87,8.04,7.64,-15.76,666.00,-56.44,18.68,27.88,-35.79,7.17,25.94,17.80,-26.78,666.00,89.73,25.30,55.31,-37.14
3.60,2.34,8.04,8.80,-15.76,666.00,-56.44,22.30,27.88,-35.79,6.36,25.94,17.68,-26.78,666.00,89.73,24.60,55.31,-37.14
3.72,1.81,8.04,9.01,-15.76,666.00,-56.44,23.65,27.88,-35.79,7.14,25.94,9.62,-26.78,666.00,89.73,16.24,55.31,-37.14
3.85,2.40,8.04,7.90,-15.76,666.00,-56.44,23.47,27.88,-35.79,8.04,25.94,11.94,-26.78,666.00,89.73,15.56,55.31,-37.14
3.97,4.17,8.04,5.93,-15.76,666.00,-56.44,22.46,27.88,-35.79,13.46,25.94,14.64,-26.78,666.00,89.73,17.27,55.31,-37.14
4.10,4.49,8.04,5.57,-15.76,666.00,-56.44,22.64,27.88,-35.79,21.69,25.94,18.28,-26.78,666.00,89.73,26.23,55.31,-37.14
4.22,4.39,8.04,5.55,-15.76,666.00,-56.44,24.59,27.88,-35.79,28.71,25.94,20.06,-26.78,-171.14,89.73,31.57,55.31,-37.14
4.35,4.56,8.04,4.32,-15.76,666.00,-56.44,22.84,27.88,-35.79,45.00,25.94,32.51,-26.78,666.00,89.73,22.43,55.31,-37.14
4.47,4.10,8.04,4.20,-15.76,666.00,-56.44,22.19,27.88,-35.79,51.21,25.94,42.68,-26.78,-156.22,89.73,30.24,55.31,-37.14
4.60,3.57,8.04,4.26,-15.76,666.00,-56.44,21.21,27.88,-35.79,54.42,25.94,44.49,-26.78,-174.33,89.73,45.72,55.31,-37.14
4.72,3.53,8.04,2.96,-15.76,666.00,-56.44,21.19,27.88,-35.79,69.22,25.94,60.82,-26.78,-43.21,89.73,30.37,55.31,-37.14
4.85,3.21,8.04,3.54,-15.76,666.00,-56.44,21.74,27.88,-35.79,86.52,25.94,84.00,-26.78,666.00,89.73,25.80,55.31,-37.14
4.98,3.11,8.04,4.21,-15.76,666.00,-56.44,22.61,27.88,-35.79,91.15,25.94,92.44,-26.78,666.00,89.73,20.06,55.31,-37.14
