Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,7.08,13.16,14.34,-20.81,-25.29,38.00,145.07,132.65,7.57,-28.03,-55.07,21.08,27.05,-159.69,12.30,75.23,95.01,-99.18
0.19,7.31,12.92,14.76,-20.59,-23.20,38.09,144.13,132.13,8.86,-28.15,-54.83,21.03,26.91,-160.11,12.55,75.54,95.09,-99.80
0.32,12.45,10.36,15.42,-18.07,-11.57,37.90,128.86,128.49,9.30,-28.39,-54.82,20.21,27.21,-161.38,12.62,75.31,95.10,-99.89
0.45,1.07,6.56,6.63,-14.69,-5.72,38.37,101.39,122.16,9.57,-28.59,-54.82,19.29,26.76,-163.05,12.19,74.90,95.14,-99.71
0.58,2.57,54.24,6.03,34.38,-9.24,-114.34,52.97,63.34,111.59,-28.49,-54.76,19.17,27.25,-163.36,12.28,74.58,95.26,-99.72
0.71,-0.82,-2.56,6.10,-7.83,-7.51,45.43,37.72,68.54,-6.32,-28.13,-54.64,19.85,26.25,-163.62,12.29,73.99,95.41,-99.26
0.84,-2.58,-5.06,6.00,-8.05,666.00,46.36,24.23,52.02,-6.90,-28.42,-54.87,20.50,26.30,-164.32,12.00,73.59,95.14,-99.76
0.98,-3.93,70.16,5.67,45.29,666.00,170.43,15.78,28.34,123.51,-27.96,-55.01,20.47,26.12,-164.76,11.65,73.31,95.03,-99.84
1.11,-5.10,-13.46,5.39,-6.92,666.00,53.30,14.57,19.68,-11.37,-27.22,-54.44,20.34,26.80,-164.75,12.65,72.59,95.07,-100.43
1.24,-4.72,-12.05,5.49,-8.35,-6.87,48.92,31.62,33.24,-17.49,-26.53,-54.77,20.40,27.12,-164.13,12.19,72.12,95.02,-100.10
1.51,-2.38,-9.45,5.95,-10.05,-4.06,44.74,52.37,49.15,-15.56,-26.36,-54.62,19.83,27.30,-163.44,12.55,71.93,94.95,-100.19
1.64,2.12,-3.55,3.62,-11.28,-4.43,44.65,78.15,62.66,-14.76,-26.53,-54.73,19.31,26.66,-163.19,12.34,72.28,95.17,-99.98
1.78,7.54,66.22,2.53,41.58,173.97,-105.71,101.20,59.80,98.97,-26.95,-54.76,19.72,26.84,-163.25,12.24,72.72,95.08,-99.99
1.92,5.33,10.31,10.51,-18.29,-9.83,41.99,144.28,111.12,2.14,-27.30,-54.75,20.21,25.90,-162.31,11.98,73.75,95.02,-99.35
2.05,18.69,13.02,17.62,-20.82,175.59,40.54,143.75,123.52,6.40,-26.98,-54.77,21.27,26.63,-159.92,12.35,74.24,95.24,-99.34
2.18,4.26,46.87,13.58,25.17,-12.58,-115.85,152.25,130.02,168.18,-26.07,-54.83,22.16,26.14,-157.28,12.26,74.15,95.20,-99.24
2.31,3.77,12.49,13.85,-22.16,-13.09,39.65,153.10,133.89,10.12,-25.82,-54.84,22.07,26.99,-156.94,12.47,74.02,95.03,-99.67
2.44,4.09,12.08,15.14,-21.77,-27.40,39.76,148.61,133.53,10.05,-25.58,-54.96,21.92,26.86,-156.79,12.41,73.84,94.89,-99.79
2.58,8.80,46.24,16.67,26.09,-14.73,-114.01,134.87,114.78,156.73,-25.88,-54.96,21.26,26.86,-157.98,12.41,73.62,94.89,-99.79
2.71,-0.54,5.52,6.25,-14.50,-9.66,39.10,120.19,123.38,10.71,-26.54,-54.52,20.38,25.90,-159.98,12.41,73.56,94.78,-99.69
2.84,-2.45,-1.70,4.75,-8.98,0.96,40.24,59.82,89.79,1.15,-28.16,-54.34,19.63,24.93,-163.70,11.43,74.24,95.15,-99.52
3.09,-2.88,-2.74,5.10,-6.69,-8.21,43.54,47.35,72.32,-4.15,-28.13,-54.00,19.97,24.77,-164.12,11.63,74.07,95.14,-99.84
3.22,-3.10,-5.95,5.62,-7.71,-6.29,46.67,31.47,54.85,-5.03,-28.03,-53.89,20.44,24.62,-164.60,11.82,73.76,151.29,-114.14
3.35,-3.38,-8.62,5.14,-8.14,666.00,48.05,16.65,37.52,-4.36,-27.94,-54.04,20.41,24.72,-165.27,12.09,73.29,94.89,-100.60
3.48,-4.18,-11.80,4.76,-8.60,666.00,48.66,13.28,17.08,-7.50,-27.38,-53.97,20.30,24.89,-165.52,11.89,72.71,94.92,-100.57
3.61,-4.77,-13.71,4.76,-7.99,666.00,47.16,16.26,19.69,-7.27,-27.13,-54.38,20.25,25.67,-165.50,12.18,72.43,151.57,-113.86
3.74,-3.97,-9.83,4.45,-10.30,-9.37,42.82,37.51,12.10,93.01,-26.73,-54.50,20.34,25.43,-164.97,12.16,72.32,95.29,-100.18
3.98,-1.64,-7.71,3.60,-10.73,-7.34,41.82,68.66,49.95,-15.27,-26.91,-54.71,19.89,25.46,-164.67,12.31,72.49,95.23,-100.30
