Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,3.87,-2.39,11.44,-8.69,1.28,45.78,96.01,93.42,71.69,-28.31,-52.40,18.59,25.33,165.94,8.34,167.28,95.78,-102.57
0.24,8.45,-3.26,8.03,-9.48,177.19,46.25,77.51,102.22,-22.18,-28.53,-52.43,18.30,24.99,165.61,8.14,167.44,95.72,-102.40
0.37,6.41,-0.89,7.60,-12.46,-9.32,41.43,46.57,82.72,-44.51,-28.69,-52.94,19.03,25.81,164.49,8.51,167.64,95.65,-102.50
0.50,5.80,-1.67,7.38,-11.77,-8.38,45.20,31.84,63.49,-27.66,-27.91,-52.88,19.27,25.83,164.86,8.62,167.55,95.60,-102.67
0.62,3.90,-3.97,7.40,-11.91,666.00,44.29,20.46,50.23,-7.39,-27.59,-52.47,19.49,26.42,164.61,9.43,167.34,95.60,-102.67
0.76,2.72,-9.02,7.02,-11.48,666.00,46.38,14.73,27.40,2.94,-26.06,-52.38,18.79,26.41,165.19,9.77,166.99,95.60,-102.67
0.89,1.96,-10.04,6.79,-11.27,666.00,47.97,15.14,21.65,4.85,-25.69,-52.32,19.94,25.64,164.91,9.48,166.82,95.60,-102.67
1.01,1.12,-10.02,7.50,-11.32,666.00,48.55,14.83,21.00,3.66,-25.28,-52.32,20.07,25.14,164.13,9.00,166.53,95.60,-102.67
1.25,2.48,-9.70,7.24,-10.24,666.00,49.82,18.92,28.49,1.52,-25.75,-51.82,21.38,22.77,160.49,8.96,165.58,95.60,-102.67
1.51,3.80,-10.48,5.90,-9.49,666.00,52.17,17.49,27.85,1.70,-22.51,-52.48,21.15,21.60,160.40,9.01,163.29,95.60,-102.67
1.64,4.11,-9.76,5.58,-7.36,666.00,53.17,16.55,24.65,3.39,-23.43,-51.48,21.67,17.86,159.44,9.67,163.11,95.60,-102.67
1.77,4.05,-9.63,5.59,-8.20,666.00,52.92,15.34,23.90,4.09,-23.45,-51.46,21.31,19.04,158.25,9.29,163.28,95.60,-102.67
1.89,3.94,-7.03,5.44,-10.35,666.00,50.89,15.38,23.65,4.10,-24.41,-49.20,22.41,21.26,155.74,8.38,163.15,95.60,-102.67
2.02,3.95,-6.22,5.46,-13.65,666.00,49.79,15.31,23.92,3.59,-22.52,-49.02,21.33,25.40,156.81,6.74,162.65,95.60,-102.67
2.15,4.07,-6.29,5.39,-14.03,666.00,49.42,15.31,25.16,2.78,-21.67,-49.24,20.81,25.81,157.89,6.57,162.13,90.89,-100.14
2.28,4.22,-4.41,5.40,-16.18,666.00,51.47,15.38,22.15,0.37,-21.35,-51.15,20.63,31.04,157.17,5.51,162.45,92.40,-102.98
2.41,4.57,-5.11,5.21,-16.07,666.00,52.78,16.44,22.03,0.07,-22.08,-51.62,21.32,30.21,156.42,5.25,162.70,92.76,-103.03
2.63,4.42,-5.74,6.16,-15.96,666.00,52.74,15.63,21.84,0.47,-22.39,-52.07,20.82,30.28,157.36,5.32,163.47,92.83,-102.82
2.76,4.67,-6.38,5.93,-15.59,666.00,52.25,14.95,21.69,-0.96,-21.95,-52.21,20.78,30.17,155.68,5.25,163.65,92.69,-102.87
2.88,4.98,-6.65,5.41,-15.59,666.00,52.48,14.42,21.52,-1.45,-21.29,-52.31,21.15,29.71,156.21,5.19,162.68,92.80,-102.94
3.01,5.07,-6.83,5.10,-15.61,666.00,52.21,14.19,21.68,-1.31,-23.04,-52.45,21.86,29.92,155.86,5.56,162.53,92.62,-103.26
3.14,5.05,-5.92,5.02,-15.66,666.00,51.81,14.37,22.06,-0.50,-24.66,-51.79,22.50,29.83,154.87,5.94,162.97,92.93,-103.13
3.26,4.96,-5.11,5.19,-14.61,666.00,52.34,14.64,22.84,-0.58,-25.21,-51.56,22.80,29.52,154.05,5.93,163.09,93.21,-102.86
3.39,2.52,-4.95,8.11,-13.14,666.00,52.62,17.75,23.62,-0.68,-27.59,-51.61,20.82,29.06,155.23,6.28,165.79,93.50,-102.74
3.52,1.66,-4.70,9.44,-12.90,666.00,52.21,18.83,22.26,-0.55,-27.25,-51.67,19.00,28.91,157.53,6.42,166.28,93.93,-102.29
3.65,1.24,-4.59,9.93,-12.77,666.00,51.74,19.40,21.69,-0.57,-28.15,-51.62,19.23,28.78,157.50,6.64,166.60,93.87,-102.39
3.78,1.11,-5.20,10.10,-12.68,666.00,51.90,18.97,22.67,-0.40,-26.83,-51.74,18.60,29.02,158.37,6.75,166.61,94.03,-102.48
3.90,1.00,-5.10,10.24,-12.55,666.00,52.35,19.06,23.01,-0.39,-27.25,-51.61,19.30,29.02,157.60,6.84,166.76,94.25,-102.63
4.03,1.13,-4.98,9.58,-11.98,666.00,52.89,19.58,24.13,1.54,-25.83,-51.61,19.31,29.02,157.48,6.84,166.18,94.12,-102.47
