Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.05,7.11,28.86,4.64,-13.23,134.02,9.64,91.15,86.12,-8.04,-28.76,-26.88,26.35,19.41,-169.13,12.02,81.00,93.66,-94.62
0.28,7.24,28.85,4.55,-13.07,134.12,9.58,92.51,86.23,-8.13,-28.96,-27.17,26.25,19.34,-169.22,12.06,80.56,93.78,-94.47
0.41,7.17,28.69,4.60,-13.13,134.44,9.99,91.84,86.34,-7.95,-28.93,-26.95,26.08,19.29,-170.63,12.29,83.58,93.41,-94.64
0.54,7.16,28.74,4.58,-12.99,134.21,10.16,91.71,86.14,-7.96,-28.76,-26.95,26.04,19.29,-169.90,12.29,82.87,93.41,-94.64
0.68,6.91,28.55,4.49,-13.29,134.39,10.07,91.80,86.19,-7.98,-29.18,-27.12,25.93,19.34,-169.54,12.11,81.51,93.41,-94.64
0.81,6.53,28.24,4.58,-13.13,134.09,10.15,92.07,86.53,-7.85,-28.97,-27.23,25.99,19.09,-170.70,11.97,83.74,93.70,-94.56
0.95,6.36,28.12,4.61,-13.06,134.31,10.30,91.93,86.38,-7.88,-29.31,-27.33,25.98,18.94,-170.24,11.94,82.49,93.64,-94.64
1.08,6.34,28.25,4.50,-13.13,134.10,10.28,92.07,86.58,-7.81,-29.23,-27.24,26.04,18.96,-170.55,12.00,83.25,93.75,-94.53
1.22,6.36,28.49,4.39,-13.07,134.23,10.38,92.16,86.32,-7.95,-29.53,-27.03,25.87,18.68,-171.37,11.93,84.06,93.56,-94.35
1.35,6.32,28.29,4.24,-12.97,134.36,10.17,92.34,86.32,-7.95,-29.98,-27.22,26.00,18.86,-170.94,12.11,83.27,93.56,-94.46
1.48,6.05,28.11,4.08,-13.31,134.42,10.40,92.79,86.59,-7.76,-30.44,-27.39,26.00,18.91,-171.68,11.93,85.06,93.56,-94.46
1.62,5.97,28.22,4.20,-13.40,133.79,9.83,92.83,86.63,-7.61,-30.62,-27.11,25.97,19.44,-171.99,12.52,85.58,93.52,-94.69
1.76,5.91,28.62,4.47,-13.62,133.05,8.57,92.76,86.68,-8.30,-30.76,-27.20,25.93,19.43,-172.63,12.46,86.51,93.62,-94.64
1.90,5.74,27.91,4.64,-12.97,132.63,9.45,92.62,86.80,-8.62,-30.03,-27.36,26.04,19.81,-171.89,12.46,86.05,93.40,-94.88
2.04,5.67,28.07,4.43,-13.30,133.06,10.13,92.94,86.70,-8.63,-30.34,-27.13,26.01,19.76,-172.38,12.58,86.02,93.35,-95.00
2.18,5.60,27.71,4.53,-13.18,132.92,10.30,92.94,86.79,-8.49,-29.92,-27.33,26.22,19.71,-171.84,12.68,85.48,93.39,-94.78
2.32,5.60,27.73,4.52,-12.76,133.56,10.56,92.91,87.04,-8.64,-30.30,-27.34,26.11,19.27,-172.15,12.31,85.66,93.66,-94.63
2.48,5.64,27.87,4.69,-12.65,134.17,10.80,92.86,86.77,-8.50,-30.43,-27.40,25.77,19.04,-171.70,12.39,84.76,93.73,-94.54
2.62,5.64,27.74,4.58,-12.44,133.98,10.90,92.85,86.71,-8.60,-29.95,-27.40,25.70,18.94,-171.69,12.29,85.27,93.66,-94.44
2.75,5.64,27.62,4.80,-12.36,133.98,11.04,92.87,86.53,-8.61,-29.88,-27.49,25.42,19.03,-171.16,12.33,83.65,93.67,-94.79
2.89,5.58,27.69,4.78,-12.50,134.49,11.59,93.30,86.76,-8.35,-30.13,-27.53,25.40,19.22,-171.50,12.51,84.53,93.68,-94.55
3.02,5.29,27.46,4.70,-12.70,135.05,11.88,93.26,86.79,-8.44,-30.28,-27.60,25.66,19.66,-171.30,12.72,84.39,93.87,-94.76
3.16,5.18,27.43,4.59,-12.45,135.66,12.58,93.50,86.78,-8.47,-30.36,-27.49,25.96,19.69,-171.40,12.77,85.36,93.65,-95.03
3.29,4.84,27.28,4.58,-12.18,137.97,14.26,93.54,86.33,-9.11,-30.50,-27.56,26.22,20.12,-169.82,13.20,81.85,93.49,-95.43
3.43,0.34,26.26,4.56,-9.72,-25.39,22.04,94.67,86.12,-11.53,-30.54,-27.81,26.35,20.61,-170.95,13.60,84.58,93.73,-95.65
3.56,2.44,24.97,4.12,-8.20,-14.49,34.88,82.33,85.72,-10.13,-30.71,-28.02,26.81,20.72,-170.41,13.06,84.16,93.62,-95.80
3.70,1.93,22.49,0.94,-12.06,168.97,42.23,87.83,86.74,-5.33,-30.74,-28.36,26.89,20.41,-170.38,12.79,83.81,93.89,-95.47
3.82,3.03,22.89,1.21,-12.42,166.22,41.37,85.46,87.22,-2.45,-30.16,-28.13,27.18,20.62,-170.25,13.17,84.12,93.23,-96.25
3.95,3.60,23.89,2.81,-12.87,166.31,38.72,85.24,86.70,-4.62,-29.94,-28.17,27.19,20.75,-169.79,13.20,83.29,93.11,-96.33
4.08,3.90,24.94,3.16,-11.33,167.00,41.46,84.71,86.70,-4.93,-30.21,-28.25,27.59,20.70,-169.92,13.11,83.80,93.24,-96.34
4.22,3.08,22.59,1.40,-15.05,164.40,38.12,86.65,87.80,-2.58,-30.42,-28.02,27.90,21.42,-170.30,13.25,84.12,93.01,-96.69
4.34,2.42,21.87,0.85,-15.58,160.80,35.86,87.43,87.63,-6.06,-30.29,-28.28,28.08,21.46,-169.61,13.33,82.72,93.19,-96.65
4.47,0.55,21.81,0.92,-14.63,-20.43,34.96,90.06,86.71,-7.48,-30.32,-28.28,28.20,21.46,-168.96,13.33,81.46,93.19,-96.65
4.60,0.31,21.66,0.74,-13.46,-20.75,33.72,90.13,86.98,-8.40,-30.55,-28.41,28.22,21.54,-169.35,13.15,82.60,93.43,-96.50
4.73,0.26,21.38,0.47,-13.89,-20.84,33.94,89.91,87.04,-8.69,-30.64,-28.66,28.21,21.34,-169.28,13.16,81.89,93.67,-96.15
4.85,0.39,21.65,0.55,-13.88,-20.60,34.96,90.37,86.85,-8.89,-30.15,-28.25,27.76,21.10,-169.54,13.00,82.86,93.50,-96.22
4.98,0.28,21.09,0.85,-13.50,-19.38,35.53,90.48,86.77,-9.02,-30.27,-28.57,27.71,21.24,-170.16,13.03,83.84,93.44,-96.53
