Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,59.40,83.35,84.11,76.87,666.00,-51.45,6.73,9.94,-68.04,-23.59,-24.13,22.64,21.31,-167.65,19.45,79.81,96.80,-98.07
0.20,59.63,92.21,84.17,94.67,666.00,-92.88,6.82,3.66,-41.36,-23.54,-23.36,22.79,21.67,-166.86,19.68,77.28,95.75,-98.73
0.34,58.46,91.79,84.07,93.85,666.00,-91.78,6.66,4.09,-44.02,-23.69,-23.36,23.04,21.67,-169.87,19.68,84.82,95.75,-98.73
0.47,30.05,84.65,78.81,77.80,666.00,-68.99,10.96,1.81,-29.99,-23.00,-23.30,22.40,21.70,-165.55,19.31,76.47,95.57,-98.89
0.61,4.03,74.04,61.80,58.24,-18.97,-48.94,31.43,7.10,-8.26,-23.50,-23.54,21.60,21.41,-168.54,19.52,84.26,96.07,-98.57
0.74,-1.01,60.36,35.14,38.52,-18.11,43.07,39.04,21.88,11.15,-24.33,-23.71,21.75,21.50,-165.99,19.39,76.74,95.90,-98.79
0.87,-3.21,32.08,15.28,7.64,666.00,41.18,29.02,26.81,8.06,-22.88,-23.74,20.89,21.07,-166.76,19.38,79.27,94.98,-98.94
1.00,-3.07,21.76,7.63,0.88,666.00,45.06,20.69,16.99,-0.12,-23.54,-24.75,22.02,23.12,-167.88,18.09,79.05,94.82,-101.29
1.12,-4.15,13.42,7.21,-0.95,666.00,54.07,20.41,14.74,-2.00,-23.02,-26.24,23.67,24.25,22.02,16.32,80.21,92.41,-101.20
1.26,-4.08,9.77,7.05,-1.38,666.00,58.40,21.53,19.11,-3.17,-24.60,-27.58,26.48,25.97,25.80,16.00,75.63,92.39,-102.18
1.39,-3.97,13.21,9.68,1.60,666.00,69.72,28.11,24.92,-7.97,-31.23,-29.83,33.26,28.34,28.70,16.92,85.25,93.74,-104.11
1.61,-8.11,13.48,14.20,5.99,27.00,76.16,34.20,31.44,-7.98,-35.53,-30.70,36.12,27.76,28.22,16.44,84.73,94.34,-104.29
1.75,-14.34,10.06,18.63,11.97,36.24,79.76,41.99,44.92,-13.57,-36.11,-32.10,30.17,28.23,172.65,16.57,88.92,94.45,-101.61
1.87,-22.37,2.41,20.29,22.47,-153.17,89.52,54.11,67.02,-35.67,-36.31,-33.71,29.47,27.71,144.95,13.84,109.81,93.94,-99.18
2.00,-26.15,-1.24,23.44,24.36,-155.76,89.73,58.77,77.11,-47.40,-37.34,-36.37,26.40,25.54,147.13,9.86,113.72,93.55,-96.74
2.14,-30.03,-1.59,23.83,25.95,-159.87,-88.39,61.78,79.96,-56.94,-37.13,-36.93,26.63,26.43,147.73,8.76,114.22,93.60,-96.99
2.27,-31.99,-0.15,25.64,30.33,-161.24,89.40,63.91,83.33,-57.75,-37.31,-35.42,27.09,24.40,148.56,9.47,113.52,93.35,-96.97
2.40,-33.53,1.06,27.04,33.07,-154.99,-88.68,107.17,86.73,-54.02,-38.11,-35.66,25.99,24.41,150.55,9.42,112.89,92.42,-94.24
2.53,-35.03,-2.82,27.07,35.05,-154.93,-85.30,108.67,90.02,-56.09,-38.35,-39.13,28.54,25.04,151.49,8.51,110.49,91.79,-90.02
2.66,-35.69,-5.96,27.12,37.93,-155.12,-83.30,109.30,92.33,-55.86,-38.19,-40.86,27.44,24.02,152.68,8.03,110.62,90.45,-88.11
2.79,-35.87,-4.86,27.18,38.21,-155.26,-79.46,109.50,92.61,-55.13,-38.28,-40.89,28.54,24.59,153.91,6.47,109.98,89.29,-88.13
2.92,-35.92,-1.83,25.89,37.48,-154.60,-75.80,109.30,92.95,-53.00,-38.63,-40.47,30.52,23.19,-135.17,2.81,70.09,88.75,-86.53
3.05,-36.47,-1.60,24.20,42.55,-153.68,-76.98,109.30,93.82,-53.99,-38.13,-37.29,35.72,20.08,-150.56,5.97,74.29,85.33,-80.16
3.18,-35.49,-0.34,25.72,43.38,-152.91,-79.03,109.64,94.06,-54.83,-24.95,-28.70,32.55,23.83,44.59,-5.27,53.78,66.98,-65.10
3.30,-35.54,0.56,26.25,42.04,-152.14,-79.00,110.03,94.50,-56.28,-12.73,-13.89,23.73,19.44,666.00,-9.80,29.76,40.31,-39.67
3.43,-35.11,-1.53,25.27,41.35,-151.16,-75.77,109.72,95.25,-59.15,-5.93,-7.33,22.12,17.45,666.00,-25.49,25.85,8.09,-34.98
3.56,-34.50,1.26,24.89,41.29,-150.20,-76.73,110.71,94.65,-60.73,-0.59,-0.17,20.47,17.43,22.12,-21.98,30.11,10.48,-33.96
3.69,-34.52,4.74,24.95,42.43,-148.97,-77.02,111.83,95.66,-61.19,3.24,9.34,17.68,15.71,25.10,-12.19,32.22,15.22,-29.03
3.83,-34.90,7.00,23.53,42.91,-147.62,-77.96,111.62,94.98,-61.87,4.88,13.09,16.70,14.95,29.32,-11.90,31.34,21.43,-25.76
3.96,-35.83,6.33,21.84,42.46,-147.88,-79.49,111.11,94.45,-61.56,5.29,14.78,17.36,13.97,666.00,-6.86,29.07,17.52,-26.02
4.09,-33.65,7.16,24.72,40.79,-148.19,-77.31,109.22,92.86,-62.51,2.90,12.96,18.76,15.36,666.00,-13.94,25.57,13.51,-24.25
4.22,-33.82,7.63,24.66,39.23,-147.03,-75.43,107.61,91.35,-63.29,-0.22,11.51,19.84,16.22,666.00,-17.52,23.96,5.44,-25.00
4.35,-33.51,7.25,26.72,36.81,-146.40,-76.29,107.54,88.91,-63.79,-0.97,10.54,17.22,16.52,666.00,-18.84,21.70,9.53,-25.78
4.47,-34.88,0.28,23.97,39.30,-144.72,-78.41,106.50,97.43,-54.64,-1.79,9.26,14.07,12.26,666.00,-16.19,23.99,10.35,-26.52
