Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-33.18,1.05,23.28,37.18,-103.80,-77.38,126.70,95.20,-62.42,136.86,108.11,148.09,109.17,666.00,-71.81,25.92,27.15,11.32
0.23,-31.08,2.29,20.61,37.64,-105.57,-76.08,124.51,95.35,-62.98,143.98,164.56,153.71,145.81,57.06,77.82,30.02,21.43,16.94
0.37,-28.14,3.61,23.94,37.60,-107.59,-75.40,127.03,95.59,-63.44,143.17,168.22,152.19,146.19,59.42,78.34,30.35,33.71,19.85
0.51,-30.34,2.93,23.65,37.17,-107.95,-76.37,127.54,95.17,-62.91,132.26,164.69,138.13,143.89,68.26,79.33,35.30,33.93,19.64
0.64,-31.54,2.74,23.94,37.37,-110.74,-76.23,129.14,95.19,-63.01,109.95,143.88,109.86,124.08,-36.97,-86.54,59.49,46.94,20.46
0.78,-33.45,2.43,19.72,37.91,-108.03,-75.50,126.18,95.45,-62.93,56.35,120.42,61.47,107.45,-34.00,-64.98,65.39,37.25,13.57
0.91,-34.34,2.15,18.73,37.81,-105.26,-75.23,125.17,95.53,-62.36,12.11,59.97,38.20,71.31,29.99,-56.43,62.40,60.22,17.58
1.04,-34.74,-1.60,19.65,38.50,-104.85,-78.51,125.50,95.69,-61.07,-5.17,16.39,14.93,20.86,13.73,-25.83,30.57,81.34,-131.44
1.17,-34.45,0.41,19.29,38.22,-105.74,-78.34,125.83,95.65,-62.04,-8.17,13.14,10.15,10.99,666.00,-26.00,20.80,19.40,-13.61
1.29,-34.24,2.36,19.69,38.73,-107.49,-78.00,127.00,94.83,-62.56,-9.68,11.67,9.10,2.84,666.00,-31.76,21.37,12.82,-15.89
1.42,-33.10,5.38,22.03,39.38,-110.97,-75.50,129.68,95.33,-64.25,-9.31,10.11,8.59,2.33,666.00,-30.50,23.02,14.78,-14.44
1.56,-32.64,4.73,23.67,39.17,-114.19,-75.38,131.61,95.23,-64.65,-7.52,13.08,8.44,5.15,666.00,-25.47,28.74,16.37,-15.37
1.69,-32.30,2.43,24.23,40.34,-114.80,-74.87,131.82,53.54,34.25,-6.02,14.01,8.27,5.52,8.96,-21.44,31.43,23.27,-14.47
1.82,-32.50,0.16,21.61,40.25,-113.41,-74.39,129.50,95.80,-63.11,-4.91,14.71,8.45,6.64,9.85,-18.44,31.12,22.79,-15.65
1.95,-34.12,-1.07,17.06,40.49,-110.92,-74.81,125.88,96.10,-62.47,-4.20,14.55,8.49,6.88,666.00,-15.07,28.65,19.18,-16.95
2.08,-34.58,-0.21,15.96,40.72,-109.65,-74.55,124.53,96.41,-62.80,-4.15,13.48,8.43,6.67,666.00,-17.10,26.00,13.05,-12.81
2.20,-35.02,0.08,16.43,40.41,-109.24,-75.54,124.78,96.28,-62.84,-5.12,11.86,8.67,6.16,666.00,-20.16,24.65,12.62,-15.27
2.34,-32.74,2.66,18.82,40.08,-110.37,-75.63,127.15,95.75,-64.23,-8.46,7.15,20.59,12.48,666.00,-47.88,25.64,5.47,-19.26
2.57,-30.30,3.74,23.08,40.04,-115.19,-75.16,131.27,95.62,-64.64,-11.09,4.14,40.88,22.12,666.00,-60.55,21.55,2.63,-15.04
2.71,-28.67,4.59,27.94,39.80,-119.57,-73.56,134.58,95.66,-65.39,-13.50,2.57,56.51,30.07,666.00,-67.68,23.25,3.94,-14.34
2.87,-30.75,4.68,27.13,39.62,-121.87,-73.07,134.52,95.93,-65.06,-14.23,-15.52,73.91,57.24,666.00,-83.80,26.34,6.69,6.22
3.01,-33.22,3.72,25.22,39.96,-121.74,-72.28,133.55,96.77,-64.26,151.77,-28.33,92.10,68.28,666.00,-86.87,24.27,19.48,23.95
3.14,-34.64,2.61,24.06,38.78,-121.96,-72.21,132.46,96.07,-63.52,154.90,-89.49,105.18,89.87,666.00,-87.60,25.68,16.73,36.39
3.28,-33.35,2.26,27.92,38.46,-123.97,-72.39,133.91,96.10,-63.53,155.21,-125.80,118.24,100.04,666.00,-89.27,24.82,30.40,51.64
3.41,-33.12,1.14,29.73,36.87,-125.03,-73.44,134.58,95.22,-62.07,154.40,-149.84,128.36,109.23,666.00,-86.18,26.83,31.74,56.80
3.54,-34.35,2.09,27.65,36.47,-124.24,-74.25,133.37,94.81,-62.97,151.89,-169.49,132.99,122.61,666.00,-85.96,29.56,26.12,61.60
3.67,-35.09,3.45,27.88,36.76,-123.94,-75.07,134.02,95.15,-63.43,150.24,-174.32,139.73,128.09,666.00,-87.65,28.51,30.09,61.55
3.81,-35.38,3.65,29.49,37.56,135.14,-76.24,161.42,93.66,-64.04,148.36,-178.25,143.38,130.65,666.00,89.58,26.92,29.92,62.32
3.94,-34.65,2.73,31.00,38.38,132.37,-77.50,160.02,95.04,-63.87,148.41,173.54,144.56,135.36,666.00,87.15,26.63,26.94,65.21
4.08,-34.31,3.07,30.66,37.50,137.71,-77.58,160.36,94.80,-63.99,148.83,173.67,140.43,135.64,-83.76,87.54,31.21,27.57,64.50
4.21,-36.19,6.64,29.93,37.28,128.09,-75.77,163.22,95.10,-67.10,147.84,178.54,139.51,135.20,-85.46,87.95,32.11,27.90,63.58
4.34,-37.42,7.53,28.78,38.37,140.98,-73.79,165.56,96.31,-66.00,148.06,-173.22,134.51,131.23,-84.88,-88.72,31.97,30.68,62.79
4.48,-35.36,8.48,31.09,38.57,137.12,-75.31,151.26,95.99,-65.94,148.43,-168.99,128.29,126.23,666.00,89.12,26.80,30.34,64.27
4.61,-36.49,7.01,30.41,38.23,125.78,-75.51,149.59,95.53,-64.77,147.69,-164.57,119.63,118.97,666.00,87.71,21.18,32.07,64.48
4.74,-37.30,7.97,31.15,37.06,128.02,-75.74,151.82,94.31,-66.10,138.27,-143.93,106.97,102.28,666.00,84.59,18.59,40.88,63.74
4.87,-37.12,6.94,30.43,37.50,129.96,-76.24,151.03,94.57,-65.46,94.92,-112.50,90.93,93.09,666.00,-97.46,16.76,25.40,58.21
