Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.06,-34.32,-5.04,22.72,44.59,152.67,-82.79,159.73,93.48,-71.31,-3.18,9.94,20.24,7.39,666.00,-38.72,23.00,1.83,-35.12
0.24,-33.54,-1.84,25.37,46.15,171.40,-81.39,152.16,93.95,-73.21,0.43,12.10,25.60,13.26,666.00,-40.01,28.58,4.62,-28.59
0.40,-33.15,-0.48,24.05,48.43,154.96,-80.45,157.96,95.03,-74.43,0.84,12.83,24.03,15.87,-12.82,-41.35,31.21,9.59,-24.81
0.53,-33.87,-1.68,23.62,49.29,148.68,-79.04,156.87,95.32,-74.82,0.17,10.81,17.08,7.68,666.00,-28.51,19.89,7.57,-20.25
0.65,-34.43,-6.22,19.75,49.06,159.97,-81.64,160.24,95.21,-72.57,-1.89,95.06,10.96,-92.92,666.00,173.24,13.68,137.35,118.52
0.80,-34.85,-8.71,20.19,49.06,159.82,-81.71,160.50,95.41,-71.57,-3.97,4.55,9.04,-8.41,666.00,-20.55,15.44,3.61,-18.88
0.93,-34.63,-7.61,21.45,49.13,154.44,-80.70,160.26,95.45,-72.21,-3.16,4.97,11.08,-3.27,666.00,-17.97,17.96,2.42,-25.79
1.06,-34.42,-2.81,22.93,50.03,149.89,-77.05,157.34,95.25,-73.60,-1.07,118.67,12.99,-99.83,666.00,-175.72,19.56,174.71,151.03
1.19,-34.53,-4.70,24.61,49.57,149.80,-79.75,157.42,95.07,-73.70,0.23,11.24,13.15,2.34,666.00,-21.09,21.23,2.68,-24.09
1.31,-35.01,-6.69,24.42,50.18,150.36,-81.19,158.13,95.33,-73.31,0.62,11.12,12.74,1.50,666.00,-17.16,21.36,7.61,-23.54
1.44,-35.20,-9.58,22.67,51.08,154.80,-84.52,159.48,95.57,-71.94,0.17,10.93,12.07,-0.23,666.00,-13.53,18.35,5.05,-22.30
1.57,-34.90,-9.60,20.49,51.10,161.15,-84.54,160.29,95.33,-71.84,-1.50,8.62,10.97,-3.50,666.00,-11.82,17.79,4.20,-21.77
1.71,-34.54,-33.75,20.30,5.62,163.07,16.85,160.27,95.33,-71.84,-2.63,15.40,10.45,-6.07,666.00,63.66,18.87,4.88,-21.71
1.84,-34.24,-9.60,21.81,51.10,159.82,-84.54,159.54,95.33,-71.84,-2.68,8.04,10.54,-3.60,666.00,-11.08,20.43,4.06,-26.19
1.97,-33.68,-9.60,22.75,51.10,156.38,-84.54,158.25,95.33,-71.84,-2.35,9.17,10.82,-3.22,666.00,-10.43,29.53,4.61,-64.24
2.10,-33.53,-9.60,23.99,51.10,149.93,-84.54,157.44,95.33,-71.84,1.70,14.30,11.97,-0.44,5.63,-12.81,44.81,33.61,-78.49
2.22,-33.55,-9.60,24.25,51.10,145.84,-84.54,158.07,95.33,-71.84,22.48,18.42,11.28,0.47,-174.72,-11.38,89.42,44.17,-70.80
2.35,-33.42,137.79,24.19,-141.21,150.12,90.09,157.69,96.97,-44.80,23.91,26.08,14.44,1.59,-167.77,-9.17,114.85,35.21,-72.64
2.48,-33.36,-6.81,24.36,48.15,152.79,-84.14,157.52,95.43,-73.49,21.94,35.04,15.70,1.58,-165.19,-0.48,126.15,106.71,-15.13
2.61,-33.19,-6.43,23.87,47.56,154.60,-83.57,157.33,95.34,-73.57,20.76,34.98,15.78,1.46,-163.74,0.74,129.36,110.04,-13.36
2.74,-33.00,137.61,24.68,-141.86,153.25,86.62,156.56,93.70,-44.76,20.02,34.71,15.51,0.16,-142.79,0.71,129.09,110.77,-12.79
2.88,-33.03,-4.93,23.39,47.15,155.27,-83.76,156.86,95.04,-74.72,19.50,33.95,15.19,0.40,-163.65,0.21,130.83,111.50,-12.33
3.01,-33.21,-4.05,24.48,47.18,152.05,-84.02,156.31,94.94,-75.36,18.89,34.29,14.90,0.39,-163.39,0.09,131.21,113.46,-9.87
3.25,-33.03,-4.25,25.95,47.52,149.78,-83.83,155.63,95.17,-75.19,18.77,34.28,14.62,0.24,-163.56,0.04,131.42,113.39,-9.53
3.38,-33.12,-4.06,24.95,47.52,169.54,-83.63,150.75,95.15,-75.27,18.70,34.55,14.63,0.51,-163.40,0.04,131.43,64.62,-169.74
3.51,-32.78,-4.41,24.70,47.47,153.48,-83.78,154.80,95.17,-75.33,18.49,34.16,14.80,0.32,-163.47,0.45,131.50,113.48,-7.98
3.65,-32.56,-4.07,24.89,47.33,152.98,-83.79,154.81,95.14,-75.22,18.40,34.37,14.58,0.64,-164.03,0.36,112.84,113.19,-7.83
3.78,-32.54,-4.24,24.94,47.28,152.76,-83.67,154.22,94.99,-75.06,15.23,30.63,14.53,0.78,-167.09,-1.41,124.18,115.14,-9.48
3.91,-33.42,-4.80,24.29,47.53,151.13,-83.38,154.63,50.56,40.14,-0.37,21.73,20.23,1.11,11.64,-6.52,87.25,81.58,-39.10
