Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-33.46,-2.69,29.29,46.60,145.25,-79.82,155.17,96.14,-76.10,-1.01,19.84,11.81,-4.76,-6.53,-10.29,151.23,113.83,-36.34
0.18,-32.83,-2.39,29.40,46.43,145.74,-79.25,154.05,95.91,-76.20,-1.85,21.57,12.19,-5.85,-9.67,-12.48,155.44,144.17,-9.75
0.32,-32.66,-2.15,29.43,46.65,149.42,-79.39,154.72,96.07,-76.20,-2.39,22.41,12.38,-5.75,-10.65,-13.32,156.09,145.03,-7.84
0.43,-32.24,-1.99,29.50,46.65,150.40,-79.11,154.44,96.10,-76.11,-2.55,22.41,12.44,-5.59,-10.73,-13.75,156.60,146.04,-5.57
0.56,-32.76,-2.34,29.94,46.62,147.28,-79.20,152.71,96.30,-76.17,-2.53,22.66,12.51,-5.65,-11.02,-13.48,157.72,146.51,-4.53
0.69,-32.54,-2.20,29.74,46.31,147.59,-79.12,153.38,95.98,-76.24,-2.60,23.02,12.56,-5.77,-11.68,-14.41,158.05,146.96,-3.69
0.83,-33.16,-30.72,30.06,6.68,141.72,24.55,156.59,96.15,-76.17,-2.59,15.08,12.64,-19.46,-12.39,65.95,158.80,147.82,-2.94
0.96,-33.03,-2.08,29.87,46.38,142.92,-78.72,157.28,95.94,-76.22,-2.65,23.46,12.75,-6.11,-13.06,-16.42,158.93,147.87,-2.10
1.11,-32.74,-2.20,29.45,46.50,148.26,-78.50,157.62,96.19,-76.21,-0.23,20.78,12.72,-5.56,-11.42,-16.51,145.77,148.05,-1.90
1.24,-33.24,-2.24,28.29,46.34,144.40,-78.37,155.95,95.84,-76.17,8.58,16.58,9.43,-5.34,-6.83,-15.45,117.26,134.49,-8.28
1.36,-35.05,-2.94,28.03,46.23,137.24,-78.64,157.41,95.97,-75.80,-5.45,12.69,10.68,-5.17,-1.29,-15.91,86.15,116.85,-20.14
1.47,-35.75,-3.16,28.47,46.26,137.71,-78.61,156.23,95.96,-75.78,-5.26,9.58,7.16,-5.98,-7.32,-15.58,62.52,91.43,-43.81
1.61,-35.90,-3.24,27.90,46.10,143.04,-78.55,156.59,96.15,-75.71,-3.25,9.85,7.99,-5.79,-2.32,-15.95,36.51,30.31,-87.96
1.74,-36.51,-3.44,28.44,46.22,141.37,-78.30,156.88,95.99,-75.58,-1.74,10.02,7.52,-5.54,666.00,-16.45,24.53,19.60,-92.24
1.86,-36.72,137.15,28.76,-136.19,136.81,56.26,155.64,89.08,-44.72,-2.76,10.31,7.47,-5.05,666.00,-16.53,18.67,3.92,-85.84
