Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-34.93,-4.82,27.42,46.90,148.19,-78.09,154.78,95.48,-74.40,-2.64,2.22,17.46,-3.40,13.95,-11.08,80.10,94.83,73.98
0.23,-34.95,-4.23,28.02,46.42,137.24,-77.74,154.18,95.40,-74.69,-2.87,3.21,17.57,-2.45,14.11,-12.38,80.84,94.23,72.39
0.36,-34.95,-4.50,28.11,46.39,140.78,-77.81,159.96,95.46,-74.73,-4.01,2.88,14.57,-2.53,9.65,-12.67,81.58,94.37,71.83
0.49,-34.89,-4.68,27.99,46.50,146.43,-77.55,158.64,95.51,-74.56,-4.52,2.45,18.31,-2.56,14.78,-13.07,80.41,94.09,69.91
0.62,-35.03,-4.82,27.67,46.55,150.97,-77.80,157.67,95.55,-74.47,-6.23,2.26,16.78,-2.46,13.69,-13.23,80.36,93.77,67.85
0.76,-35.05,-5.30,27.21,46.80,151.42,-77.82,157.95,95.75,-74.12,-9.19,1.84,19.08,-2.86,15.94,-13.17,83.46,92.76,62.61
1.01,-34.78,-5.07,27.55,46.77,142.77,-77.85,155.44,95.76,-74.19,-9.11,1.69,19.58,-2.39,16.21,-13.20,83.08,92.35,61.44
1.13,-34.66,-5.30,27.88,46.96,146.53,-77.65,154.85,95.81,-74.32,-9.92,1.55,19.99,-2.49,16.25,-13.54,83.66,92.05,60.51
1.26,-34.61,-5.51,28.00,46.84,144.98,-77.67,153.99,95.69,-74.21,-6.02,1.79,14.91,-2.29,12.06,-13.12,79.14,92.38,60.06
1.39,-34.72,-5.29,27.92,46.69,148.56,-77.65,155.09,95.84,-74.21,-4.69,1.84,13.19,-2.37,11.47,-13.00,78.76,92.62,59.85
1.53,-34.61,-5.33,28.49,46.58,150.22,-77.29,155.19,95.50,-74.30,-4.52,1.81,12.87,-1.96,11.20,-12.54,78.36,92.07,59.00
1.74,-34.50,-5.22,28.68,46.66,141.94,-77.43,154.37,95.52,-74.23,-4.33,2.17,12.65,-1.62,11.15,-12.43,78.20,91.71,58.64
1.86,-34.45,-5.07,28.93,46.60,135.45,-77.19,153.87,95.48,-74.26,-3.90,2.29,12.46,-1.41,11.15,-12.30,77.99,91.58,58.52
1.99,-34.29,-4.94,28.63,46.51,141.34,-77.12,155.56,95.60,-74.28,-3.22,2.48,13.50,-1.37,11.74,-11.98,76.29,91.50,58.36
2.12,-34.44,-4.73,27.71,46.27,157.18,-76.99,155.85,95.38,-74.45,-3.45,2.89,14.22,-0.77,12.38,-11.57,76.69,91.01,58.22
2.26,-34.59,-4.99,27.52,46.24,147.14,-77.06,156.29,95.32,-74.28,-2.48,3.18,14.56,-0.37,13.02,-11.29,75.82,90.67,57.95
2.39,-34.59,-4.99,27.51,46.24,158.06,-77.06,144.60,95.41,-74.32,-3.23,3.20,14.85,-0.35,13.20,-10.97,76.64,90.64,57.93
2.53,-34.59,-4.99,27.41,46.24,142.77,-77.06,156.05,95.32,-74.28,-3.31,3.05,14.88,-0.39,13.33,-10.95,76.53,90.61,57.80
2.66,-34.58,-4.79,27.43,46.47,143.86,-77.21,158.57,95.53,-74.48,-5.88,3.07,17.00,-1.05,5.78,-12.25,81.32,90.41,55.54
2.79,-34.49,-5.10,27.44,46.57,142.63,-77.13,158.40,95.47,-74.36,-8.50,3.80,4.62,-2.13,151.97,-19.05,92.21,90.76,51.86
2.93,-34.54,-5.10,27.41,46.57,143.04,-77.13,156.94,95.47,-74.36,-6.10,9.43,7.35,-1.00,-51.37,-40.15,90.07,87.50,46.33
3.06,-34.55,-5.02,27.40,46.66,139.72,-77.01,160.12,95.64,-74.30,-2.95,12.38,11.94,1.08,-66.54,-50.08,81.61,90.12,19.67
3.19,-34.64,-4.63,27.86,46.48,140.99,-76.93,158.25,95.59,-74.47,-1.25,13.03,22.56,3.89,-72.84,-58.51,68.89,93.29,18.87
3.32,-34.74,-4.24,28.05,46.52,138.49,-76.12,156.90,95.33,-74.66,-2.50,11.08,21.57,4.19,-76.58,-67.22,68.62,92.04,17.64
3.46,-34.53,-3.73,28.99,46.30,139.71,-75.92,155.96,95.17,-74.76,-3.17,11.11,21.21,3.90,-78.14,-69.12,68.08,92.39,15.51
3.59,-35.00,-3.84,29.47,46.46,131.64,-76.59,153.85,95.00,-75.07,-3.11,11.33,20.68,3.52,-79.03,-69.18,68.57,93.53,15.67
3.73,-34.95,-3.83,29.55,46.77,132.34,-76.08,153.71,95.36,-74.99,-2.97,11.57,20.28,3.85,-79.68,-70.47,68.98,93.84,15.38
3.86,-34.75,-3.94,29.45,46.90,133.78,-75.87,154.65,95.22,-74.56,-2.64,11.59,21.50,3.51,-79.75,-70.88,67.83,93.97,13.85
3.99,-34.91,-3.53,29.33,46.77,135.15,-75.49,154.32,95.31,-75.07,-2.58,11.60,20.56,3.75,-79.88,-71.35,68.36,94.68,14.36
4.12,-35.01,-4.01,28.86,46.97,134.38,-76.03,154.74,95.45,-74.65,-2.56,11.45,20.20,3.82,-77.76,-70.40,68.30,93.61,13.16
4.26,-35.23,-3.88,28.51,46.84,133.35,-76.19,162.28,95.10,-74.73,-2.57,10.18,20.03,2.39,-59.44,-67.70,67.44,84.14,6.00
4.39,-33.54,-4.16,31.04,46.82,130.14,-76.34,159.48,95.52,-74.59,-3.76,7.29,13.89,-0.31,-26.52,-57.14,71.27,78.76,0.68
4.52,-32.70,-4.25,31.87,46.44,134.89,-76.50,152.62,95.23,-74.86,-5.22,5.27,16.61,-1.83,9.62,-24.41,83.64,69.34,-12.16
4.66,-32.79,-4.45,31.54,46.53,134.37,-76.79,152.62,95.13,-74.88,5.25,7.83,21.00,1.68,50.61,-1.51,89.61,88.29,1.89
4.78,-32.83,-5.73,30.77,46.23,141.00,-76.24,155.31,95.51,-74.94,6.59,11.25,21.69,6.94,48.32,20.00,86.89,87.22,-2.75
4.91,-33.24,-8.05,26.92,46.30,146.12,-77.36,155.85,95.38,-73.66,5.08,12.60,22.40,8.20,48.09,32.61,86.82,86.34,-7.40
5.03,-33.13,-7.83,25.30,46.16,147.54,-77.36,156.00,95.32,-73.79,3.53,10.90,22.83,7.80,47.51,30.68,87.24,86.24,-7.82
5.16,-32.89,-6.88,25.76,45.66,175.76,-77.85,152.02,95.39,-74.73,5.15,10.40,22.46,7.52,48.28,30.42,87.18,86.48,-9.82
5.29,-32.49,-6.42,26.68,45.81,138.04,-78.14,153.85,95.21,-74.54,4.03,10.61,22.59,6.89,47.90,30.38,86.94,86.56,-9.67
5.43,-32.18,-5.42,27.62,45.67,147.28,-77.47,150.31,95.23,-74.98,3.38,10.21,22.74,6.90,47.64,29.50,86.64,86.35,-10.58
5.55,-31.62,-5.82,28.39,45.74,148.81,-77.72,154.72,95.12,-74.90,6.09,10.64,22.52,6.64,48.87,30.20,86.69,85.69,-11.33
5.68,-31.58,-6.03,28.97,45.97,149.38,-77.98,154.64,95.10,-74.92,4.50,11.02,22.76,6.45,48.34,30.68,86.25,84.95,-12.28
5.80,-31.43,-6.13,29.40,46.10,147.73,-77.50,154.31,95.12,-74.74,3.73,10.67,22.85,6.25,47.87,29.96,85.97,85.16,-12.12
5.93,-31.77,-6.40,28.94,46.18,140.18,-77.74,153.51,95.06,-74.57,5.59,10.00,21.86,4.85,47.48,26.59,88.80,85.72,-11.31
6.06,-31.39,-6.06,29.15,46.00,159.89,-77.37,155.64,94.91,-74.79,2.52,9.39,16.30,2.33,34.46,16.66,84.06,86.12,-8.73
6.19,-31.87,-6.26,28.38,46.11,162.01,-77.35,156.09,95.13,-74.73,-3.75,9.25,1.02,0.17,160.38,6.28,103.52,86.60,-3.16
6.33,-32.61,-5.44,28.08,46.38,145.95,-77.00,156.23,95.09,-75.15,-2.94,11.02,7.24,0.47,-53.50,-46.50,91.88,100.58,20.90
6.54,-32.29,-5.04,28.34,46.48,144.26,-76.69,153.19,95.18,-74.98,1.04,10.71,12.76,2.20,-69.08,-58.61,87.35,94.48,15.12
6.67,-31.00,-4.89,29.69,46.59,140.80,-77.35,154.19,95.35,-75.27,2.67,10.22,23.21,2.99,-73.64,-64.38,71.21,107.73,23.31
6.80,-33.23,-4.36,29.18,46.61,135.22,-77.25,155.17,94.61,-75.22,3.59,9.47,23.19,3.30,-74.09,-67.20,71.73,105.58,21.53
6.93,-33.15,-3.98,29.50,46.95,134.40,-75.83,154.20,95.07,-75.39,1.27,9.62,24.13,3.66,-74.44,-68.66,71.72,105.83,23.12
7.06,-33.62,-3.97,29.38,47.46,134.44,-75.93,154.53,95.24,-75.17,0.11,9.69,24.35,3.34,-74.45,-68.79,71.76,105.99,25.01
7.19,-33.66,-4.63,29.16,47.32,136.49,-75.93,155.29,95.39,-75.18,-0.48,9.65,24.46,3.32,-74.58,-69.06,71.62,106.35,25.34
7.33,-33.66,-4.69,28.95,47.17,139.66,-75.91,156.62,95.35,-75.00,-0.85,9.97,24.57,3.96,-74.75,-69.35,71.54,107.18,27.04
7.46,-33.86,-4.19,28.76,47.02,136.07,-75.68,155.90,95.17,-75.13,-0.95,10.00,24.35,4.14,-74.89,-69.89,71.55,107.81,27.38
7.60,-32.39,-4.51,30.09,47.12,138.81,-75.60,154.18,95.20,-75.05,0.81,9.76,23.70,3.91,-75.71,-69.92,71.76,108.13,27.77
7.73,-31.21,-4.11,30.86,47.13,139.86,-75.86,153.02,95.12,-75.22,2.30,9.64,23.17,3.68,-76.28,-70.69,71.85,107.69,27.00
7.86,-31.14,-3.85,30.96,46.93,140.25,-75.69,153.56,95.12,-75.22,2.61,9.48,23.07,3.52,-75.16,-69.65,71.58,106.05,24.79
7.99,-31.31,-4.07,30.70,46.70,139.48,-75.54,156.43,95.12,-75.22,2.74,9.19,21.09,3.66,-63.54,-69.23,71.69,104.64,23.50
8.13,-31.57,-4.15,30.67,46.74,141.03,-75.87,154.88,95.22,-75.30,0.96,8.09,14.92,-0.46,-41.57,-51.84,74.26,151.38,67.29
8.26,-31.47,-4.15,30.59,46.58,141.62,-76.04,153.72,94.95,-75.18,7.03,6.16,10.79,-0.28,-12.05,-39.62,81.66,86.66,1.61
8.38,-31.67,-4.35,30.67,46.41,139.61,-76.03,153.60,94.91,-75.04,1.49,6.00,19.71,0.51,19.68,-19.71,83.75,87.87,1.19
8.53,-32.35,-5.04,29.46,46.08,139.96,-76.96,157.88,94.94,-74.76,3.21,7.30,26.59,3.53,52.31,-0.64,102.41,87.97,-0.71
8.66,-32.01,-5.43,29.76,46.40,142.37,-76.42,153.45,95.09,-74.48,3.51,10.24,24.10,8.08,48.67,27.46,89.15,87.98,-2.48
8.79,-32.30,-6.04,28.57,45.90,-173.93,-76.85,154.26,95.42,-74.54,2.83,9.62,23.72,7.14,47.37,27.70,88.20,88.28,-3.70
8.93,-32.88,-5.26,28.18,45.74,-176.89,-77.45,150.34,95.20,-74.75,4.47,9.86,23.15,6.45,47.76,25.50,87.96,88.20,-3.98
9.08,-33.69,-6.12,28.72,45.82,132.46,-77.25,163.91,95.23,-74.67,4.96,9.80,22.69,6.20,48.06,26.45,88.03,87.34,-4.92
9.20,-33.99,-7.11,28.70,45.51,-178.81,-76.93,152.13,95.35,-74.40,5.64,9.86,21.84,6.52,48.90,26.62,89.38,85.89,-6.34
9.34,-34.75,-7.42,29.47,45.60,138.97,-76.88,154.91,95.47,-74.25,6.17,9.82,20.44,6.96,49.54,27.37,90.35,84.61,-7.77
9.49,-36.07,-6.62,32.50,45.08,126.66,-76.95,157.20,95.16,-74.59,6.74,10.19,19.40,7.20,50.11,27.62,90.63,84.31,-8.03
9.63,-37.65,-5.45,33.40,45.64,122.29,-75.80,157.08,95.02,-74.72,7.28,10.64,18.25,6.42,50.68,27.23,90.94,84.26,-7.50
9.75,-38.06,-5.47,33.63,45.62,121.30,-75.43,156.79,95.13,-74.96,7.26,10.55,17.59,6.28,50.55,26.76,91.24,84.30,-7.82
9.88,-38.16,-5.31,33.71,45.87,120.38,-75.25,155.68,95.13,-74.96,6.18,10.11,16.16,5.27,48.88,24.59,91.57,84.97,-6.49
10.06,-36.95,-6.29,33.65,45.89,164.86,-75.52,148.33,94.97,-74.52,19.94,8.88,5.92,2.37,-140.86,17.05,70.33,87.11,-2.23
10.23,-36.79,-5.98,33.55,45.74,132.13,-75.66,156.37,95.04,-74.74,1.01,8.01,0.60,-3.36,161.00,-8.81,98.38,93.42,7.05
10.36,-36.66,-5.77,33.53,45.97,129.78,-75.80,153.06,94.95,-74.66,-1.91,9.11,0.60,-4.12,134.48,-31.33,94.86,98.17,24.69
10.49,-37.10,-5.57,32.90,46.19,126.26,-75.61,155.14,95.10,-74.66,-0.98,10.00,5.59,-2.30,-57.19,-44.53,90.79,95.62,23.49
10.62,-37.24,-4.06,33.29,45.99,121.55,-75.10,150.14,95.07,-75.34,-1.54,8.16,7.13,0.72,-60.44,-63.85,89.96,94.70,21.07
10.76,-36.10,-3.97,33.52,46.01,120.48,-75.32,149.41,94.92,-75.39,-1.66,8.92,7.80,0.35,-63.08,-64.54,89.92,99.63,24.30
10.90,-36.20,-4.17,32.89,46.01,121.71,-75.24,151.93,94.85,-75.72,-2.01,8.65,7.74,0.54,-63.63,-65.52,90.42,99.28,23.90
11.06,-35.97,-4.78,32.47,46.19,125.56,-75.64,151.00,95.03,-75.44,-2.14,8.98,7.71,0.90,-64.01,-65.89,90.42,99.93,25.52
11.19,-35.56,-4.56,32.42,46.12,129.29,-75.27,151.26,95.19,-75.50,-1.76,9.18,7.66,1.21,-64.67,-66.09,90.38,100.21,25.95
11.32,-35.54,-4.62,32.06,46.09,133.17,-75.41,156.75,95.14,-75.32,-1.56,9.28,7.73,1.37,-65.04,-66.19,90.20,100.44,26.37
11.45,-35.37,-4.88,31.98,46.07,131.67,-75.52,154.84,94.95,-75.11,-1.52,9.02,7.75,1.64,-65.57,-66.61,90.28,100.52,26.55
11.59,-35.27,-4.84,31.83,45.75,132.15,-75.43,154.91,94.77,-75.08,-1.65,9.04,7.92,1.87,-65.84,-66.64,90.25,100.36,26.19
11.73,-35.12,-4.69,31.90,46.00,132.37,-75.30,154.76,95.09,-75.19,-1.78,8.53,7.84,1.08,-61.17,-65.31,90.14,100.11,25.07
11.87,-34.94,-4.43,32.00,46.02,131.73,-75.19,154.41,95.07,-75.21,-2.86,8.31,5.79,-0.22,-43.68,-58.78,91.26,91.86,16.11
12.03,-35.27,-4.59,31.39,45.79,131.91,-75.52,154.97,95.08,-75.24,-3.77,7.77,2.02,-1.17,166.57,-49.00,98.72,88.96,11.65
12.16,-35.23,-5.26,30.91,46.00,132.27,-75.97,155.38,95.12,-75.03,18.07,8.82,9.41,-1.58,-144.39,-17.34,69.80,86.37,6.94
12.39,-35.00,-6.58,28.99,45.76,135.99,-77.00,157.19,95.06,-74.12,7.69,10.72,17.90,1.96,46.66,11.85,87.38,87.92,3.33
12.54,-34.42,-6.51,28.31,45.83,140.16,-77.36,158.34,95.30,-74.32,6.06,11.75,19.85,5.72,48.63,29.18,88.62,85.09,-5.07
12.67,-34.20,-6.12,27.86,45.65,141.78,-77.31,158.67,95.30,-74.58,6.18,11.60,20.34,6.52,49.17,29.56,88.71,85.60,-5.69
12.80,-33.98,-6.12,27.64,45.54,143.00,-77.14,158.87,95.19,-74.41,5.52,11.01,20.35,5.71,48.80,28.38,88.68,86.61,-5.35
12.92,-33.84,-5.67,27.74,45.68,142.58,-77.09,158.58,95.17,-74.61,6.04,10.89,20.25,5.18,49.02,27.64,88.26,87.02,-4.74
13.06,-33.43,-5.50,28.16,45.68,146.73,-77.18,153.10,95.25,-74.71,4.93,11.02,20.39,5.04,48.60,27.72,88.23,86.72,-5.76
13.21,-33.43,-5.45,27.85,45.54,146.80,-77.33,152.74,94.95,-74.69,5.73,11.33,20.35,5.32,49.14,27.74,87.97,86.27,-6.62
13.33,-33.03,-5.13,28.42,45.76,147.45,-77.20,152.34,95.10,-74.83,4.90,12.25,20.90,6.33,49.43,30.42,88.06,84.47,-9.39
