Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.05,-34.45,-4.35,27.31,44.79,143.16,-76.70,157.82,96.34,-74.73,7.19,-14.08,72.76,74.32,-79.10,-85.49,129.63,110.41,-19.05
0.24,-34.17,-4.48,27.27,44.77,143.93,-77.22,158.54,96.18,-74.22,-1.49,-13.00,69.95,71.37,-70.94,-80.80,131.26,103.09,-12.87
0.41,-33.79,-4.33,26.40,44.72,144.03,-77.21,158.68,96.05,-74.54,-7.14,-9.42,59.63,65.07,-55.54,-74.10,115.62,97.56,-9.41
0.54,-33.78,-4.10,26.20,44.68,141.45,-76.85,158.31,96.08,-74.38,-15.59,-8.42,36.49,44.18,-35.24,-56.86,103.60,75.14,-10.19
0.67,-33.49,-4.56,25.95,44.71,145.30,-76.96,159.11,96.13,-74.22,-13.62,-10.10,33.65,30.40,-5.69,-44.57,49.72,51.75,-23.76
0.81,-33.49,-4.91,28.06,44.87,141.99,-77.55,157.02,96.02,-74.24,-8.81,-1.77,23.74,11.70,666.00,-24.70,23.28,15.59,-43.03
0.93,-34.42,-4.12,28.31,44.89,140.23,-77.73,156.81,95.93,-74.35,-10.01,-0.03,15.32,-0.11,666.00,-27.21,18.28,1.90,-41.21
1.06,-35.19,-3.00,29.53,44.26,134.02,-77.79,155.95,94.53,-74.38,-11.30,-0.44,9.94,-4.38,666.00,-28.64,23.30,5.70,-45.53
1.19,-35.61,1.18,31.51,45.69,130.49,-77.10,153.70,95.85,-76.00,-9.54,-0.78,8.44,-6.95,666.00,-23.37,25.13,13.00,-42.09
1.32,-36.46,1.93,33.58,47.32,129.73,-77.99,153.86,95.93,-76.61,-7.20,3.97,9.07,-3.27,666.00,-26.24,27.36,9.81,-37.77
1.45,-36.57,1.05,33.69,49.03,128.64,-83.04,152.12,96.05,-76.27,-4.19,7.87,12.06,-2.91,666.00,-24.62,27.32,10.11,-41.71
1.58,-36.51,-0.64,31.54,49.10,130.61,-82.51,152.88,95.87,-76.17,-2.76,7.81,13.78,0.29,666.00,-24.52,26.04,9.52,-41.44
1.71,-37.77,-1.31,28.74,49.51,128.51,-81.43,159.61,96.11,-76.68,-3.72,6.98,15.28,0.11,666.00,-21.49,25.11,7.95,-43.49
1.84,-39.78,-0.34,26.27,51.37,130.67,-81.24,160.93,96.44,-76.44,-4.24,6.65,14.35,-1.84,666.00,-22.20,24.04,7.87,-35.07
1.96,-40.34,-2.46,24.10,51.79,135.32,-82.77,161.94,96.53,-76.39,-4.69,6.46,14.34,-2.91,666.00,-20.82,23.71,8.91,-32.03
2.09,-39.79,-2.77,23.02,51.22,137.57,-83.30,162.12,95.95,-76.07,-4.81,6.63,15.11,-2.26,666.00,-19.22,24.46,8.54,-32.33
2.21,-39.48,-2.26,23.28,50.58,136.17,-82.26,162.30,95.92,-77.17,-4.05,6.76,14.41,-1.13,666.00,-19.77,24.87,8.88,-31.00
2.34,-39.18,-3.30,25.13,49.34,133.80,-83.22,162.27,96.01,-76.30,-3.46,7.40,13.78,-0.14,666.00,-18.54,24.97,9.56,-32.14
2.47,-38.80,-2.50,25.90,49.05,133.52,-82.67,161.48,95.77,-75.55,-3.14,7.12,13.40,-0.22,666.00,-18.41,24.60,9.37,-32.48
2.59,-38.22,-2.56,27.15,49.02,133.41,-82.34,158.82,95.72,-75.65,-3.66,7.23,13.68,-0.77,666.00,-18.74,23.86,8.66,-32.69
2.72,-38.05,-1.33,27.80,49.25,130.93,-81.82,159.26,95.92,-76.44,-4.26,6.43,13.36,-2.23,666.00,-19.77,23.26,7.43,-37.25
2.85,-38.01,-1.65,28.07,49.22,131.84,-82.25,158.45,95.89,-76.32,-4.54,6.25,13.04,-2.31,666.00,-19.91,23.10,7.55,-38.65
2.97,-38.00,-1.43,28.27,49.23,131.30,-81.85,157.51,95.98,-76.30,-4.29,6.24,12.60,-1.90,666.00,-20.63,22.75,7.53,-39.10
3.10,-37.90,-1.33,28.10,49.21,130.84,-81.82,158.49,96.00,-76.22,-4.09,6.59,12.37,-1.10,666.00,-21.60,22.64,7.45,-39.09
3.22,-37.90,-1.59,27.96,48.81,131.51,-81.76,157.36,95.89,-76.07,-3.88,6.95,12.26,-0.71,666.00,-21.35,22.90,7.85,-37.34
3.35,-37.86,-1.90,27.53,48.92,134.46,-81.45,157.35,95.91,-75.92,-3.75,6.54,12.16,-0.82,666.00,-21.19,22.89,8.32,-35.81
3.48,-37.89,140.02,27.50,-138.00,132.63,60.30,160.68,93.23,-47.64,-4.37,6.61,13.33,-0.93,666.00,-20.70,23.51,8.50,-35.45
3.61,-36.90,-2.67,27.30,48.51,134.73,-81.42,159.85,96.03,-75.76,-3.86,6.33,12.46,-1.00,666.00,-19.90,23.04,8.11,-35.21
3.74,-36.79,-2.72,27.39,48.57,133.74,-81.46,159.75,96.01,-75.48,-3.78,6.30,12.28,-0.93,666.00,-19.77,23.06,7.93,-35.26
3.87,-36.94,-2.79,27.43,48.75,135.69,-81.35,160.53,95.92,-75.46,-3.77,5.99,12.17,-1.01,666.00,-19.74,22.86,8.10,-34.96
4.01,-36.62,-2.86,27.35,48.85,131.09,-81.14,158.08,96.03,-75.51,-3.79,6.24,12.08,-1.37,666.00,-19.67,22.86,7.92,-35.60
