Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-30.89,-0.68,21.76,40.15,-165.62,-76.23,169.43,97.92,-73.20,-3.28,6.19,24.05,10.22,52.10,19.64,92.29,79.68,-16.77
0.23,-30.69,0.68,21.42,40.02,-167.29,-76.55,169.13,97.90,-73.94,-3.01,8.96,23.84,11.62,44.52,22.10,85.16,78.23,-18.06
0.37,-30.61,1.02,21.48,40.14,-167.89,-76.62,169.07,97.84,-74.05,-3.49,9.71,23.91,11.47,44.21,22.00,85.40,78.45,-17.07
0.50,-30.44,0.89,21.37,40.06,-167.39,-76.44,168.93,97.74,-73.95,-3.93,9.99,24.00,11.46,44.04,21.66,85.95,77.82,-17.55
0.64,-30.30,1.00,21.42,40.04,-167.53,-76.76,168.83,97.68,-74.05,-4.09,10.27,23.89,11.37,43.57,21.86,86.76,77.65,-17.65
0.77,-30.44,1.00,21.60,40.13,-167.69,-76.54,169.00,97.80,-73.86,-4.17,10.19,23.79,11.41,43.47,21.72,86.65,77.64,-17.53
0.90,-30.48,1.00,21.63,40.13,-167.62,-76.54,169.04,97.80,-73.86,-4.21,10.19,23.76,11.41,43.39,21.72,86.57,77.64,-17.53
1.02,-30.61,1.00,21.64,40.13,-167.60,-76.54,169.13,97.80,-73.86,-4.36,10.28,23.70,11.23,43.33,21.23,86.52,77.84,-17.12
1.15,-30.50,1.00,21.58,40.13,-167.43,-76.54,169.02,97.80,-73.86,-4.45,10.24,23.78,11.24,49.88,20.92,91.37,78.14,-16.98
1.28,-30.36,0.56,21.25,40.06,-169.26,-77.04,168.71,97.76,-73.70,-2.48,10.09,21.52,10.88,39.61,19.97,85.49,78.36,-16.50
1.41,-30.50,0.31,21.15,40.12,-168.01,-76.89,168.88,97.77,-73.71,14.31,9.54,13.93,3.52,-157.17,-4.18,62.67,84.50,-5.30
1.54,-30.46,0.64,21.44,40.25,-168.19,-77.00,168.97,97.77,-73.97,-6.15,11.23,9.95,2.99,-27.28,-21.70,89.38,80.87,-10.42
1.68,-30.63,0.97,21.05,40.16,-168.72,-76.89,168.94,97.84,-74.14,-5.40,10.98,10.40,4.41,-54.90,-24.78,86.13,72.48,-19.37
1.80,-29.91,1.23,21.92,40.10,-172.05,-75.78,168.46,97.81,-74.31,-5.98,10.08,11.96,12.95,-72.48,-62.89,83.02,69.87,-18.66
1.94,-28.59,0.92,22.51,40.49,-176.34,-75.57,167.22,98.10,-74.34,-7.85,8.15,21.96,13.36,-76.30,-69.61,67.11,64.11,-24.88
2.07,-28.12,0.95,23.85,40.39,175.61,-75.50,166.27,98.07,-74.01,-7.77,7.48,21.76,13.26,-79.11,-72.43,66.76,62.67,-26.36
2.20,-30.45,2.23,24.93,40.39,166.34,-73.57,167.40,98.22,-74.77,-7.26,8.02,21.35,13.54,-78.20,-73.40,67.44,64.93,-23.45
2.34,-30.61,1.42,25.43,40.50,164.56,-73.21,167.45,98.18,-74.18,-7.03,8.74,21.26,13.64,-78.26,-73.15,67.14,66.27,-21.94
2.47,-29.73,1.12,25.80,40.63,165.61,-73.01,166.90,98.44,-74.39,-7.67,8.59,22.10,13.92,-78.30,-73.62,66.17,64.84,-23.49
2.61,-29.17,0.43,25.87,40.72,167.22,-73.80,166.66,98.38,-73.96,-8.04,8.53,22.76,14.09,-77.68,-73.98,65.71,65.91,-22.67
