Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-8.00,2.75,10.05,10.17,666.00,9.89,24.12,24.87,2.41,-11.16,7.79,9.07,9.98,666.00,-0.72,23.55,13.91,-52.61
0.23,-8.82,3.40,10.76,11.26,666.00,9.92,25.75,24.34,1.62,-11.42,7.16,9.24,10.63,666.00,-2.11,23.88,14.93,-51.20
0.38,-7.59,3.29,10.52,11.16,666.00,10.07,23.81,24.32,1.64,-12.21,6.80,9.14,10.72,666.00,-2.47,23.62,14.95,-51.05
0.61,-7.75,3.29,10.22,11.16,666.00,10.07,23.45,24.31,1.33,-11.90,5.88,9.36,10.95,666.00,-3.95,24.37,14.72,-50.74
0.75,-7.20,2.93,10.17,11.07,666.00,10.03,23.08,24.48,1.63,-11.79,5.60,9.35,10.90,666.00,-4.61,24.38,15.21,-50.33
0.89,-6.69,2.93,10.10,11.07,666.00,10.03,22.53,24.64,1.75,-12.63,5.60,9.29,10.90,666.00,-4.61,24.95,15.39,-50.20
1.01,-6.39,2.93,9.99,11.07,666.00,10.03,22.21,24.85,1.80,-13.01,5.60,9.25,10.90,666.00,-4.61,24.96,15.48,-49.48
1.15,-5.82,3.36,9.75,10.74,666.00,9.90,21.26,24.50,2.06,-13.04,5.56,9.23,10.74,666.00,-4.76,24.36,15.48,-49.48
1.28,-5.39,3.71,9.52,10.54,666.00,9.94,21.22,24.43,1.68,-12.34,6.05,9.23,11.22,666.00,-5.25,23.22,15.52,-49.56
1.49,-5.04,3.53,9.55,10.49,666.00,9.44,21.04,24.24,2.02,-12.70,6.10,9.24,11.37,666.00,-4.84,23.60,15.63,-49.96
1.62,-5.77,3.53,9.50,10.49,666.00,9.44,21.27,24.24,2.02,-12.66,6.07,9.42,11.58,666.00,-5.10,23.60,15.54,-50.13
