Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,177.03,157.06,104.37,122.34,-62.62,-68.55,81.74,118.62,-51.77,-21.13,11.26,13.47,24.99,666.00,-34.43,17.43,5.31,25.14
0.24,179.48,154.42,107.20,113.65,-51.56,-64.24,51.49,70.19,-67.23,-21.46,10.93,14.08,24.22,666.00,-33.08,18.21,5.63,24.41
0.39,178.45,151.77,106.03,112.86,-47.02,-66.89,33.09,51.74,-68.09,-21.79,11.66,14.42,24.82,666.00,-33.10,21.95,6.10,24.44
0.54,177.30,148.22,106.36,111.65,666.00,-72.43,13.83,7.59,-63.76,-22.22,10.94,14.78,25.34,666.00,-34.13,20.97,6.05,25.04
0.70,179.41,146.01,102.61,107.63,666.00,-75.88,10.04,1.58,-64.30,-22.59,11.26,15.10,25.31,666.00,-33.84,20.70,6.31,24.94
0.83,-168.36,140.92,101.39,104.13,666.00,-73.84,10.81,0.06,-65.68,-22.50,10.82,15.19,26.01,666.00,-33.53,21.04,6.77,24.97
0.97,-166.82,138.51,99.13,103.01,666.00,-72.23,9.76,0.67,-64.97,-22.11,11.15,14.64,26.02,666.00,-33.67,20.73,6.34,24.99
1.11,-163.55,133.86,95.38,101.35,666.00,-66.81,9.85,0.54,-53.88,-21.48,10.91,14.05,25.55,666.00,-33.45,18.89,6.01,24.78
1.25,-19.24,114.42,81.26,95.82,666.00,-59.17,12.27,3.33,-47.23,-21.27,10.35,13.65,25.13,666.00,-33.12,20.06,5.48,24.89
1.38,-0.69,77.19,63.28,86.75,666.00,-49.89,12.12,0.24,-24.60,-19.93,9.80,13.93,24.74,666.00,-32.71,18.73,5.38,24.84
1.52,-16.73,30.01,42.91,59.96,-26.73,-24.46,34.35,10.95,-30.91,-16.94,9.10,13.22,24.26,666.00,-32.16,17.26,5.09,24.65
1.66,-9.17,26.79,30.21,56.66,666.00,-23.20,27.48,6.06,-24.64,-14.39,9.51,13.71,24.14,666.00,-32.44,16.41,4.63,25.61
1.80,-9.01,11.17,16.73,18.35,666.00,16.20,20.37,14.43,-24.60,-12.27,9.07,13.83,24.67,666.00,-31.66,16.79,3.87,24.35
1.94,-3.50,5.63,10.68,5.14,666.00,33.82,19.04,23.00,-22.40,-8.84,9.06,11.42,25.19,666.00,-31.11,15.65,4.09,24.65
2.15,-8.74,4.94,10.88,4.32,666.00,40.56,19.15,24.50,-22.58,-1.09,7.03,8.61,26.14,666.00,-31.80,8.47,2.51,24.75
2.28,-9.11,4.62,12.11,6.41,666.00,40.94,20.16,23.17,-16.44,-3.40,8.31,8.38,25.43,666.00,-30.27,8.71,2.22,24.47
2.41,-7.28,5.03,11.01,7.02,666.00,40.87,17.78,23.18,-18.21,-6.92,8.62,8.98,26.67,666.00,-30.54,11.61,2.58,24.78
2.54,-7.97,4.78,11.67,6.55,666.00,40.94,22.33,23.62,-19.23,-11.98,8.44,12.46,26.85,666.00,-30.36,18.64,2.63,28.11
2.67,7.72,5.83,4.47,7.05,666.00,41.13,2.64,22.91,-22.36,-18.48,9.77,16.03,26.04,666.00,-30.08,25.62,0.12,25.16
2.81,-10.32,4.90,31.53,9.28,59.92,42.04,65.54,23.45,-23.06,-21.47,8.64,22.69,24.59,666.00,-29.91,28.75,2.41,23.48
2.93,-7.89,6.57,28.60,10.41,61.43,42.15,65.54,24.01,-22.63,-22.64,8.05,27.20,24.22,15.87,-32.00,32.62,3.15,24.55
3.07,-8.11,7.42,30.16,8.11,61.90,45.06,66.64,23.27,-21.32,-22.67,6.58,28.14,26.29,16.41,-33.80,30.87,0.87,29.00
3.20,1.63,9.59,11.57,8.88,57.70,49.42,37.93,20.80,-19.04,-24.12,6.91,25.30,23.74,666.00,-27.81,28.88,2.72,21.18
3.34,5.11,11.28,12.68,8.56,53.18,50.18,39.43,21.48,-20.07,-23.56,8.51,23.03,23.81,666.00,-33.53,26.95,0.64,23.73
3.48,6.93,13.72,27.49,10.51,50.39,38.03,46.89,38.42,-27.82,-26.49,7.52,10.77,23.65,666.00,-32.27,26.98,0.97,25.16
3.65,25.46,22.02,4.51,13.88,666.00,27.89,17.82,50.41,-28.44,-23.26,9.12,8.36,23.66,-176.84,-30.86,30.70,0.48,24.44
3.86,27.25,24.05,21.59,13.67,-136.13,27.73,58.85,81.27,-25.42,-22.93,9.04,8.95,25.06,666.00,-29.89,27.59,0.07,23.03
4.00,26.76,32.95,17.94,13.89,-129.58,25.35,57.82,77.51,-30.17,-27.05,7.65,8.36,23.83,666.00,-30.51,29.43,0.04,25.26
4.13,29.12,32.68,5.80,13.39,-126.33,25.35,40.10,73.57,-31.90,-30.33,9.27,7.24,25.92,666.00,-31.48,28.97,2.31,26.11
4.28,28.62,31.67,5.38,12.77,-127.26,26.01,40.95,74.05,-33.09,-30.79,7.78,8.44,25.90,666.00,-31.98,26.15,2.12,25.25
4.43,26.92,31.43,5.88,13.06,-125.14,25.85,47.59,73.79,-23.11,-30.55,8.02,8.64,25.90,666.00,-32.08,26.05,2.44,24.69
4.57,24.69,32.13,6.65,13.14,-124.89,25.96,47.55,72.97,-7.00,-31.73,8.69,8.29,24.63,666.00,-32.40,25.70,1.77,25.01
4.72,24.44,31.60,6.57,10.53,-115.89,27.72,45.60,74.65,-37.02,-31.50,8.76,8.23,24.17,666.00,-32.29,25.53,1.41,24.89
4.86,24.46,31.27,7.70,9.48,-114.39,28.05,43.50,74.92,-69.56,-31.40,8.16,8.02,24.12,666.00,-32.83,24.53,1.96,25.56
5.00,24.37,31.18,9.37,9.62,-114.51,27.07,42.97,73.42,-99.93,-30.20,8.01,8.14,24.02,666.00,-32.70,21.40,1.85,25.54
