Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,3.47,100.56,2.32,178.98,666.00,-179.52,21.50,69.21,-131.75,1.84,19.36,10.90,5.48,-58.04,6.90,45.07,17.41,159.81
0.21,3.57,100.55,2.46,-179.88,666.00,-179.77,21.41,69.21,-131.75,1.94,18.99,10.88,5.83,-57.97,6.07,43.84,17.46,160.10
0.34,3.52,100.55,2.42,-179.88,666.00,-179.77,21.40,69.22,-132.76,2.12,19.01,10.86,5.81,-57.61,6.39,45.03,17.49,160.41
0.47,3.51,100.55,2.37,-179.88,666.00,-179.77,21.69,69.22,-132.76,2.13,19.01,10.90,5.81,-57.79,6.39,45.52,17.58,160.32
0.62,3.45,100.55,2.31,-179.88,666.00,-179.77,21.17,69.16,-134.35,2.03,18.99,11.00,5.83,-58.10,6.07,45.07,17.55,160.01
0.76,3.37,100.55,2.89,-179.88,666.00,-179.77,19.65,68.91,-135.45,1.90,18.99,11.02,5.83,-58.05,6.07,43.82,17.43,160.10
0.90,-0.62,100.68,24.99,179.56,31.53,-179.65,36.97,68.68,-138.25,1.83,18.98,11.06,5.70,666.00,6.16,24.65,17.41,160.03
1.04,-0.86,100.78,24.33,178.90,39.33,-179.75,32.87,68.84,-138.63,1.74,19.23,11.30,5.81,666.00,5.97,24.32,17.31,159.89
1.18,-0.99,100.78,23.21,178.90,76.07,-179.75,37.37,69.78,-135.12,2.02,18.92,11.59,5.79,666.00,6.28,24.66,17.66,160.20
1.31,-1.22,100.68,21.52,179.56,82.53,-179.65,40.10,69.12,-134.96,2.10,19.14,11.58,5.66,666.00,6.48,26.37,17.34,160.06
1.44,-1.50,100.68,20.64,179.56,85.29,-179.65,43.29,68.97,-134.72,2.19,19.50,11.55,6.15,666.00,6.69,26.17,17.52,160.19
1.57,-1.69,100.68,20.09,179.56,86.56,-179.65,44.85,68.78,-134.53,2.13,19.70,11.74,6.32,666.00,6.88,26.07,17.72,160.31
1.72,-1.75,100.68,20.14,179.56,86.58,-179.65,44.23,68.91,-134.47,2.21,19.84,11.84,6.30,666.00,6.88,24.83,17.60,160.02
1.85,-2.35,100.68,22.51,179.56,75.34,-179.65,34.97,69.19,-133.37,2.11,19.84,11.63,6.30,-68.12,6.88,54.55,17.60,160.02
2.02,2.23,100.68,4.77,179.56,80.50,-179.65,86.32,69.11,-130.70,1.79,19.70,11.63,6.69,24.16,6.59,31.04,17.64,159.95
2.16,3.40,100.91,3.29,174.65,81.03,-179.79,88.46,65.76,-137.82,1.40,19.86,11.66,7.64,25.68,6.45,36.71,17.51,160.23
2.31,3.77,100.91,2.98,175.96,666.00,-179.58,22.25,65.76,-137.82,1.23,19.97,11.28,7.50,-64.07,5.86,58.34,17.35,160.10
2.45,3.87,100.78,3.00,176.46,666.00,-179.71,22.29,67.58,-136.74,1.18,20.36,11.16,6.93,-63.11,1.84,56.89,16.10,156.02
2.58,3.94,100.91,3.41,173.57,666.00,-179.54,20.33,68.12,-134.50,1.17,20.97,11.00,6.26,23.57,1.21,31.16,17.31,160.46
