Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,0.30,104.02,10.71,-178.71,666.00,-179.35,18.61,70.81,-123.17,3.46,141.85,24.34,108.67,666.00,-87.47,21.56,51.08,133.71
0.23,0.25,104.02,10.69,178.35,666.00,-179.49,18.18,70.22,-122.22,4.66,26.74,23.63,6.77,666.00,-9.30,24.88,13.85,172.34
0.39,1.15,103.89,10.39,-179.12,666.00,-179.22,22.62,69.20,-122.19,6.41,26.54,22.56,6.61,666.00,-9.96,24.75,13.18,157.92
0.55,0.45,103.66,10.15,-178.15,666.00,-179.24,22.54,69.20,-122.19,7.04,29.25,20.18,11.79,666.00,-3.89,22.82,10.61,166.63
0.72,-0.39,103.53,10.26,-174.69,666.00,-179.23,21.47,69.20,-122.19,6.84,28.97,19.97,11.98,666.00,-4.69,19.99,10.40,166.46
0.89,-0.70,103.43,9.59,-173.26,666.00,-179.38,21.70,70.07,-125.69,4.65,28.81,24.37,12.23,666.00,-4.97,25.95,10.40,166.46
1.05,-0.73,103.31,9.33,-172.77,666.00,-179.50,23.49,70.01,-125.57,4.71,28.67,21.66,12.38,666.00,-5.03,23.72,8.50,159.69
1.20,-0.45,103.44,9.97,-176.29,666.00,-179.52,22.49,70.04,-124.86,5.20,28.95,20.96,12.19,666.00,-4.23,21.97,8.90,159.98
1.35,-0.39,103.44,10.20,-178.24,666.00,-179.47,20.94,70.19,-123.91,6.20,29.03,19.55,12.01,666.00,-3.80,19.42,9.89,162.44
1.70,-0.11,103.08,10.64,-179.65,666.00,-179.32,17.24,69.90,-124.13,7.58,28.73,17.72,11.71,666.00,-3.52,18.22,10.81,162.56
1.88,0.34,103.08,11.49,-176.76,666.00,-179.62,18.25,70.00,-124.07,7.26,28.63,14.15,12.23,666.00,-4.08,16.78,10.55,160.80
2.03,0.55,103.08,12.71,-176.76,666.00,-179.62,16.64,70.46,-123.88,6.72,28.63,9.68,12.23,666.00,-4.08,14.81,9.98,160.34
2.16,1.23,103.08,13.92,-176.76,666.00,-179.62,16.94,70.46,-123.88,4.30,28.63,9.77,12.23,666.00,-4.08,17.53,9.39,161.46
2.30,1.29,103.57,13.30,-176.58,666.00,178.98,16.69,70.79,-123.12,4.26,26.70,11.01,6.25,666.00,3.72,17.53,12.40,167.94
2.45,1.55,104.52,13.44,-171.14,666.00,177.64,16.98,69.81,-125.38,5.65,26.60,9.72,7.80,666.00,4.80,14.15,12.09,169.48
2.59,1.30,103.82,13.04,-175.56,666.00,177.33,17.47,69.68,-126.91,3.61,27.00,9.07,8.52,666.00,5.03,18.08,11.76,166.97
2.75,1.28,103.95,12.75,-176.25,666.00,177.00,18.89,69.68,-126.91,5.26,27.66,8.11,9.68,666.00,4.75,16.04,12.81,168.59
2.88,1.09,103.95,12.12,-176.25,666.00,177.00,18.03,69.36,-125.76,6.01,27.66,7.63,9.68,666.00,4.75,15.96,12.78,168.08
3.00,1.18,103.58,11.11,-174.66,666.00,178.93,18.67,69.21,-127.00,6.36,27.22,13.76,7.64,666.00,3.94,18.10,12.42,166.23
3.13,1.01,103.58,10.67,-174.66,666.00,178.93,15.20,69.31,-128.55,6.87,27.13,13.98,5.36,666.00,7.29,16.44,12.96,167.97
3.26,0.72,103.45,11.09,-171.79,666.00,179.66,18.09,69.67,-128.70,7.47,26.95,14.35,4.73,666.00,6.48,16.73,12.96,167.97
3.38,0.66,103.45,11.17,-171.79,666.00,179.66,19.28,69.67,-128.70,7.48,26.95,15.42,4.73,666.00,6.48,22.67,21.98,-156.71
3.51,0.36,103.67,11.13,-170.76,666.00,-179.92,20.15,70.04,-129.85,6.90,29.54,22.12,6.15,54.40,6.74,33.39,28.30,-143.61
3.64,0.02,103.67,10.67,-172.64,666.00,-179.86,21.11,70.13,-129.38,6.91,29.58,23.19,5.95,38.92,7.16,44.32,55.57,-128.05
3.77,-2.14,103.44,8.77,-173.49,666.00,-179.83,20.31,70.13,-129.38,6.48,29.37,24.08,5.83,29.00,7.37,51.15,70.59,-126.97
3.90,-0.39,103.44,8.40,-171.56,666.00,-179.89,20.26,70.13,-129.38,18.58,38.42,17.00,9.42,-149.42,10.14,89.37,87.70,-124.61
