Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-2.18,101.58,5.00,-168.94,666.00,-179.42,22.97,69.11,-147.34,-2.08,25.36,16.46,6.82,7.66,8.76,70.18,80.01,162.36
0.20,-1.11,101.48,0.82,174.75,666.00,-178.97,19.89,68.93,-144.48,-0.73,25.22,15.17,7.12,6.46,11.86,69.62,77.88,121.95
0.34,-1.83,101.25,3.91,169.94,666.00,-179.11,20.52,69.03,-142.00,-7.55,24.69,19.10,7.31,10.76,10.86,77.73,78.29,125.51
0.46,-1.82,101.06,5.00,165.19,666.00,-179.03,20.59,69.16,-141.24,-8.22,24.02,17.57,6.93,11.16,10.88,79.14,78.03,126.31
0.60,-2.12,100.93,5.59,162.10,666.00,-179.32,22.02,69.21,-141.07,-8.47,23.69,16.75,6.67,10.37,10.66,79.02,77.97,132.38
0.74,-2.05,100.70,6.67,159.43,666.00,-179.51,21.93,68.89,-140.19,-3.23,23.09,14.14,6.40,6.85,9.97,72.72,78.35,136.37
0.86,-1.28,101.28,6.14,164.17,666.00,-179.46,22.35,68.66,-140.43,-1.38,23.26,13.05,6.57,4.25,9.15,67.96,78.60,135.85
0.99,-1.21,101.06,5.22,166.42,666.00,-178.82,23.56,68.36,-140.82,-1.34,21.55,12.63,5.19,4.47,8.54,69.22,78.01,132.92
1.12,-0.90,101.62,5.14,163.23,666.00,-179.07,23.85,68.18,-138.26,-0.85,21.12,12.61,4.58,4.33,8.81,68.34,78.71,132.75
1.25,-0.87,101.50,5.14,164.36,666.00,-179.68,23.95,68.83,-134.11,-1.01,20.84,12.97,5.48,5.17,8.15,68.11,78.02,133.81
1.37,-0.11,101.03,4.23,164.73,666.00,-179.94,23.77,68.99,-133.76,-2.19,19.54,14.84,6.82,4.80,8.68,68.43,78.66,134.80
1.50,0.20,100.09,3.39,170.73,666.00,179.68,20.38,70.28,-140.59,-2.28,18.68,17.12,7.87,7.13,7.61,70.40,78.62,135.54
1.63,0.04,99.51,1.27,176.04,666.00,179.02,21.03,70.19,-142.50,-7.29,19.10,19.33,9.41,9.59,8.01,75.36,79.52,136.96
1.75,-0.29,98.96,1.08,-174.37,666.00,179.47,20.78,69.20,-141.54,-6.34,20.29,21.47,9.71,10.10,8.26,76.11,78.53,137.72
1.89,-0.30,98.83,0.98,-166.08,666.00,179.95,21.19,69.20,-141.54,-3.77,20.31,16.62,9.43,1.96,7.23,68.65,79.26,137.81
2.02,-0.50,98.71,0.95,-166.56,666.00,-179.93,22.24,67.04,-138.51,-4.39,20.74,17.21,9.96,1.59,9.23,68.08,78.97,138.41
2.14,-0.67,98.95,0.62,-176.29,666.00,178.58,21.42,70.02,-143.25,-4.45,21.08,17.14,11.59,0.94,10.72,67.59,78.78,137.71
2.27,-0.98,98.61,0.44,-176.82,666.00,178.70,21.07,71.22,-144.39,-1.38,19.77,19.74,12.23,4.81,9.79,70.41,79.07,137.89
2.40,-1.04,99.08,0.43,-168.49,666.00,178.59,20.56,71.21,-143.97,-0.89,19.35,20.50,12.56,8.92,7.21,71.32,78.47,137.97
2.53,-0.43,99.44,0.37,-162.75,666.00,179.07,20.07,70.32,-145.91,-4.95,20.07,16.94,12.58,1.38,6.80,67.32,78.80,138.73
2.66,-0.45,99.44,1.09,-158.91,666.00,179.24,20.90,69.27,-145.56,-5.82,21.26,17.49,12.57,-0.42,8.01,66.69,78.51,139.62
2.80,0.01,99.96,1.19,-150.29,666.00,178.59,21.77,66.78,-142.37,-6.15,21.55,18.42,13.66,-0.65,8.30,66.24,78.61,139.89
2.93,-0.85,100.39,1.50,-154.41,666.00,178.63,22.48,66.68,-140.94,-4.20,22.51,17.88,12.53,2.45,10.08,68.18,78.00,139.23
3.08,-1.71,100.91,1.61,-161.87,666.00,179.78,21.40,70.45,-148.35,-6.16,22.70,23.23,11.64,8.18,9.24,79.08,78.66,136.87
3.23,-0.75,101.59,1.37,-173.84,666.00,179.76,20.96,70.84,-145.60,-4.44,22.60,20.19,12.26,3.59,10.04,69.57,78.56,136.84
3.36,9.05,102.99,-0.33,-166.50,666.00,179.76,13.38,69.86,-143.47,-8.13,19.33,19.97,12.46,-2.99,6.24,72.36,75.80,140.34
3.64,9.53,101.53,2.44,-159.54,666.00,178.88,15.33,70.98,-151.04,-7.43,16.69,15.87,12.18,-10.18,4.48,71.99,75.78,142.31
3.77,7.90,101.21,-2.55,-159.98,666.00,177.87,7.98,73.04,-149.27,-6.06,17.84,15.82,10.14,-7.06,2.99,70.54,75.08,157.92
3.90,8.39,101.12,4.87,-158.30,666.00,177.73,19.73,72.74,-148.81,-7.02,18.31,15.81,9.89,-6.25,2.22,71.15,74.50,158.79
4.03,10.49,101.26,6.83,-154.29,666.00,177.28,22.80,71.92,-150.03,-7.57,18.36,16.74,9.87,-3.33,2.72,69.44,73.17,156.40
4.16,10.51,101.14,-2.77,-146.95,666.00,176.65,6.91,72.36,-150.54,-6.59,18.68,18.17,10.81,-0.71,3.55,65.74,72.28,156.99
4.32,8.20,101.08,5.05,-144.83,666.00,176.25,22.90,73.03,-151.24,-7.87,18.52,14.68,10.74,-6.26,3.51,61.70,71.76,162.80
4.45,5.58,100.50,1.71,-142.08,666.00,176.37,11.03,73.71,-152.92,-11.87,19.29,24.00,10.65,17.55,4.61,81.12,77.15,175.23
4.57,3.48,100.36,2.59,-142.09,666.00,176.51,16.11,72.71,-152.75,-13.19,25.81,31.01,11.49,30.88,30.24,89.21,75.99,-175.81
4.70,1.69,100.08,6.76,-140.21,666.00,177.42,22.16,69.88,-153.72,-1.62,28.36,27.03,10.83,37.77,41.21,67.35,82.45,-173.31
4.83,-4.74,99.96,11.27,-138.58,666.00,177.74,29.67,70.25,-154.94,-1.21,29.74,29.44,10.00,45.00,55.70,67.92,84.77,-172.83
4.95,-1.79,100.14,4.37,-137.45,666.00,178.38,24.21,71.72,-156.82,-1.51,29.92,30.76,9.54,46.59,55.00,67.40,84.95,-173.00
5.10,-2.63,100.34,4.31,-137.17,666.00,178.80,23.45,72.46,-157.12,-0.35,30.13,31.25,9.21,47.78,54.60,67.89,83.65,-172.85
5.23,-3.26,100.52,3.50,-141.21,666.00,179.35,23.16,72.62,-157.46,0.46,31.90,31.43,11.98,49.78,60.86,80.88,86.17,-168.14
5.36,-3.84,100.63,4.73,-147.75,666.00,-179.12,23.87,72.42,-157.04,1.98,33.70,30.43,9.03,49.39,60.72,79.90,85.64,-165.77
5.48,-4.69,100.73,6.41,-151.91,666.00,-178.46,25.65,72.26,-156.66,3.05,34.76,29.93,7.19,50.63,62.54,87.30,87.69,-160.83
5.61,-4.99,100.99,7.18,-157.60,666.00,-178.82,26.01,72.16,-156.58,3.63,35.83,29.83,5.24,50.48,66.47,78.96,87.29,-160.86
5.74,-5.35,100.89,7.00,-155.91,666.00,-178.96,27.44,71.95,-156.79,3.64,35.60,29.67,5.35,50.91,66.32,85.69,87.54,-162.80
