Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.05,0.18,97.62,3.06,-151.05,666.00,175.70,16.90,69.27,-155.08,-4.93,21.61,15.84,12.47,666.00,22.36,22.80,17.14,159.37
0.24,0.45,97.73,2.48,-152.02,666.00,175.81,16.60,68.81,-153.94,-4.94,21.76,15.63,12.57,666.00,21.99,23.03,17.03,159.24
0.37,0.53,97.60,1.61,-152.25,666.00,175.94,18.77,68.61,-152.86,-4.88,21.72,15.56,12.70,666.00,22.43,22.97,17.26,159.57
0.49,0.16,97.49,1.79,-152.60,666.00,175.84,19.22,69.70,-155.50,-4.91,21.83,15.53,12.72,666.00,22.94,22.73,17.12,159.34
0.62,-0.98,97.60,2.31,-152.25,666.00,175.94,21.00,70.19,-155.76,-4.78,21.88,15.40,12.49,666.00,22.62,22.44,17.17,159.32
0.76,-3.31,97.62,5.14,-151.05,666.00,175.70,20.64,70.45,-156.25,-4.75,21.64,15.28,12.61,666.00,22.55,22.75,17.33,159.63
0.89,-2.95,97.53,4.79,-148.80,666.00,175.56,19.62,70.41,-156.43,-4.74,21.61,15.32,12.48,666.00,22.25,23.12,17.21,159.44
1.05,-2.82,97.31,3.92,-146.71,666.00,175.55,18.02,70.41,-156.43,-4.81,21.32,15.37,12.33,666.00,22.15,23.20,17.28,159.56
1.18,-2.35,97.44,3.41,-145.40,666.00,175.42,18.49,70.41,-156.43,-4.78,21.38,15.42,12.52,666.00,22.18,23.33,17.33,159.57
1.33,-0.41,97.20,1.97,-145.71,666.00,175.44,18.14,70.41,-156.43,-4.89,21.17,15.54,12.23,666.00,22.52,23.42,17.16,159.60
1.46,-0.42,97.20,1.68,-145.71,666.00,175.44,18.34,70.41,-156.43,-4.93,21.06,15.56,12.40,666.00,22.72,23.22,17.19,159.58
1.59,-4.36,96.98,6.97,-143.58,666.00,175.44,26.81,70.41,-156.43,-4.92,20.80,15.53,12.40,666.00,22.80,23.30,17.10,159.68
1.73,-4.08,97.22,6.96,-143.35,666.00,175.41,25.20,70.15,-155.53,-4.88,20.91,15.48,12.00,666.00,22.37,23.33,17.06,159.53
1.87,-0.00,97.35,2.44,-143.30,666.00,175.28,19.69,70.15,-155.53,-4.84,20.92,15.49,12.10,666.00,21.40,23.50,16.96,159.65
2.11,0.20,97.33,2.83,-145.61,666.00,175.31,16.48,70.15,-155.53,-4.94,20.90,15.41,12.17,666.00,20.19,23.86,17.02,160.22
2.25,-0.55,97.53,3.37,-150.18,666.00,175.35,17.60,69.74,-153.77,-4.85,21.04,15.25,12.32,666.00,19.73,24.02,16.72,161.62
2.41,-1.01,97.75,3.18,-152.25,666.00,175.36,18.14,69.80,-153.17,-4.92,21.31,15.09,12.27,666.00,19.96,24.33,16.62,163.46
2.55,-1.12,98.05,2.88,-156.57,666.00,175.50,17.73,70.14,-152.61,-4.69,21.73,14.96,12.00,666.00,20.50,24.20,16.80,166.79
2.67,-0.41,98.34,5.94,-166.43,666.00,175.94,17.89,70.48,-151.62,-4.33,22.64,15.67,13.03,666.00,8.71,21.17,16.57,164.70
2.81,-0.78,98.71,3.06,176.65,666.00,176.36,16.37,71.01,-150.54,-3.71,25.60,19.48,18.29,666.00,-0.45,21.76,15.74,164.10
2.95,-1.37,98.57,3.01,172.89,666.00,176.52,17.89,71.35,-147.21,-2.47,29.29,30.85,31.02,666.00,-24.52,22.31,14.33,173.25
3.08,-1.10,98.60,3.61,177.80,666.00,177.15,16.63,70.87,-145.37,0.25,30.31,44.02,35.04,666.00,-29.71,21.41,22.42,-159.64
3.21,-1.45,100.09,4.41,171.66,666.00,178.98,18.00,70.12,-145.06,5.70,46.73,58.04,58.85,666.00,-71.69,21.14,20.27,-150.88
3.34,0.25,100.44,1.98,166.60,666.00,179.42,16.99,69.54,-144.70,10.33,69.77,70.76,78.48,666.00,-78.33,17.44,18.59,-147.45
3.47,0.19,101.93,2.08,169.60,666.00,179.07,17.62,69.65,-146.38,13.81,76.81,77.71,82.87,666.00,-80.26,20.22,21.34,-146.50
3.59,-0.02,101.59,1.53,172.38,666.00,179.58,18.55,70.07,-146.49,18.78,112.08,84.23,98.88,666.00,-85.98,16.36,10.94,-149.39
3.72,-1.22,102.14,2.08,169.44,666.00,178.39,18.20,71.79,-148.01,8.40,119.77,87.61,101.71,666.00,-86.69,16.36,10.46,-149.66
3.84,-1.38,102.48,3.69,166.87,666.00,177.89,17.56,72.21,-146.87,-27.33,141.04,89.40,107.61,666.00,-94.01,14.74,4.48,-153.21
3.97,-1.12,102.48,5.21,162.29,666.00,178.70,18.02,71.05,-143.71,-18.42,143.82,89.10,107.41,666.00,-94.71,15.20,3.82,-153.87
4.10,-0.82,102.61,6.83,160.48,666.00,179.57,18.81,69.90,-141.83,-17.34,142.07,87.86,105.90,666.00,-95.09,14.35,2.58,-155.74
