Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-2.12,102.31,12.57,171.15,666.00,-179.45,10.76,66.33,-125.93,147.77,164.67,164.64,178.21,666.00,39.69,22.01,24.45,-162.70
0.20,-2.06,102.54,12.78,172.34,666.00,-179.47,11.69,66.66,-126.54,147.62,164.03,164.66,176.93,666.00,40.39,21.62,24.75,-161.92
0.34,-1.99,102.63,12.90,173.89,666.00,-179.62,12.00,66.54,-126.71,147.58,163.96,164.65,176.48,666.00,40.65,21.07,24.71,-162.10
0.47,-2.00,102.76,12.77,173.49,666.00,-179.49,12.73,66.55,-127.01,145.84,163.11,163.10,176.04,666.00,40.49,21.24,25.09,-162.25
0.60,-2.74,102.76,11.42,173.49,666.00,-179.49,20.50,66.80,-126.90,140.22,159.71,156.48,174.56,666.00,39.59,24.09,27.58,-163.33
0.74,-3.17,102.76,11.05,173.49,666.00,-179.49,19.60,66.57,-127.13,127.17,156.92,143.51,173.53,47.45,38.67,31.67,26.61,-163.45
0.88,-5.31,102.31,11.16,171.15,666.00,-179.45,16.59,66.72,-127.79,118.57,145.37,134.15,167.95,-51.86,33.87,31.25,25.75,-163.67
1.01,-6.05,102.31,12.04,171.15,666.00,-179.45,22.65,66.93,-128.57,103.43,132.16,113.33,159.21,666.00,28.96,29.34,26.35,-163.17
1.14,-6.99,102.31,11.09,173.25,666.00,-179.50,17.31,67.58,-130.13,73.86,119.79,66.49,147.32,-57.45,23.40,35.94,29.43,-164.59
1.27,-6.99,102.40,11.44,179.05,44.79,-179.75,30.21,67.87,-131.03,65.26,97.02,55.49,107.04,666.00,-78.29,10.98,29.04,-166.77
1.40,-6.80,102.76,11.07,-178.28,666.00,-179.70,19.85,68.31,-132.40,23.28,73.73,29.40,55.24,-1.58,-78.70,30.49,37.14,-168.73
1.53,-7.24,102.86,13.04,-176.82,666.00,-179.85,21.56,68.39,-132.76,13.24,63.01,23.04,40.50,666.00,1.61,20.98,22.40,-170.81
1.66,-5.68,103.21,12.68,-174.36,666.00,-179.80,21.09,68.47,-132.17,4.09,44.51,20.95,22.10,666.00,-2.75,18.76,17.99,-175.28
1.79,-4.09,103.89,11.85,-175.57,666.00,-179.78,18.67,67.19,-131.68,-3.09,22.44,18.46,6.15,666.00,-3.75,18.49,32.74,-177.41
2.03,-2.61,104.02,11.75,-177.07,666.00,-179.86,17.00,67.03,-131.02,-7.25,17.13,19.14,3.39,666.00,-4.04,23.56,15.34,-176.66
2.16,-2.80,104.25,11.16,176.42,666.00,-179.66,16.65,67.99,-129.36,-6.51,17.45,19.03,3.09,666.00,-2.46,23.60,14.54,-172.54
2.29,1.45,104.03,9.95,171.72,666.00,-179.52,16.08,68.54,-127.04,-2.87,16.25,19.53,4.59,666.00,-2.94,25.32,22.49,-177.51
2.51,1.52,103.90,9.81,173.11,666.00,-179.45,16.45,68.16,-127.20,-2.65,17.13,19.78,4.70,666.00,-1.80,25.55,22.32,179.54
2.64,1.67,103.80,10.04,176.30,666.00,-179.66,15.13,68.37,-127.98,-2.28,16.97,19.91,4.96,666.00,-2.57,24.98,21.08,175.66
2.77,1.20,103.67,9.94,177.77,666.00,-179.59,14.20,68.64,-128.70,-2.16,18.15,19.97,4.58,666.00,-1.92,22.21,19.04,176.61
