Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,0.85,102.78,0.89,-145.43,666.00,-179.93,19.21,68.27,-144.32,-1.07,32.40,13.62,3.78,6.82,4.08,32.67,126.95,-122.75
0.18,1.16,102.55,1.78,-145.67,666.00,-179.89,18.82,68.90,-144.97,-1.05,32.19,12.43,3.64,666.00,4.28,21.55,33.78,-129.27
0.33,0.98,102.55,4.12,-145.67,666.00,-179.89,19.16,69.04,-144.93,-1.59,32.19,11.81,3.64,666.00,4.28,18.75,33.78,-129.27
0.47,1.56,102.77,3.03,-146.88,666.00,-179.88,18.23,69.11,-145.19,-2.83,22.09,11.41,4.87,666.00,-4.43,20.16,20.98,-143.94
0.61,2.04,103.00,3.05,-148.07,666.00,-179.87,17.07,69.45,-143.90,-2.68,22.56,11.04,5.50,666.00,-5.28,20.76,22.68,-144.35
0.74,1.93,103.09,4.24,-152.46,666.00,-179.62,17.74,68.75,-142.71,-2.32,22.78,10.95,5.02,666.00,-4.10,21.55,26.04,-146.07
0.87,2.29,103.09,3.49,-152.46,666.00,-179.62,17.47,68.75,-142.71,-1.32,25.34,11.37,6.10,666.00,-3.90,21.33,25.51,-152.26
1.00,2.32,103.09,2.92,-152.46,666.00,-179.62,17.54,68.46,-143.52,-0.82,25.74,11.64,6.39,666.00,-1.40,21.97,24.88,-160.46
1.13,1.91,103.00,2.54,-148.07,666.00,-179.87,18.14,68.83,-145.27,-0.89,25.24,12.08,6.58,666.00,-1.48,21.79,22.46,-169.09
1.39,1.37,103.12,2.58,-147.15,666.00,-179.80,18.80,69.17,-146.32,-1.30,24.66,12.20,6.21,666.00,0.71,21.83,21.19,-172.72
1.55,1.27,102.99,2.67,-145.79,666.00,-179.72,18.99,69.46,-146.66,-1.35,24.51,11.88,6.18,666.00,0.35,21.47,21.58,-172.81
1.70,1.02,103.11,4.30,-147.75,666.00,-179.55,20.12,68.63,-145.22,-1.16,24.70,11.10,5.89,666.00,0.85,21.12,21.58,-172.81
1.82,1.42,102.97,3.72,-149.34,666.00,-179.36,19.46,68.15,-143.35,-1.27,24.64,11.06,5.09,666.00,0.84,21.14,22.73,-164.09
1.95,1.51,103.08,3.53,-150.00,666.00,-179.47,19.29,68.15,-143.35,-1.43,24.20,11.14,5.39,666.00,0.16,21.26,22.79,-164.75
2.08,1.39,102.83,3.30,-151.01,666.00,-179.17,19.41,68.01,-142.82,-1.73,24.03,11.01,4.97,666.00,0.53,21.05,22.07,-164.35
2.33,1.18,102.95,3.15,-151.56,666.00,-179.05,19.19,68.85,-144.10,-1.77,24.18,11.34,4.64,666.00,0.74,21.49,22.06,-164.28
2.46,1.15,102.83,2.71,-151.01,666.00,-179.17,19.12,69.38,-144.63,-1.69,24.69,11.65,5.00,666.00,0.88,23.67,21.43,-164.07
2.58,1.12,102.83,2.62,-151.01,666.00,-179.17,18.85,69.38,-144.63,-1.64,25.31,11.86,4.98,666.00,0.08,27.32,31.08,-158.41
2.72,1.06,102.60,2.22,-149.78,666.00,-179.18,18.76,69.38,-144.63,-1.89,24.71,12.24,5.08,1.31,-0.80,38.70,47.06,-143.68
2.84,0.93,102.74,1.89,-149.67,666.00,-179.32,18.73,68.56,-144.06,-1.37,25.60,13.25,6.87,1.42,-2.81,46.74,54.46,-142.88
2.97,0.86,102.74,1.81,-149.67,666.00,-179.32,18.85,68.62,-143.90,-0.66,26.70,15.80,7.76,5.47,-2.66,57.31,73.18,-157.34
3.10,0.97,102.74,1.23,-149.67,666.00,-179.32,18.51,68.65,-144.18,-7.82,29.77,33.70,11.22,16.16,-0.88,87.45,88.14,160.46
3.22,0.91,102.83,0.92,-149.45,666.00,-179.22,18.65,68.37,-145.00,1.45,32.48,22.86,12.81,12.54,5.04,78.16,85.99,162.02
3.35,0.36,102.83,1.34,-149.45,666.00,-179.22,19.66,68.34,-145.88,1.33,32.62,22.98,13.34,22.33,9.31,75.77,86.16,121.10
3.48,0.45,102.83,0.88,-147.93,666.00,-179.28,19.73,68.36,-147.02,1.11,32.53,22.59,13.56,23.61,8.89,70.20,82.73,116.56
3.61,0.34,102.74,0.42,-146.64,666.00,-179.42,19.75,68.61,-147.52,0.18,32.36,20.79,13.82,21.05,8.62,69.00,76.56,114.24
3.74,0.35,102.74,-0.01,-146.64,666.00,-179.42,19.52,68.64,-147.06,0.30,32.36,20.83,13.82,20.54,8.62,67.25,75.36,114.48
3.86,0.29,102.76,0.20,-147.50,666.00,-179.62,19.35,68.85,-146.12,0.62,28.73,26.24,14.10,26.79,11.53,71.99,78.97,115.12
3.99,0.57,103.20,-0.22,-152.09,666.00,-179.30,19.46,69.32,-145.65,-1.42,29.42,25.84,13.48,23.70,12.53,72.31,77.39,114.53
4.11,-0.81,104.08,2.28,-158.81,666.00,-178.47,22.50,69.32,-145.65,-0.22,29.69,24.57,13.45,22.25,10.54,70.29,77.70,115.15
4.25,-1.42,104.51,4.26,-167.07,666.00,-176.84,21.01,69.32,-145.65,-1.72,30.43,23.10,11.32,17.21,10.85,70.50,76.81,117.43
4.37,-1.80,105.00,4.76,-171.05,666.00,-177.19,20.59,69.32,-145.65,-2.26,32.02,20.94,11.37,15.34,9.09,70.82,77.06,123.99
4.50,-1.90,104.42,4.82,-170.37,666.00,-177.30,20.89,70.59,-143.20,-1.47,32.58,19.75,10.80,12.29,6.69,71.08,76.48,130.24
4.65,0.28,104.42,1.09,-170.37,666.00,-177.30,18.50,68.28,-144.59,-3.03,32.58,18.25,10.80,7.93,6.69,74.33,79.52,149.74
4.78,0.48,103.74,-0.02,-170.08,666.00,-177.51,18.41,67.67,-144.09,-6.04,31.92,21.74,10.94,9.63,6.80,78.07,83.07,174.40
4.92,0.25,103.39,0.19,-169.56,666.00,-177.86,18.42,67.67,-144.09,-0.65,32.98,16.75,7.39,0.54,3.70,71.15,81.65,-175.39
5.07,0.10,103.17,0.26,-169.52,666.00,-178.09,18.13,67.87,-142.87,-0.38,32.54,16.06,6.90,-4.55,3.36,71.27,83.16,-155.13
5.19,-0.46,103.17,1.45,-169.52,666.00,-178.09,18.72,67.87,-142.87,0.69,32.16,14.56,5.72,-5.58,2.36,68.56,83.58,-141.13
5.32,-0.37,103.17,1.37,-169.52,666.00,-178.09,18.66,67.87,-142.87,0.98,31.97,13.66,4.04,-7.12,1.95,65.08,83.35,-135.06
5.44,-2.16,103.77,3.20,-169.73,666.00,-178.68,21.07,67.87,-142.87,2.32,32.53,9.17,3.52,-13.91,1.42,71.43,81.41,-111.61
5.58,-1.38,103.64,1.15,-169.24,666.00,-178.81,20.08,68.51,-142.35,0.22,32.40,11.50,3.69,6.91,1.37,38.53,81.41,-111.61
5.71,-1.32,103.64,1.66,-169.24,666.00,-178.81,20.47,69.09,-141.86,-1.48,32.40,6.77,3.69,-7.66,1.37,54.85,76.66,-95.80
5.85,-1.06,104.00,1.68,-169.20,666.00,-179.17,20.21,69.50,-141.13,-1.02,32.74,6.36,4.14,-10.65,1.42,55.74,74.36,-92.39
5.98,-1.04,104.00,2.00,-169.20,666.00,-179.17,20.02,69.59,-141.25,0.51,32.74,7.02,4.14,-12.89,1.42,61.07,74.36,-92.39
