Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.27,-9.58,3.78,11.99,17.23,666.00,11.14,25.44,26.75,6.91,-15.45,4.97,10.01,10.51,666.00,-13.54,28.38,19.10,-0.07
0.85,-9.68,3.36,11.89,16.92,666.00,14.68,27.04,25.55,5.55,-15.20,2.76,10.21,11.37,666.00,-12.97,28.09,18.92,-0.86
1.03,-9.65,2.93,11.85,16.80,666.00,14.94,27.06,25.44,5.35,-15.08,2.58,10.11,11.30,666.00,-12.78,27.90,18.65,-0.79
1.21,-9.65,2.93,11.83,16.80,666.00,14.94,27.09,25.44,5.35,-15.09,2.58,10.04,11.30,666.00,-12.78,27.83,18.79,-1.02
1.40,-9.30,2.93,11.74,16.80,666.00,14.94,26.76,25.44,5.35,-15.07,2.70,9.96,11.20,666.00,-12.91,27.74,18.50,-0.98
1.62,-9.36,2.85,11.52,16.56,666.00,14.87,26.28,25.27,5.12,-14.92,2.50,9.97,11.40,666.00,-12.60,27.54,18.70,-1.33
1.79,-9.78,2.85,11.57,16.56,666.00,14.87,26.82,25.11,5.24,-14.79,2.50,9.97,11.40,666.00,-12.60,27.29,18.38,-1.27
1.93,-10.09,2.57,11.66,16.58,666.00,14.69,27.20,25.27,5.50,-14.77,2.39,10.00,11.25,666.00,-12.66,27.26,18.52,-0.84
2.06,-9.98,2.57,11.66,16.58,666.00,14.69,26.97,25.27,5.50,-14.72,2.39,10.02,11.25,666.00,-12.66,27.29,18.52,-0.84
2.19,-9.94,2.90,11.73,16.61,666.00,14.59,26.95,25.27,5.50,-15.18,2.61,9.96,11.37,666.00,-12.41,27.63,18.84,-1.07
2.33,-9.92,2.90,11.79,16.61,666.00,14.59,26.65,25.44,5.62,-15.33,2.61,10.05,11.37,666.00,-12.41,27.82,18.83,-1.03
2.46,-10.50,3.05,11.84,16.73,666.00,14.69,27.12,25.37,5.45,-15.46,2.61,10.15,11.37,666.00,-12.41,28.01,18.70,-0.84
2.60,-11.17,3.24,11.99,16.82,666.00,14.97,27.38,25.30,5.50,-15.22,2.70,10.39,11.47,666.00,-12.52,27.98,18.58,-0.77
2.73,-11.42,3.24,12.06,16.82,666.00,14.97,27.25,25.30,5.50,-15.04,2.62,10.49,11.37,666.00,-12.15,27.80,18.70,-1.10
2.87,-11.33,3.28,11.96,16.85,666.00,15.23,26.79,25.33,5.24,-14.82,2.62,10.50,11.37,666.00,-12.15,27.64,18.70,-1.10
3.04,-9.14,3.64,11.43,16.65,666.00,15.78,23.29,25.07,5.81,-14.64,2.28,10.44,11.40,666.00,-12.36,27.41,18.97,-1.26
3.17,-3.17,7.63,10.78,16.39,666.00,18.49,18.75,23.85,3.52,-14.54,2.21,10.37,11.18,666.00,-12.95,27.27,18.80,-0.95
3.30,3.01,11.27,10.92,16.58,666.00,20.14,19.49,27.79,1.03,-14.49,2.42,10.24,11.19,666.00,-13.19,27.14,18.71,-0.90
3.44,11.00,24.89,11.09,15.62,666.00,28.79,20.96,22.68,-4.79,-14.51,2.41,10.12,11.34,666.00,-13.36,27.17,18.98,-1.27
3.58,20.63,33.67,12.05,15.97,666.00,29.68,26.87,22.80,-8.18,-14.65,2.04,10.28,11.20,666.00,-13.45,27.50,19.47,-1.54
3.72,36.76,41.50,19.89,16.26,-156.73,29.74,33.32,33.55,-14.04,-14.79,2.60,11.12,11.31,666.00,-14.18,27.75,18.56,-0.75
3.85,53.70,64.55,31.27,24.78,666.00,31.81,27.08,23.40,-17.06,-13.73,3.50,11.61,11.16,666.00,-15.16,26.87,18.07,-0.63
3.98,56.55,75.89,39.98,41.78,-160.08,31.56,49.21,23.12,-19.84,-13.75,4.19,11.76,10.69,666.00,-15.02,27.14,18.24,-0.68
4.12,87.66,97.14,84.67,118.16,666.00,-53.87,21.67,22.47,-28.16,-14.41,4.05,11.82,10.53,666.00,-15.35,26.93,17.97,-0.03
4.26,103.93,105.85,114.43,138.26,666.00,40.45,24.56,21.88,-30.16,-13.69,3.74,11.70,11.41,666.00,-15.56,25.63,17.30,0.32
4.39,116.66,116.14,130.63,150.92,666.00,44.29,26.25,20.60,-33.84,-14.16,3.88,12.18,11.67,666.00,-15.93,26.47,17.00,1.09
4.53,128.04,133.49,142.53,161.90,666.00,55.43,25.81,20.07,-37.24,-15.24,3.71,13.10,12.18,666.00,-16.05,28.38,17.48,1.51
4.66,139.92,143.83,153.04,166.16,666.00,65.91,24.46,18.79,-39.49,-15.53,4.05,13.50,12.79,666.00,-15.48,28.73,17.92,1.50
4.80,150.33,152.13,157.74,167.34,666.00,71.54,26.26,19.75,-40.95,-15.93,4.33,13.88,13.35,666.00,-15.57,29.53,17.68,2.52
4.93,155.06,165.23,160.34,167.30,666.00,75.70,27.30,24.28,-42.80,-16.52,4.69,14.78,13.65,666.00,-15.66,29.49,17.39,3.76
5.07,159.22,169.10,162.54,167.17,666.00,-101.07,27.35,25.19,-43.40,-17.08,3.46,15.96,14.69,666.00,-14.05,29.32,17.72,3.77
5.20,157.57,172.94,166.62,167.10,666.00,-101.68,28.05,27.13,-41.85,-19.96,3.08,16.01,16.68,-177.23,-11.10,32.30,18.95,2.86
5.34,160.30,175.10,165.60,167.96,666.00,-101.18,28.17,27.24,-44.12,-19.07,2.79,16.82,17.97,-176.93,-11.02,32.38,20.44,2.89
5.48,159.51,172.44,164.25,167.59,666.00,-101.73,28.64,27.52,-43.63,-18.38,3.00,16.92,17.63,-175.53,-11.65,32.22,19.96,2.66
5.61,154.07,169.59,164.51,167.61,666.00,-101.93,26.65,26.21,-44.18,-18.07,2.70,16.35,16.90,-171.91,-11.89,31.86,19.44,3.14
5.75,148.49,162.87,164.52,169.83,666.00,71.05,24.28,24.45,-38.92,-18.10,2.89,15.63,16.38,-173.23,-12.08,32.27,19.22,3.13
5.91,142.48,158.93,163.93,170.48,666.00,69.77,21.79,22.24,-37.93,-18.54,3.39,15.25,16.13,-173.11,-11.05,32.15,18.24,1.40
6.05,134.00,152.56,160.31,171.08,666.00,66.78,20.55,20.04,-35.41,-18.62,3.08,14.92,15.59,-172.43,-12.58,30.88,18.08,2.45
6.19,129.36,152.61,148.78,171.02,666.00,67.51,27.69,17.68,-37.96,-17.66,2.29,14.71,14.48,-171.70,-13.51,30.65,18.64,4.27
6.32,113.67,133.78,134.83,169.50,666.00,60.59,28.10,19.24,-32.52,-17.98,2.03,14.34,14.28,-172.87,-14.06,31.32,18.99,3.45
6.45,102.50,123.75,114.17,165.92,-24.18,58.35,30.19,20.15,-32.04,-18.20,2.15,14.15,14.04,-172.89,-14.55,31.86,18.79,3.99
6.59,79.02,115.15,70.21,160.22,-36.25,55.72,37.59,20.61,-31.92,-18.10,2.85,14.13,13.94,-172.08,-14.46,32.12,18.78,3.81
6.72,68.52,95.78,48.98,119.54,666.00,-41.41,25.49,20.94,-30.99,-18.21,2.92,14.19,14.10,-171.50,-14.04,33.05,18.96,3.98
6.87,54.77,86.69,37.55,73.08,666.00,-39.50,22.94,20.83,-29.90,-18.02,3.04,14.11,13.90,-171.10,-13.70,33.53,18.88,3.81
7.02,36.82,77.33,28.50,41.68,666.00,48.74,29.46,14.23,-30.22,-18.10,2.86,14.05,13.40,-171.01,-14.06,34.26,18.37,3.96
7.15,20.20,58.08,18.40,20.45,666.00,47.10,28.86,21.88,-28.44,-18.09,2.98,14.03,13.12,-171.10,-14.08,34.83,18.70,3.76
7.29,15.15,51.29,17.16,19.21,666.00,46.33,16.53,27.18,-27.57,-17.42,3.42,13.74,13.25,-170.93,-13.68,34.60,18.53,3.42
7.42,7.57,38.35,15.25,16.39,666.00,45.85,14.05,18.26,-29.11,-17.60,3.48,13.61,13.17,-171.39,-13.73,34.59,18.24,3.73
7.57,-2.03,22.85,12.51,16.40,666.00,42.25,18.08,24.57,-25.95,-17.50,3.22,13.24,12.75,-172.65,-13.82,33.74,17.55,4.35
7.70,-5.31,16.82,11.34,15.46,666.00,43.22,11.99,20.03,-23.07,-17.62,2.17,13.14,12.63,-173.42,-13.91,33.59,18.48,3.66
7.83,-9.29,8.81,11.12,15.40,666.00,36.47,16.65,23.08,-21.30,-17.76,1.99,12.48,12.47,-174.46,-14.29,33.55,18.77,4.16
7.96,-9.57,8.83,11.05,16.21,666.00,35.40,16.15,23.15,-21.80,-16.87,1.99,12.30,12.36,-174.34,-13.52,32.58,18.60,4.48
8.10,-8.48,9.15,10.92,16.14,666.00,34.62,15.39,22.98,-21.93,-17.07,2.00,11.61,12.36,-175.68,-13.25,32.72,18.93,4.18
8.23,-8.63,9.33,11.02,15.74,666.00,34.26,15.86,22.11,-21.71,-16.37,2.00,11.49,12.36,-175.65,-13.25,31.69,19.24,4.07
8.36,-8.04,9.42,10.73,15.58,666.00,34.34,15.20,21.82,-21.55,-15.88,2.00,11.21,12.36,-175.32,-13.25,30.36,19.02,3.64
8.49,-8.26,9.42,10.96,15.58,666.00,34.34,15.30,21.82,-21.55,-15.36,2.00,11.24,12.36,666.00,-13.25,29.47,18.84,3.52
8.62,-7.59,9.08,10.65,15.40,666.00,34.12,14.51,21.50,-21.75,-15.52,2.00,10.96,12.36,666.00,-13.25,28.96,18.84,3.52
8.76,-7.36,8.86,10.55,15.10,666.00,34.12,13.92,21.33,-21.71,-15.52,2.00,10.72,12.36,666.00,-13.25,28.65,19.02,3.64
8.89,-6.99,8.89,10.37,15.35,666.00,33.87,13.75,21.56,-21.76,-15.47,2.00,10.61,12.36,666.00,-13.25,28.64,19.33,3.56
9.02,-7.19,8.71,10.44,15.25,666.00,33.75,14.14,21.50,-21.10,-15.42,2.00,10.59,12.36,666.00,-13.25,28.64,19.38,3.87
9.15,-6.80,8.71,10.45,15.25,666.00,33.75,13.56,21.37,-20.92,-15.00,2.00,10.44,12.36,666.00,-13.25,28.31,19.55,3.99
9.29,-6.61,8.71,10.51,15.25,666.00,33.75,13.28,21.32,-20.54,-15.06,2.00,10.46,12.36,666.00,-13.25,28.33,19.24,4.07
9.42,-7.33,8.53,10.92,15.29,666.00,34.00,14.48,21.75,-19.93,-15.15,2.00,10.61,12.36,666.00,-13.25,28.68,19.10,4.26
9.55,-6.92,8.53,10.78,15.29,666.00,34.00,14.03,21.75,-19.93,-15.26,2.00,10.64,12.36,666.00,-13.25,28.93,19.28,4.38
9.69,-6.16,8.54,10.51,15.16,666.00,33.64,13.97,21.41,-19.74,-15.35,2.00,10.58,12.36,666.00,-13.25,29.57,19.46,4.50
9.82,-6.40,8.54,10.36,15.16,666.00,33.64,14.19,21.34,-19.67,-14.85,2.00,10.57,12.36,666.00,-13.25,28.99,19.78,4.42
9.99,-6.84,8.54,10.37,15.16,666.00,33.64,14.62,21.34,-19.67,-14.77,2.00,10.32,12.36,666.00,-13.25,28.47,19.41,4.50
10.16,-7.17,8.26,10.29,14.99,666.00,33.71,15.03,21.38,-19.80,-14.44,2.00,10.26,12.36,666.00,-13.25,27.93,19.23,4.38
10.29,-7.53,8.28,10.31,15.23,666.00,33.46,15.40,21.47,-19.68,-14.11,2.00,10.21,12.36,666.00,-13.25,27.33,19.05,4.27
10.43,-7.92,8.28,10.35,15.23,666.00,33.46,15.76,21.33,-19.81,-14.50,2.00,10.09,12.36,666.00,-13.25,27.71,19.05,4.23
10.56,-8.01,8.28,10.42,15.23,666.00,33.46,15.97,21.31,-20.12,-14.20,2.00,10.10,12.36,666.00,-13.25,27.36,18.87,4.11
10.69,-7.86,8.28,10.44,15.23,666.00,33.46,15.85,21.31,-20.12,-14.36,2.00,9.96,12.36,666.00,-13.25,27.37,19.01,3.95
10.82,-7.60,8.07,10.41,15.02,666.00,33.96,15.44,21.29,-20.28,-14.06,2.00,10.00,12.36,666.00,-13.25,26.93,19.01,3.95
10.95,-7.00,7.80,10.29,14.86,666.00,35.40,14.76,21.29,-20.28,-13.94,1.78,9.88,11.95,666.00,-12.53,26.63,18.60,2.37
11.08,-6.96,7.80,10.22,14.86,666.00,35.40,14.27,21.29,-20.28,-13.75,1.87,9.98,12.05,666.00,-12.64,26.19,18.21,2.51
11.22,-6.82,7.80,10.17,14.86,666.00,35.40,14.08,21.29,-20.28,-13.91,1.78,10.04,11.95,666.00,-12.53,26.30,18.19,2.63
11.35,-6.88,7.80,10.18,14.86,666.00,35.40,14.29,21.29,-20.28,-14.19,1.65,10.12,12.05,666.00,-12.40,26.65,18.49,2.59
11.50,-6.75,7.80,10.16,14.86,666.00,35.40,14.25,21.44,-20.15,-14.68,1.65,10.15,12.05,666.00,-12.40,27.39,18.66,2.74
11.63,-6.67,7.87,10.12,14.74,666.00,35.33,14.10,21.29,-20.05,-14.73,1.90,10.32,12.10,666.00,-12.20,27.40,18.30,2.74
11.76,-5.61,8.09,9.90,14.94,666.00,35.73,13.40,21.09,-20.17,-15.08,1.85,10.27,11.93,666.00,-12.34,28.09,18.30,2.74
11.89,-5.73,8.09,9.89,14.94,666.00,35.73,13.59,21.09,-20.17,-15.29,1.85,10.42,11.93,666.00,-12.34,28.49,18.30,2.74
12.02,-6.19,7.97,10.08,14.86,666.00,35.91,14.09,21.10,-19.90,-15.33,1.96,10.57,12.09,666.00,-12.28,28.67,18.35,2.75
12.16,-6.40,8.11,10.12,14.86,666.00,35.96,14.27,21.27,-19.88,-15.31,1.88,10.66,12.18,666.00,-12.42,28.78,18.27,2.76
12.29,-6.65,8.26,10.20,14.88,666.00,35.91,14.45,21.27,-19.88,-15.26,2.03,10.73,12.16,666.00,-12.45,28.84,18.27,2.76
12.42,-7.08,8.26,10.17,14.88,666.00,35.91,14.56,21.14,-19.70,-15.07,1.94,10.82,12.06,666.00,-12.33,28.66,18.25,2.88
12.56,-7.61,8.38,10.26,14.96,666.00,35.73,15.00,21.07,-19.59,-15.34,2.03,10.69,12.16,666.00,-12.45,28.94,18.14,2.96
12.69,-7.73,8.38,10.30,14.96,666.00,35.73,14.92,21.07,-19.59,-15.24,2.14,10.67,12.32,666.00,-12.38,29.28,18.33,2.78
12.84,-7.80,8.21,10.30,14.88,666.00,35.62,14.92,21.12,-19.41,-14.81,2.14,10.73,12.32,666.00,-12.38,28.74,18.15,2.66
12.97,-7.67,8.00,10.34,15.03,666.00,35.51,15.16,21.12,-19.41,-14.78,1.89,10.69,12.02,666.00,-12.25,28.37,18.27,2.76
13.10,-7.54,7.90,10.39,14.89,666.00,35.48,15.19,20.98,-19.31,-14.91,1.81,10.55,12.13,666.00,-12.59,28.29,18.29,2.90
13.24,-7.41,7.90,10.40,14.89,666.00,35.48,15.16,21.11,-19.49,-14.79,2.05,10.53,12.19,666.00,-12.39,27.89,18.05,2.71
13.37,-7.54,8.02,10.44,14.97,666.00,35.31,15.28,21.05,-19.38,-14.74,2.05,10.46,12.19,666.00,-12.39,27.63,18.05,2.71
13.50,-7.39,8.02,10.52,14.97,666.00,35.31,15.26,21.05,-19.38,-15.11,2.05,10.34,12.19,666.00,-12.39,27.73,18.05,2.71
13.63,-7.75,8.02,10.53,14.97,666.00,35.31,15.65,21.03,-19.69,-14.87,1.94,10.42,12.04,666.00,-12.46,27.45,18.18,2.81
13.76,-7.82,8.02,10.47,14.97,666.00,35.31,15.51,21.05,-19.38,-14.48,1.85,10.51,11.93,666.00,-12.34,27.17,18.30,2.74
13.90,-7.73,8.02,10.44,14.97,666.00,35.31,15.43,21.05,-19.38,-14.21,1.94,10.59,12.04,666.00,-12.46,26.97,18.18,2.81
14.03,-7.68,7.90,10.48,14.89,666.00,35.48,15.51,21.11,-19.49,-14.37,1.84,10.50,12.18,666.00,-12.15,26.99,18.33,2.78
14.15,-7.52,7.90,10.56,14.89,666.00,35.48,15.47,21.11,-19.49,-14.69,1.84,10.34,12.18,666.00,-12.15,27.14,18.37,3.09
14.29,-7.71,7.90,10.64,14.89,666.00,35.48,16.05,21.11,-19.49,-14.18,1.84,10.56,12.18,666.00,-12.15,26.86,18.37,3.09
14.41,-7.52,7.90,10.64,14.89,666.00,35.48,15.73,21.11,-19.49,-14.38,1.97,10.47,12.09,666.00,-12.01,27.15,18.27,3.00
14.55,-7.69,7.83,10.68,15.01,666.00,35.55,16.13,21.25,-19.59,-14.32,1.84,10.62,12.18,666.00,-12.15,27.35,18.37,3.09
14.69,-7.29,7.73,10.57,15.00,666.00,35.89,15.49,21.27,-19.88,-14.42,1.68,10.65,12.20,666.00,-12.12,27.42,18.37,3.09
14.92,-7.55,7.73,10.67,15.00,666.00,35.89,16.27,21.27,-19.88,-14.74,1.68,10.60,12.20,666.00,-12.12,27.73,18.19,2.97
