Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-15.73,-0.16,13.54,15.90,-171.77,-1.56,30.36,28.23,-25.02,-23.20,0.96,12.38,16.87,170.27,-25.30,37.18,21.79,-31.61
0.23,-14.99,-0.38,13.18,16.03,666.00,-1.08,29.65,27.89,-25.00,-23.02,0.71,12.31,16.48,170.10,-25.27,35.81,21.63,-31.68
0.39,-14.53,-0.60,13.06,16.16,666.00,-1.26,29.71,27.76,-24.58,-22.97,0.43,12.24,16.56,169.95,-24.94,37.12,21.72,-31.71
0.54,-14.41,-0.16,13.07,15.94,666.00,-0.91,29.90,27.77,-24.80,-22.77,0.66,12.25,17.00,170.09,-24.84,37.99,22.09,-31.93
0.69,-14.35,-0.08,13.16,15.98,-171.58,-0.98,30.70,27.70,-24.90,-22.93,0.69,12.21,16.85,169.66,-24.67,37.95,22.09,-31.93
0.82,-14.18,-0.23,13.11,16.09,-171.73,-1.07,30.44,27.71,-24.68,-23.11,0.13,12.34,16.94,168.47,-25.14,37.22,22.31,-31.65
0.95,-14.09,-0.49,12.95,16.30,666.00,-1.03,29.98,27.70,-24.84,-23.06,-0.16,12.48,17.10,168.71,-25.13,36.95,22.05,-32.33
1.10,-14.00,-0.30,12.99,16.56,-173.29,-0.86,30.23,27.56,-24.58,-23.13,0.00,12.48,17.09,168.71,-25.17,35.83,22.05,-32.33
1.23,-14.57,-0.58,13.04,16.78,-174.70,-0.61,31.73,28.23,-24.84,-23.00,0.11,12.66,16.97,169.04,-24.84,34.98,21.86,-32.59
1.37,-15.11,-0.84,13.06,16.99,-176.15,-0.57,32.22,28.26,-24.69,-22.64,-0.04,12.83,17.05,170.57,-24.98,35.46,21.76,-32.61
1.50,-14.99,-1.05,13.24,17.24,-175.84,-0.30,32.13,27.71,-24.66,-22.46,-0.20,12.84,16.79,171.05,-24.65,36.16,21.70,-32.73
1.64,-14.42,-1.18,13.14,17.16,-175.95,-0.32,30.89,28.00,-24.70,-22.32,-0.14,12.87,16.96,171.40,-24.50,35.73,21.40,-32.17
1.79,-14.52,-0.99,13.42,17.09,-175.48,0.00,31.12,27.74,-24.77,-22.04,-0.14,12.78,16.96,171.71,-24.50,35.89,21.24,-32.38
1.92,-14.29,-0.90,13.49,17.19,-175.34,-0.14,30.96,27.81,-24.56,-21.70,-0.14,12.54,16.96,171.19,-24.50,35.85,21.57,-32.50
2.05,-14.69,-0.99,13.90,17.09,-174.66,0.00,32.63,27.91,-24.65,-21.63,-0.22,12.55,16.86,171.16,-24.41,35.84,21.67,-32.51
2.19,-14.22,-0.86,13.79,17.23,-174.84,0.09,32.01,27.82,-24.80,-21.60,-0.14,12.52,16.96,171.08,-24.50,35.45,21.55,-32.45
2.34,-14.13,-0.81,13.89,17.21,-174.56,0.31,31.97,27.67,-24.79,-21.93,-0.43,12.45,17.13,170.80,-24.50,35.23,21.61,-32.33
2.49,-14.07,-0.90,13.85,17.12,-174.62,0.45,31.75,27.81,-24.57,-22.05,-0.51,12.50,17.03,170.75,-24.40,35.17,21.47,-32.82
2.70,-14.08,-0.90,13.80,17.12,-174.64,0.45,31.68,27.81,-24.57,-22.19,-0.64,12.64,17.12,171.23,-24.26,35.41,21.64,-32.74
2.85,-14.43,-1.00,13.86,17.21,-174.59,0.58,32.47,27.96,-24.75,-22.27,-0.64,12.71,17.12,171.37,-24.26,34.61,21.49,-32.46
2.98,-14.40,-1.09,13.91,17.11,-174.52,0.72,32.59,27.87,-24.25,-22.32,-0.95,12.72,16.94,171.36,-24.07,35.05,21.52,-32.49
3.12,-14.62,-0.61,14.27,17.53,-173.72,0.92,33.42,27.85,-24.40,-22.44,-0.68,12.74,17.15,170.94,-24.24,34.71,21.67,-32.40
3.26,-14.32,-0.27,14.21,17.41,-173.66,0.74,32.74,27.78,-24.25,-22.48,-0.68,12.76,17.15,170.74,-24.24,34.83,21.60,-31.86
3.40,-14.33,-0.36,14.64,17.51,11.51,0.87,32.61,27.78,-24.22,-22.70,-0.87,12.83,17.14,171.18,-23.71,35.60,21.37,-32.08
3.53,-14.41,-0.23,15.00,17.65,12.58,0.96,32.79,27.47,-24.12,-22.72,-0.68,12.84,16.81,171.53,-23.77,35.38,21.59,-32.33
3.66,-13.19,-0.27,14.86,17.64,12.92,1.24,30.49,27.80,-24.31,-22.56,-0.75,12.77,16.92,171.73,-23.50,35.05,21.65,-32.51
3.80,-13.22,0.05,14.67,17.67,12.20,1.13,30.89,27.87,-24.37,-22.49,-0.74,12.65,16.71,171.56,-23.39,35.51,21.64,-32.11
3.93,-13.53,-0.32,14.56,17.55,11.58,1.10,31.91,28.37,-24.50,-22.50,-0.74,12.66,16.71,171.67,-23.39,35.78,21.42,-32.10
4.07,-14.21,-0.75,14.74,17.49,11.82,0.90,33.56,28.17,-24.59,-22.54,-0.85,12.66,16.94,171.44,-22.66,35.22,21.28,-32.52
4.20,-14.23,0.06,14.69,17.60,11.70,1.00,34.17,28.15,-24.60,-22.57,-0.68,12.63,16.56,171.17,-22.61,35.47,21.37,-32.34
4.35,-13.58,-0.02,14.37,17.43,11.18,1.21,33.14,28.15,-24.60,-22.54,-0.72,12.54,16.64,171.33,-22.60,35.30,21.37,-32.14
4.48,-13.20,0.06,14.19,17.60,11.04,1.00,32.43,28.22,-24.32,-22.65,-0.38,12.52,16.39,171.43,-22.33,36.30,21.46,-32.12
4.62,-13.73,0.31,14.60,17.50,12.48,1.53,33.64,28.14,-24.82,-22.80,-0.38,12.47,16.39,171.15,-22.33,35.96,21.58,-32.29
4.75,-14.43,0.57,14.91,17.42,13.13,1.35,35.21,28.06,-24.36,-22.71,-0.21,12.39,16.37,170.93,-22.37,36.00,21.58,-32.29
4.89,-14.39,0.32,14.83,17.63,12.87,1.39,35.21,28.19,-24.30,-22.40,-0.21,12.37,16.37,170.89,-22.37,35.78,21.58,-32.29
5.02,-13.39,0.32,14.11,17.63,11.00,1.39,33.31,27.81,-24.16,-22.23,-0.21,12.44,16.37,170.98,-22.37,35.86,21.58,-32.29
5.16,-13.46,0.23,14.16,17.53,11.30,1.54,33.89,27.77,-24.06,-22.22,-0.21,12.46,16.37,170.94,-22.37,36.25,21.58,-32.29
5.30,-13.78,0.23,14.31,17.65,11.88,2.11,33.33,27.33,-21.81,-22.22,-0.21,12.43,16.37,170.99,-22.37,36.86,21.58,-32.29
