Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-5.97,5.11,14.82,-1.13,666.00,11.82,26.00,2.98,-80.24,-45.81,-5.71,33.45,2.39,-135.89,-8.85,54.55,1.82,78.93
0.23,-6.07,1.81,14.99,-1.85,666.00,12.91,25.21,1.58,-76.79,-49.09,-46.33,32.13,18.72,-134.86,-0.66,65.85,40.45,50.00
0.36,-6.77,-0.67,15.11,-1.15,666.00,13.13,25.34,1.69,-76.18,-50.63,-56.83,31.26,25.15,-132.99,-0.28,39.86,48.55,46.29
0.49,-7.05,-5.94,15.30,-1.87,666.00,14.49,25.04,1.28,-75.81,-51.38,-63.58,31.29,29.45,-136.33,1.58,40.36,50.34,44.35
0.62,-7.38,-3.37,15.39,-2.22,666.00,13.93,25.84,0.74,-76.61,-51.46,-61.08,32.24,25.39,-127.18,2.37,60.80,50.64,45.53
0.76,-7.28,2.02,15.23,0.37,666.00,15.58,26.98,0.01,-77.59,-51.45,-56.43,31.77,16.75,-128.21,3.13,60.70,51.19,46.16
0.90,-7.76,-5.72,15.66,0.42,666.00,21.56,28.16,0.31,-78.57,-50.88,-65.30,30.24,15.45,-128.10,2.13,60.08,51.00,47.78
1.03,-8.72,-5.75,16.31,0.40,28.34,22.53,30.38,0.66,-79.59,-50.74,-63.98,30.18,13.30,-127.69,2.05,59.87,49.60,48.57
1.17,-8.94,1.63,16.59,-1.53,27.78,12.77,32.09,0.19,-79.49,-51.25,-53.90,29.44,18.40,-128.23,4.29,59.72,49.35,48.61
1.33,-8.98,1.21,16.79,-1.69,27.55,13.47,33.83,0.59,-79.91,-51.19,-54.51,30.53,19.79,-130.07,4.13,59.29,48.84,48.29
1.45,-7.05,1.39,16.59,-1.53,30.44,12.54,31.44,0.77,-79.51,-48.67,-50.41,33.37,19.92,-148.49,-0.39,54.57,44.92,51.61
1.58,-5.55,2.16,15.48,-3.22,666.00,13.98,28.21,1.06,-81.27,-37.37,-43.26,21.44,18.37,-156.51,-3.05,41.16,37.83,55.58
1.72,-4.43,1.63,14.98,-2.65,666.00,13.74,26.56,0.05,-81.70,-32.83,-30.25,18.18,11.85,-179.87,-17.51,35.58,19.16,77.07
1.86,-5.56,1.71,16.33,-2.08,666.00,12.08,28.31,0.54,-81.97,-30.71,-26.15,17.83,11.93,175.31,-19.10,49.46,9.65,92.36
2.00,-8.58,2.58,24.90,6.88,0.89,4.73,32.19,1.84,-77.50,-29.69,-23.00,17.51,12.14,178.08,-15.84,60.24,8.68,90.91
2.13,-8.32,-1.33,38.67,18.99,-18.89,-14.62,32.34,11.24,-58.08,-29.24,-20.33,15.37,11.51,-179.91,-12.13,51.07,7.93,90.39
2.26,-10.46,2.39,57.58,32.18,-37.96,-36.72,34.85,35.75,-26.94,-28.08,-17.84,15.49,10.11,-172.02,-16.05,33.97,8.49,90.75
2.39,-31.72,13.45,80.14,58.12,666.00,-62.40,27.34,78.47,12.48,-28.88,-23.08,20.02,7.14,666.00,-17.25,26.10,9.60,88.30
2.53,139.07,50.10,92.77,70.10,666.00,-78.37,27.11,92.83,18.18,-32.25,-21.14,19.68,10.65,666.00,-16.09,27.86,8.32,87.59
2.67,151.56,119.64,104.05,79.03,666.00,-81.45,23.23,101.84,18.06,-32.87,-23.17,20.02,11.50,177.21,-16.54,43.67,7.18,88.06
2.80,152.24,150.68,113.63,93.01,666.00,-94.95,23.69,115.38,14.80,-30.41,-23.10,17.66,11.38,172.54,-16.91,42.04,7.18,88.06
2.95,166.63,156.40,125.69,97.58,666.00,-98.27,29.60,119.65,13.37,-26.72,-14.70,16.78,9.81,-178.74,-18.33,49.47,0.52,89.74
3.09,160.41,163.42,138.24,105.80,666.00,-101.49,27.31,127.32,9.99,-25.17,-13.41,16.72,9.59,-175.56,-16.13,45.60,0.52,89.74
3.22,157.73,163.15,157.17,124.53,666.00,-109.30,25.21,144.64,0.70,-24.99,-10.94,17.68,8.75,-173.95,-16.89,41.59,1.21,90.46
3.36,160.01,164.73,167.28,136.80,78.13,-113.75,34.05,155.83,-4.13,-25.66,-9.37,18.32,9.83,-174.44,-17.09,35.07,1.96,90.77
3.49,158.31,166.48,169.23,146.34,74.37,-120.51,33.64,164.22,-11.48,-26.36,-8.70,18.64,10.65,-175.13,-18.68,30.72,2.41,93.19
3.63,157.32,164.36,166.77,143.81,666.00,-118.46,20.99,161.61,-11.24,-26.12,-9.99,18.18,10.33,-175.37,-18.99,32.10,2.02,95.04
3.77,157.09,164.26,155.84,139.63,666.00,-116.48,18.64,157.54,-9.90,-25.79,-9.50,17.59,9.48,-172.28,-18.98,30.05,1.79,95.48
3.90,156.12,162.36,145.86,126.75,666.00,-107.65,9.82,145.75,-1.63,-25.22,-10.11,17.14,8.55,666.00,-18.48,29.89,0.83,94.72
4.04,150.01,159.67,129.10,118.81,666.00,-100.64,12.54,138.06,3.97,-24.58,-10.15,17.05,7.70,-172.59,-18.24,30.98,0.33,93.87
4.17,153.05,157.75,114.89,110.50,666.00,-93.61,8.49,130.26,8.66,-23.85,-10.18,17.04,6.99,-172.74,-18.11,32.95,0.23,93.77
4.32,119.80,152.77,94.80,95.22,666.00,-84.89,14.60,115.95,12.88,-23.10,-9.37,15.88,6.57,666.00,-18.05,27.47,0.51,93.93
4.46,18.09,151.00,77.32,95.62,666.00,-85.29,17.32,115.95,12.88,-22.39,-9.67,15.13,6.16,666.00,-18.98,19.83,0.51,93.93
4.60,-0.20,150.55,58.04,95.69,666.00,-85.58,21.09,115.95,12.88,-21.33,-9.60,14.98,6.10,666.00,-19.34,17.99,0.51,93.93
4.73,-3.12,150.34,43.92,95.44,666.00,-85.24,16.82,115.95,12.88,-20.85,-9.87,15.06,6.32,666.00,-19.11,17.88,0.51,93.93
4.86,-6.27,150.34,30.16,95.44,666.00,-85.24,22.75,115.95,12.88,-21.75,-9.87,14.78,6.32,666.00,-19.11,19.17,0.51,93.93
4.99,-2.58,150.34,21.55,95.44,666.00,-85.24,14.61,115.95,12.88,-23.23,-9.87,15.74,6.32,-169.73,-19.11,30.24,0.51,93.93
5.13,-1.05,150.34,14.65,95.44,666.00,-85.24,14.51,115.95,12.88,-23.65,-9.87,16.08,6.32,-170.05,-19.11,35.16,0.51,93.93
5.27,0.68,150.34,12.75,95.44,666.00,-85.24,13.70,115.95,12.88,-23.32,-9.87,16.48,6.32,-171.55,-19.11,38.59,0.51,93.93
5.40,2.08,150.34,14.43,95.44,666.00,-85.24,12.95,115.95,12.88,-22.82,-9.87,16.21,6.32,-171.93,-19.11,39.34,0.51,93.93
5.54,1.46,150.34,19.36,95.44,666.00,-85.24,15.09,115.95,12.88,-22.32,-9.87,15.49,6.32,-172.89,-19.11,36.41,0.51,93.93
5.68,2.19,150.34,31.40,95.44,666.00,-85.24,19.48,115.95,12.88,-22.50,-9.87,15.25,6.32,-172.90,-19.11,32.83,0.51,93.93
5.82,3.58,150.34,45.28,95.44,666.00,-85.24,20.30,115.95,12.88,-22.68,-9.87,15.87,6.32,666.00,-19.11,28.71,0.51,93.93
5.99,13.00,150.34,59.39,95.44,666.00,-85.24,23.48,115.95,12.88,-22.12,-9.87,16.40,6.32,-174.42,-19.11,32.06,0.51,93.93
6.12,34.16,150.34,74.19,95.44,666.00,-85.24,17.21,115.95,12.88,-21.78,-9.87,16.37,6.32,-174.90,-19.11,32.64,0.51,93.93
6.25,85.64,150.34,89.31,95.44,666.00,-85.24,20.60,115.95,12.88,-20.97,-9.87,16.55,6.32,-174.43,-19.11,35.10,0.51,93.93
6.39,142.52,150.34,103.04,95.44,666.00,-85.24,21.68,115.95,12.88,-21.01,-9.87,16.60,6.32,666.00,-19.11,29.28,0.51,93.93
6.52,154.38,150.34,111.73,95.44,-69.73,-85.24,31.43,115.95,12.88,-22.44,-9.87,17.02,6.32,666.00,-19.11,23.90,0.51,93.93
6.66,149.97,150.34,119.31,95.44,-77.50,-85.24,34.52,115.95,12.88,-23.17,-9.87,16.56,6.32,666.00,-19.11,24.03,0.51,93.93
6.79,156.20,150.34,128.64,95.44,-81.33,-85.24,32.06,115.95,12.88,-22.68,-9.87,16.77,6.32,666.00,-19.11,23.94,0.51,93.93
6.93,159.36,150.34,132.96,95.44,-82.11,-85.24,39.68,115.95,12.88,-21.73,-9.87,18.60,6.32,666.00,-19.11,29.44,0.51,93.93
7.07,162.53,150.34,139.50,95.44,-79.58,-85.24,47.58,115.95,12.88,-21.66,-9.87,17.88,6.32,666.00,-19.11,27.37,0.51,93.93
7.22,163.24,150.34,150.28,95.44,-77.75,-85.24,69.17,115.95,12.88,-21.27,-9.87,19.18,6.32,-160.82,-19.11,31.86,0.51,93.93
7.35,161.57,150.34,152.48,95.44,-76.03,-85.24,57.70,115.95,12.88,-21.17,-9.87,18.88,6.32,-160.19,-19.11,32.94,0.51,93.93
7.49,159.38,150.34,145.95,95.44,-74.82,-85.24,38.25,115.95,12.88,-21.23,-9.87,19.15,6.32,666.00,-19.11,26.45,0.51,93.93
7.63,158.29,150.34,137.98,95.44,666.00,-85.24,27.55,115.95,12.88,-20.25,-9.87,17.07,6.32,666.00,-19.11,27.17,0.51,93.93
7.76,154.06,150.34,132.55,95.44,666.00,-85.24,15.77,115.95,12.88,-21.48,-9.87,16.03,6.32,666.00,-19.11,25.83,0.51,93.93
7.89,146.50,150.34,121.59,95.44,666.00,-85.24,14.56,115.95,12.88,-21.84,-9.87,15.10,6.32,666.00,-19.11,24.96,0.51,93.93
8.03,135.06,150.34,106.90,95.44,666.00,-85.24,13.32,115.95,12.88,-22.39,-9.87,14.52,6.32,666.00,-19.11,25.77,0.51,93.93
8.17,86.23,150.34,89.14,95.44,666.00,-85.24,12.87,115.95,12.88,-21.12,-9.87,13.37,6.32,666.00,-19.11,23.91,0.51,93.93
8.31,18.22,150.34,68.36,95.44,666.00,-85.24,16.62,115.95,12.88,-20.86,-9.87,13.11,6.32,666.00,-19.11,22.68,0.51,93.93
8.45,1.01,150.34,44.39,95.44,666.00,-85.24,14.73,115.95,12.88,-19.43,-9.87,12.73,6.32,666.00,-19.11,21.90,0.51,93.93
8.59,2.14,150.34,21.09,95.44,666.00,-85.24,8.98,115.95,12.88,-18.35,-9.87,11.65,6.32,666.00,-19.11,24.63,0.51,93.93
8.82,-0.94,150.34,11.44,95.44,666.00,-85.24,11.60,115.95,12.88,-18.27,-9.87,12.26,6.32,666.00,-19.11,27.96,0.51,93.93
8.95,-0.60,150.34,9.65,95.44,666.00,-85.24,10.76,115.95,12.88,-18.54,-9.87,12.71,6.32,666.00,-19.11,26.66,0.51,93.93
9.09,-3.05,150.34,10.88,95.44,666.00,-85.24,14.81,115.95,12.88,-18.58,-9.87,12.49,6.32,666.00,-19.11,24.22,0.51,93.93
9.23,-2.57,150.34,14.13,95.44,666.00,-85.24,16.47,115.95,12.88,-18.15,-9.87,12.02,6.32,666.00,-19.11,22.35,0.51,93.93
9.39,-0.84,150.34,26.31,95.44,666.00,-85.24,23.18,115.95,12.88,-17.97,-9.87,11.35,6.32,666.00,-19.11,22.63,0.51,93.93
9.55,8.21,150.34,46.28,95.44,666.00,-85.24,20.72,115.95,12.88,-18.55,-9.87,11.51,6.32,666.00,-19.11,17.81,0.51,93.93
9.69,20.34,150.34,66.01,95.44,666.00,-85.24,18.45,115.95,12.88,-18.70,-9.87,12.19,6.32,666.00,-19.11,16.23,0.51,93.93
9.85,69.18,150.34,85.53,95.44,666.00,-85.24,14.18,115.95,12.88,-18.66,-9.87,12.55,6.32,666.00,-19.11,18.81,0.51,93.93
9.99,131.01,150.34,99.93,95.44,666.00,-85.24,12.86,115.95,12.88,-18.97,-9.87,12.72,6.32,666.00,-19.11,16.18,0.51,93.93
10.13,156.71,150.34,115.07,95.44,666.00,-85.24,15.42,115.95,12.88,-19.03,-9.87,13.63,6.32,666.00,-19.11,16.85,0.51,93.93
10.28,164.74,150.34,126.29,95.44,666.00,-85.24,13.10,115.95,12.88,-18.86,-9.87,14.04,6.32,666.00,-19.11,16.49,0.51,93.93
10.42,165.34,150.34,133.70,95.44,666.00,-85.24,20.44,115.95,12.88,-18.92,-9.87,13.91,6.32,666.00,-19.11,18.98,0.51,93.93
10.57,165.43,150.34,142.43,95.44,666.00,-85.24,24.08,115.95,12.88,-18.75,-9.87,13.59,6.32,666.00,-19.11,19.67,0.51,93.93
10.74,163.09,150.34,154.65,95.44,83.67,-85.24,30.04,115.95,12.88,-18.29,-9.87,14.01,6.32,666.00,-19.11,22.06,0.51,93.93
10.90,163.35,150.34,163.00,95.44,86.83,-85.24,35.11,115.95,12.88,-18.62,-9.87,14.38,6.32,666.00,-19.11,24.00,0.51,93.93
11.06,162.96,150.34,161.45,95.44,666.00,-85.24,18.13,115.95,12.88,-18.69,-9.87,14.31,6.32,666.00,-19.11,21.09,0.51,93.93
11.22,160.66,150.34,147.31,95.44,666.00,-85.24,7.41,115.95,12.88,-18.25,-9.87,13.46,6.32,666.00,-19.11,16.85,0.51,93.93
11.37,160.22,150.34,129.90,95.44,666.00,-85.24,9.96,115.95,12.88,-18.18,-9.87,12.88,6.32,666.00,-19.11,16.68,0.51,93.93
11.51,151.66,150.34,114.95,95.44,666.00,-85.24,7.73,115.95,12.88,-17.97,-9.87,12.60,6.32,666.00,-19.11,17.70,0.51,93.93
11.65,105.67,150.34,92.83,95.44,666.00,-85.24,13.47,115.95,12.88,-17.73,-9.87,12.35,6.32,666.00,-19.11,17.59,0.51,93.93
11.79,26.83,150.34,72.50,95.44,666.00,-85.24,15.77,115.95,12.88,-18.13,-9.87,12.13,6.32,666.00,-19.11,20.84,0.51,93.93
11.92,3.90,150.34,57.45,95.44,666.00,-85.24,19.79,115.95,12.88,-17.08,-9.87,12.77,6.32,666.00,-19.11,26.45,0.51,93.93
12.05,-0.73,150.34,40.29,95.44,666.00,-85.24,20.44,115.95,12.88,-16.44,-9.87,12.45,6.32,666.00,-19.11,25.29,0.51,93.93
12.19,6.37,150.34,25.66,95.44,666.00,-85.24,9.10,115.95,12.88,-17.56,-9.87,12.87,6.32,666.00,-19.11,22.23,0.51,93.93
12.32,7.50,150.34,16.87,95.44,666.00,-85.24,6.00,115.95,12.88,-18.11,-9.87,10.42,6.32,666.00,-19.11,21.83,0.51,93.93
12.46,5.18,150.34,12.22,95.44,666.00,-85.24,8.46,115.95,12.88,-17.56,-9.87,13.20,6.32,666.00,-19.11,24.13,0.51,93.93
12.59,4.53,150.34,11.53,95.44,666.00,-85.24,9.50,115.95,12.88,-17.43,-9.87,13.83,6.32,666.00,-19.11,23.68,0.51,93.93
12.73,4.84,150.34,12.63,95.44,666.00,-85.24,10.32,115.95,12.88,-17.07,-9.87,13.85,6.32,666.00,-19.11,23.89,0.51,93.93
12.86,2.48,150.34,13.70,95.44,666.00,-85.24,12.37,115.95,12.88,-17.16,-9.87,14.17,6.32,666.00,-19.11,25.66,0.51,93.93
12.99,1.98,150.34,14.33,95.44,666.00,-85.24,12.67,115.95,12.88,-17.78,-9.87,14.43,6.32,-154.38,-19.11,30.04,0.51,93.93
13.13,1.58,150.34,14.86,95.44,666.00,-85.24,12.71,115.95,12.88,-16.60,-9.87,13.54,6.32,666.00,-19.11,28.61,0.51,93.93
13.26,0.08,150.34,16.61,95.44,666.00,-85.24,13.67,115.95,12.88,-15.76,-9.87,14.00,6.32,666.00,-19.11,22.55,0.51,93.93
13.39,0.26,150.34,20.83,95.44,666.00,-85.24,13.10,115.95,12.88,-16.61,-9.87,14.94,6.32,666.00,-19.11,7.83,0.51,93.93
13.52,-0.68,150.34,24.33,95.44,666.00,-85.24,18.19,115.95,12.88,-26.05,-9.87,22.07,6.32,666.00,-19.11,19.26,0.51,93.93
13.65,-2.72,150.34,26.17,95.44,666.00,-85.24,21.33,115.95,12.88,-25.50,-9.87,26.72,6.32,666.00,-19.11,15.08,0.51,93.93
13.78,-2.29,150.34,27.69,95.44,666.00,-85.24,21.66,115.95,12.88,-25.69,-9.87,29.76,6.32,666.00,-19.11,18.43,0.51,93.93
13.92,-0.31,150.34,28.89,95.44,666.00,-85.24,22.95,115.95,12.88,-25.48,-9.87,30.85,6.32,666.00,-19.11,18.42,0.51,93.93
14.06,2.16,150.34,26.51,95.44,666.00,-85.24,25.31,115.95,12.88,-8.66,-9.87,11.22,6.32,666.00,-19.11,11.89,0.51,93.93
14.18,5.33,150.34,24.97,95.44,54.29,-85.24,31.80,115.95,12.88,-6.00,-9.87,11.58,6.32,666.00,-19.11,14.46,0.51,93.93
14.32,12.97,150.34,20.18,95.44,58.22,-85.24,34.65,115.95,12.88,1.71,-9.87,14.06,6.32,666.00,-19.11,12.12,0.51,93.93
