Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-7.68,167.40,33.62,133.37,666.00,-121.89,14.83,156.70,-14.15,-18.00,2.22,13.80,15.08,666.00,-22.36,24.14,15.30,99.78
0.25,-3.50,2.46,14.69,15.90,666.00,-39.57,13.77,31.53,-28.20,-17.49,-1.51,16.05,10.92,666.00,-24.37,25.49,8.63,99.90
0.39,-4.09,-0.78,26.55,-4.31,666.00,-28.52,13.62,12.17,-43.28,-17.43,-1.66,15.86,14.20,666.00,-25.09,24.99,10.03,100.97
0.55,-5.21,-4.83,33.38,10.24,666.00,-37.19,13.90,19.52,-36.56,-18.24,-1.39,14.59,9.74,666.00,-20.96,24.23,9.77,101.94
0.72,-5.81,-1.61,31.94,11.83,666.00,-35.71,17.01,21.10,-39.04,-17.34,-0.23,13.54,9.90,666.00,-20.97,23.55,9.77,101.94
0.86,-2.38,0.77,25.65,3.62,666.00,-25.08,16.47,11.17,-58.37,-15.55,3.45,12.58,9.01,666.00,-16.35,22.59,9.77,101.94
0.99,0.89,1.70,22.51,-3.22,666.00,-12.52,20.47,6.61,-76.64,-15.96,3.62,13.19,7.55,666.00,-10.74,28.65,9.77,101.94
1.12,4.45,-0.75,23.60,-2.17,666.00,-18.56,24.59,6.71,-78.37,-15.02,4.48,14.09,4.86,-152.83,-2.58,50.75,9.28,102.09
1.25,4.87,9.96,26.85,-5.10,666.00,3.13,26.11,10.93,-105.41,-14.57,-6.75,15.94,5.45,36.43,-19.61,47.96,1.13,126.98
1.40,7.29,9.77,27.47,-2.45,666.00,3.74,20.96,11.93,-111.41,-14.64,-9.79,16.97,2.08,48.57,-25.70,47.10,1.11,139.36
1.52,8.05,11.69,24.30,-0.57,666.00,12.13,26.84,10.99,-119.21,-14.52,-8.93,20.50,0.30,69.80,-29.28,96.16,0.65,142.87
1.66,9.44,13.35,15.66,-1.69,666.00,22.07,24.22,9.18,-129.41,-14.39,-8.93,23.73,0.30,73.60,-29.28,96.07,0.65,142.87
1.80,12.98,15.97,6.95,-5.37,666.00,30.34,26.83,9.98,-137.96,-58.60,1.11,-23.72,6.87,-156.24,-41.35,101.34,12.61,154.83
1.95,17.28,17.09,6.09,-8.54,666.00,34.65,17.89,10.88,-142.68,-53.19,1.56,-4.84,7.32,-145.26,-42.08,100.61,13.29,155.51
2.08,122.73,16.33,-156.53,-12.01,149.03,32.25,134.11,12.53,-140.94,113.34,-5.03,-97.48,3.96,-77.23,-51.58,94.74,7.82,165.47
10.89,-13.45,-57.75,17.64,49.55,666.00,-92.07,13.43,73.62,8.97,-16.77,7.56,35.27,-2.56,666.00,57.96,20.28,3.09,57.63
11.05,-9.76,-57.75,11.97,49.55,8.36,-92.07,31.01,73.62,8.97,-9.88,7.56,20.38,-2.56,15.36,57.96,45.78,3.09,57.63
11.29,-0.67,-57.75,16.24,49.55,-1.34,-92.07,32.91,73.62,8.97,-3.54,7.56,14.51,-2.56,14.08,57.96,31.31,3.09,57.63
11.55,22.29,-57.75,28.47,49.55,-24.50,-92.07,70.67,73.62,8.97,-17.16,7.56,14.75,-2.56,666.00,57.96,14.27,3.09,57.63
11.72,34.79,-57.75,36.13,49.55,-32.68,-92.07,108.15,73.62,8.97,-21.29,7.56,15.66,-2.56,666.00,57.96,9.80,3.09,57.63
11.89,38.85,-57.75,46.28,49.55,-39.50,-92.07,129.82,73.62,8.97,-17.42,7.56,15.69,-2.56,666.00,57.96,19.30,3.09,57.63
12.06,33.79,-57.75,43.67,49.55,-30.37,-92.07,107.94,73.62,8.97,-11.44,7.56,12.02,-2.56,25.66,57.96,31.16,3.09,57.63
12.22,18.82,-57.75,27.54,49.55,-9.94,-92.07,39.30,73.62,8.97,-9.81,7.56,12.58,-2.56,666.00,57.96,28.18,3.09,57.63
12.36,10.75,-57.75,21.81,49.55,666.00,-92.07,11.40,73.62,8.97,-9.18,7.56,12.77,-2.56,666.00,57.96,27.71,3.09,57.63
12.62,-1.47,-57.75,16.53,49.55,666.00,-92.07,21.84,73.62,8.97,-10.88,7.56,13.95,-2.56,666.00,57.96,18.76,3.09,57.63
12.86,19.85,-57.75,22.81,49.55,-11.19,-92.07,47.11,73.62,8.97,-13.54,7.56,13.79,-2.56,10.38,57.96,32.50,3.09,57.63
13.02,35.93,-57.75,30.05,49.55,178.15,-92.07,86.03,73.62,8.97,-12.52,7.56,14.05,-2.56,12.24,57.96,37.09,3.09,57.63
13.19,42.10,-57.75,38.51,49.55,177.54,-92.07,123.01,73.62,8.97,-10.93,7.56,13.52,-2.56,15.22,57.96,33.49,3.09,57.63
