Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,1.77,58.27,27.55,27.08,-5.26,34.68,103.24,124.51,-64.63,-8.25,7.28,9.82,17.98,666.00,-27.72,16.39,0.58,24.38
0.22,16.50,47.63,25.18,16.40,14.02,33.38,44.40,86.64,-63.39,-8.21,7.66,9.67,17.68,666.00,-26.55,16.64,0.84,24.50
0.37,16.12,36.91,22.68,15.56,666.00,34.64,21.07,58.74,-63.46,-8.07,8.21,9.82,17.86,666.00,-26.35,14.96,1.20,24.29
0.52,4.97,18.15,17.56,10.85,666.00,39.48,11.45,29.37,-50.37,-8.62,7.22,10.59,18.81,666.00,-27.41,14.14,1.90,24.50
0.74,0.92,11.93,16.02,10.85,666.00,42.74,11.20,27.29,-45.40,-9.06,7.29,10.79,18.51,666.00,-27.11,14.45,2.22,24.80
0.87,-0.75,11.93,16.05,10.85,666.00,42.74,10.57,24.68,-41.09,-9.87,7.29,10.71,18.51,666.00,-27.11,15.31,2.23,25.13
1.00,-0.60,8.88,15.53,11.88,666.00,41.76,10.15,27.99,-41.70,-10.30,7.29,10.79,18.51,666.00,-27.11,15.52,2.24,25.77
1.13,-0.20,9.15,15.35,11.67,666.00,41.60,12.49,28.54,-42.98,-10.98,7.29,10.87,18.51,666.00,-27.11,16.21,2.25,25.90
1.27,-0.46,9.15,15.08,11.67,666.00,41.60,13.52,30.44,-46.10,-10.04,7.29,10.69,18.51,666.00,-27.11,17.92,2.40,25.60
1.40,-1.24,9.15,16.48,11.67,666.00,41.60,20.21,33.57,-48.97,-10.54,7.29,10.80,18.51,666.00,-27.11,18.98,2.53,24.64
1.53,-3.28,9.15,22.55,11.67,666.00,41.60,29.24,36.29,-58.47,-9.81,7.29,10.10,18.51,666.00,-27.11,18.27,3.19,23.11
1.66,-2.91,14.12,34.67,26.29,-20.79,6.77,34.47,44.88,-56.61,-11.31,7.33,10.23,18.33,666.00,-26.95,17.86,3.24,21.75
1.80,-8.09,21.08,42.03,51.19,-44.86,-25.13,44.49,36.29,-59.77,-10.51,11.06,10.59,18.22,666.00,-20.69,16.29,3.45,20.53
1.95,-10.83,25.43,67.34,58.38,666.00,-34.43,29.63,32.41,-63.08,-14.98,6.43,12.62,19.25,666.00,-22.53,17.88,0.37,19.73
2.09,-15.08,26.78,81.01,58.50,666.00,-34.11,23.88,35.54,-74.17,-16.55,6.98,15.80,18.35,666.00,-26.21,16.81,0.07,22.83
2.22,-101.01,81.06,96.91,89.35,-3.36,-62.98,31.79,23.66,-73.21,9.17,8.78,11.34,21.19,666.00,-27.39,3.39,0.69,23.93
2.35,6.43,133.62,79.68,94.26,666.00,-64.81,27.04,22.16,-80.62,6.85,8.36,13.32,22.70,666.00,-29.46,3.06,1.14,23.08
2.49,-61.39,130.75,85.36,94.66,666.00,-64.94,23.58,18.21,-87.38,7.07,7.94,10.95,24.43,666.00,-34.73,2.85,0.18,20.07
2.62,-121.42,159.66,98.93,101.44,666.00,-76.24,13.63,11.07,-79.08,-1.59,8.92,7.40,23.64,666.00,-40.15,4.27,0.11,22.30
2.76,-124.58,163.83,100.40,99.76,666.00,-76.03,10.88,9.10,-77.85,-1.25,9.59,6.72,22.21,666.00,-36.37,4.87,0.79,21.67
2.90,88.66,152.06,89.78,98.48,666.00,-78.88,8.30,7.92,-77.38,-16.42,9.88,14.34,21.62,666.00,-35.35,28.46,0.53,21.67
3.04,88.08,150.32,89.65,99.89,666.00,-80.13,14.78,6.74,-78.13,-16.75,11.21,14.65,22.78,666.00,-34.75,29.52,0.12,22.10
3.22,99.93,153.11,91.56,102.62,-84.99,-81.22,43.50,21.43,-82.59,-17.63,10.14,15.53,24.14,666.00,-35.98,29.95,0.24,22.08
