Timestamp,Kinect left shoulder flex.-ext.,WISE left shoulder flex.-ext.,Kinect left shoulder abd.-add.,WISE left shoulder abd.-add.,Kinect left shoulder int.- ext.,WISE left shoulder int.- ext.,Kinect left elbow flex.-ext.,WISE left elbow flex.-ext.,WISE left forearm pro.- sup.,Kinect right shoulder flex.-ext.,WISE right shoulder flex.-ext.,Kinect right shoulder Abd.-Add.,WISE right shoulder abd.-add.,Kinect right shoulder int.-ext.,WISE right shoulder int.-ext.,Kinect right elbow flex.-ext.,WISE right elbow flex.-ext.,WISE right forearm pro.-sup.
0.00,-8.65,5.77,12.41,4.85,666.00,87.30,28.45,15.96,5.38,-8.33,-15.70,9.82,17.48,666.00,-65.51,20.04,2.08,22.89
0.20,-8.81,5.63,11.93,4.88,666.00,87.45,28.81,16.64,6.41,-8.57,-16.06,9.70,17.84,666.00,-64.06,19.82,2.47,22.88
0.35,-8.38,5.60,12.28,4.91,666.00,87.15,28.33,16.68,7.04,-8.86,-15.95,9.56,18.00,666.00,-64.27,20.09,1.76,23.13
0.51,-8.53,5.60,12.02,4.91,666.00,87.15,28.20,16.69,6.75,-8.69,-15.95,9.47,18.00,666.00,-64.27,20.23,1.76,23.13
0.67,-8.09,5.60,12.17,4.91,666.00,87.15,27.84,16.83,6.87,-8.77,-15.95,9.44,18.00,666.00,-64.27,20.62,1.76,23.13
0.80,-7.90,5.46,12.37,4.95,666.00,87.30,27.89,16.75,6.63,-8.91,-15.98,9.46,17.82,666.00,-64.67,20.85,1.79,23.16
0.93,-8.60,5.46,12.10,4.95,666.00,87.30,28.75,16.83,6.42,-9.08,-16.17,9.61,17.81,666.00,-64.79,21.25,1.70,23.16
1.07,-9.19,5.60,12.03,4.91,666.00,87.15,29.39,16.66,6.32,-9.10,-16.14,9.64,17.61,666.00,-64.91,21.51,1.84,23.24
1.20,-8.75,5.60,12.03,4.91,666.00,87.15,28.08,16.82,6.15,-8.99,-16.04,9.70,17.77,666.00,-65.12,21.74,1.58,23.18
1.33,-7.60,5.60,12.24,4.91,666.00,87.15,25.36,16.66,6.32,-8.80,-16.23,9.62,17.76,666.00,-65.23,21.39,1.64,23.29
1.47,-6.81,5.46,12.40,4.95,666.00,87.30,23.64,16.88,6.32,-8.45,-16.04,9.53,17.77,666.00,-65.12,20.96,1.58,23.18
1.60,-6.45,5.56,12.86,4.72,666.00,87.49,21.62,16.76,6.16,-7.35,-15.70,10.93,18.18,666.00,-64.64,18.86,0.62,23.96
1.74,-5.45,6.47,12.61,5.20,666.00,88.25,23.46,16.72,6.45,-9.61,-13.99,10.30,18.08,666.00,-61.67,18.30,0.05,22.03
1.97,-4.88,6.73,13.96,6.81,666.00,89.53,20.98,18.24,5.25,-7.96,-12.61,9.49,17.54,666.00,-60.05,19.74,0.98,21.32
2.10,-8.16,7.22,14.24,8.22,666.00,94.60,28.31,16.75,6.14,-7.09,-9.84,8.32,17.16,666.00,-57.95,21.42,0.33,21.69
2.34,-7.10,8.41,14.14,9.45,666.00,90.45,28.49,19.06,1.72,-7.21,-9.41,11.85,17.04,666.00,-57.48,28.04,0.26,24.30
2.46,-6.26,10.44,13.82,9.75,15.97,89.68,32.49,19.97,8.98,7.26,-1.05,18.62,26.55,666.00,-41.95,28.41,6.94,12.23
2.59,-6.51,11.94,14.70,6.67,15.85,89.36,33.05,18.09,11.17,26.71,4.45,23.80,35.83,-164.71,-40.32,30.52,3.67,21.24
2.73,-2.40,12.62,15.31,3.48,666.00,87.93,28.67,16.93,9.56,61.88,20.38,57.62,56.27,-42.58,-43.27,70.16,5.57,23.59
2.87,-2.03,13.09,15.04,0.95,666.00,87.18,28.14,15.54,11.38,106.25,103.23,109.61,96.66,-4.76,-40.46,35.53,12.88,20.36
3.00,-1.67,13.00,14.59,0.77,666.00,86.41,26.30,15.08,11.42,131.81,131.84,141.44,120.53,666.00,-27.55,27.47,2.31,29.33
3.13,-0.72,11.59,14.62,1.19,666.00,84.52,23.30,12.39,12.71,149.54,135.64,158.77,126.01,666.00,-44.65,23.36,2.71,29.70
3.27,-12.10,9.99,16.02,1.48,666.00,84.62,28.80,12.37,12.12,171.91,163.86,170.86,175.20,666.00,130.73,20.81,9.70,20.42
3.51,-9.76,8.97,13.73,1.75,666.00,83.68,23.84,13.05,8.58,174.79,168.01,170.36,180.54,666.00,131.37,26.47,14.22,16.46
3.64,-7.16,8.97,12.94,1.75,666.00,83.68,20.40,11.01,16.08,178.86,168.01,171.07,180.54,666.00,131.37,22.20,18.67,12.43
3.77,-8.05,8.97,13.52,1.75,666.00,83.68,22.86,12.79,14.24,172.91,168.01,168.65,180.54,666.00,131.37,27.01,18.67,12.43
