Timestamp,Kinect_LShoulderExt-Y,Kinect_LShoulderAbd-Z,Kinect_LElbow,Kinect_RShoulderExt-Y,Kinect_RShoulderAbd-Z,Kinect_RElbow,IMULS_Y,IMULS_Z,IMUL_Elbow,IMURS_Y,IMURS_Z,IMURElbow
0.09,87.76,15.53,29.75,86.06,21.94,31.86,0.00,0.00,0.00,0.00,0.00,0.00
0.17,87.92,14.10,27.30,87.84,23.07,30.19,0.00,0.00,0.00,0.00,0.00,0.00
0.24,88.99,15.96,30.18,89.02,20.90,27.87,0.00,0.00,0.00,0.00,0.00,0.00
0.34,87.99,15.07,27.42,90.44,20.28,27.52,0.00,0.00,0.00,0.00,0.00,0.00
0.43,88.46,14.65,29.50,90.01,20.76,32.44,0.00,0.00,0.00,0.00,0.00,0.00
0.51,88.74,16.29,29.81,90.28,21.82,34.39,0.00,0.00,0.00,0.00,0.00,0.00
0.59,88.15,16.62,29.10,90.15,21.98,31.17,0.00,0.00,0.00,0.00,0.00,0.00
0.67,85.96,16.68,27.86,90.77,22.45,28.35,0.00,0.00,0.00,0.00,0.00,0.00
0.75,83.86,16.74,27.39,90.73,21.68,24.37,0.00,0.00,0.00,0.00,0.00,0.00
0.82,82.78,17.05,28.10,91.85,19.54,25.77,0.00,0.00,0.00,0.00,0.00,0.00
0.89,82.88,16.91,27.87,92.07,19.05,28.38,0.00,0.00,0.00,0.00,0.00,0.00
0.96,84.60,14.35,26.09,90.95,19.34,29.81,0.00,0.00,0.00,0.00,0.00,0.00
1.04,85.92,12.82,26.47,89.90,19.46,28.02,0.00,0.00,0.00,0.00,0.00,0.00
1.11,86.51,11.98,25.86,89.95,19.36,27.22,0.00,0.00,0.00,0.00,0.00,0.00
1.18,87.64,11.45,24.66,90.56,18.59,26.81,0.00,0.00,0.00,0.00,0.00,0.00
1.27,88.22,11.20,22.31,91.38,17.07,25.64,0.00,0.00,0.00,0.00,0.00,0.00
1.34,89.01,12.16,24.16,90.61,17.27,26.05,0.00,0.00,0.00,0.00,0.00,0.00
1.44,89.49,11.28,23.50,90.12,18.42,26.88,0.00,0.00,0.00,0.00,0.00,0.00
1.52,88.69,11.53,23.13,90.24,18.67,25.47,0.00,0.00,0.00,0.00,0.00,0.00
1.58,88.57,11.18,23.03,90.17,18.99,26.57,0.00,0.00,0.00,0.00,0.00,0.00
1.66,88.44,11.46,23.29,89.66,18.95,26.07,0.00,0.00,0.00,0.00,0.00,0.00
1.73,88.73,11.26,23.09,89.23,18.57,24.98,0.00,0.00,0.00,0.00,0.00,0.00
1.80,88.92,10.74,22.64,89.53,18.36,24.50,0.00,0.00,0.00,0.00,0.00,0.00
1.86,89.09,10.78,22.49,89.48,18.35,24.12,0.00,0.00,0.00,0.00,0.00,0.00
1.94,89.12,10.43,22.13,89.59,17.94,25.87,0.00,0.00,0.00,0.00,0.00,0.00
2.01,89.55,9.63,21.60,89.72,17.67,22.95,0.00,0.00,0.00,0.00,0.00,0.00
2.07,89.79,8.52,19.67,89.85,17.78,23.96,0.00,0.00,0.00,0.00,0.00,0.00
2.14,89.77,8.79,19.85,89.46,17.81,23.86,0.00,0.00,0.00,0.00,0.00,0.00
2.22,89.56,8.99,20.13,89.45,17.96,24.60,0.00,0.00,0.00,0.00,0.00,0.00
2.28,89.07,8.92,19.63,89.41,18.07,22.11,0.00,0.00,0.00,0.00,0.00,0.00
2.35,88.21,9.21,18.83,89.57,18.10,22.54,0.00,0.00,0.00,0.00,0.00,0.00
2.46,87.69,9.62,18.60,89.55,18.01,23.51,0.00,0.00,0.00,0.00,0.00,0.00
2.55,87.23,9.96,18.21,89.58,17.91,24.65,0.00,0.00,0.00,0.00,0.00,0.00
2.62,87.16,10.05,18.31,89.56,17.75,24.81,0.00,0.00,0.00,0.00,0.00,0.00
2.70,87.07,10.16,18.37,89.53,17.65,24.67,0.00,0.00,0.00,0.00,0.00,0.00
2.77,87.00,10.22,18.57,89.59,17.50,24.56,0.00,0.00,0.00,0.00,0.00,0.00
2.87,86.89,10.24,18.79,89.62,17.44,24.06,0.00,0.00,0.00,0.00,0.00,0.00
2.95,86.63,10.34,18.83,89.77,17.29,24.65,0.00,0.00,0.00,0.00,0.00,0.00
3.01,86.58,10.39,18.87,89.77,17.25,24.15,0.00,0.00,0.00,0.00,0.00,0.00
3.10,86.51,10.44,18.84,89.85,17.10,24.75,0.00,0.00,0.00,0.00,0.00,0.00
3.20,86.45,10.49,19.07,90.00,16.93,23.99,0.00,0.00,0.00,0.00,0.00,0.00
3.29,86.49,10.49,19.03,90.01,16.83,24.30,0.00,0.00,0.00,0.00,0.00,0.00
3.36,86.36,10.67,19.06,89.96,16.78,26.08,0.00,0.00,0.00,0.00,0.00,0.00
3.44,86.29,10.83,19.16,89.92,16.70,25.69,0.00,0.00,0.00,0.00,0.00,0.00
3.52,86.29,10.92,19.21,89.89,16.66,23.55,0.00,0.00,0.00,0.00,0.00,0.00
3.59,86.41,10.83,19.06,89.89,16.63,23.53,0.00,0.00,0.00,0.00,0.00,0.00
3.67,86.54,10.75,18.98,89.86,16.64,27.32,0.00,0.00,0.00,0.00,0.00,0.00
3.75,86.50,10.79,18.96,89.89,16.64,24.60,0.00,0.00,0.00,0.00,0.00,0.00
3.82,86.54,10.78,18.93,89.89,16.63,23.45,0.00,0.00,0.00,0.00,0.00,0.00
3.88,86.55,10.80,18.97,89.91,16.62,26.96,0.00,0.00,0.00,0.00,0.00,0.00
3.98,86.54,10.79,18.90,89.92,16.67,25.43,0.00,0.00,0.00,0.00,0.00,0.00
4.04,86.59,10.79,18.97,89.87,16.77,22.90,0.00,0.00,0.00,0.00,0.00,0.00
4.10,86.28,11.28,18.69,89.83,16.82,23.59,0.00,0.00,0.00,0.00,0.00,0.00
4.17,80.19,18.89,21.70,89.68,16.62,23.67,0.00,0.00,0.00,0.00,0.00,0.00
4.25,68.93,32.56,27.70,89.73,16.39,23.50,0.00,0.00,0.00,0.00,0.00,0.00
4.32,59.19,44.31,30.31,89.81,16.53,22.94,0.00,0.00,0.00,0.00,0.00,0.00
4.38,49.17,55.02,28.77,90.00,16.71,23.07,0.00,0.00,0.00,0.00,0.00,0.00
4.45,39.74,65.11,25.05,90.31,16.65,23.45,0.00,0.00,0.00,0.00,0.00,0.00
4.55,30.81,75.04,18.39,90.66,16.65,23.72,0.00,0.00,0.00,0.00,0.00,0.00
4.61,23.59,84.77,19.38,90.96,16.66,23.43,0.00,0.00,0.00,0.00,0.00,0.00
4.72,20.30,92.25,16.00,91.19,16.88,24.22,0.00,0.00,0.00,0.00,0.00,0.00
4.78,20.71,98.44,13.75,91.48,17.62,24.18,0.00,0.00,0.00,0.00,0.00,0.00
4.85,21.21,100.42,12.92,91.57,18.09,24.45,0.00,0.00,0.00,0.00,0.00,0.00
4.93,21.46,101.50,13.11,91.58,18.21,24.34,0.00,0.00,0.00,0.00,0.00,0.00
5.00,21.28,100.73,13.29,91.54,18.18,24.28,0.00,0.00,0.00,0.00,0.00,0.00
5.13,21.05,99.84,13.96,91.50,18.15,24.42,0.00,0.00,0.00,0.00,0.00,0.00
5.19,21.03,100.36,14.56,91.41,18.31,24.50,0.00,0.00,0.00,0.00,0.00,0.00
5.26,20.95,100.32,14.64,91.35,18.42,24.51,0.00,0.00,0.00,0.00,0.00,0.00
5.39,20.95,100.72,14.54,91.43,18.37,24.60,0.00,0.00,0.00,0.00,0.00,0.00
5.45,20.99,100.11,14.70,91.49,18.35,24.56,0.00,0.00,0.00,0.00,0.00,0.00
5.53,21.16,99.96,15.09,91.40,18.32,24.44,0.00,0.00,0.00,0.00,0.00,0.00
5.60,20.78,100.02,14.53,91.39,18.46,24.43,0.00,0.00,0.00,0.00,0.00,0.00
5.70,20.70,100.50,14.13,91.39,18.45,24.34,0.00,0.00,0.00,0.00,0.00,0.00
5.78,20.71,100.62,14.40,91.45,18.29,24.74,0.00,0.00,0.00,0.00,0.00,0.00
5.86,20.65,100.52,14.53,91.50,18.27,24.84,0.00,0.00,0.00,0.00,0.00,0.00
5.94,20.62,100.41,14.78,91.48,18.31,24.89,0.00,0.00,0.00,0.00,0.00,0.00
6.01,20.18,100.39,14.44,91.51,18.28,24.59,0.00,0.00,0.00,0.00,0.00,0.00
6.08,19.93,100.95,14.06,91.50,18.35,24.61,0.00,0.00,0.00,0.00,0.00,0.00
6.16,19.75,100.91,13.79,91.53,18.39,24.51,0.00,0.00,0.00,0.00,0.00,0.00
6.23,19.62,100.64,13.04,91.51,18.38,24.29,0.00,0.00,0.00,0.00,0.00,0.00
6.30,19.67,100.81,12.96,91.45,18.40,24.31,0.00,0.00,0.00,0.00,0.00,0.00
6.38,19.45,100.66,13.13,91.41,18.43,24.07,0.00,0.00,0.00,0.00,0.00,0.00
6.46,18.14,101.09,15.24,91.38,18.43,24.04,0.00,0.00,0.00,0.00,0.00,0.00
6.53,15.33,101.08,15.38,91.30,18.50,24.42,0.00,0.00,0.00,0.00,0.00,0.00
6.61,10.82,101.76,17.83,91.17,18.61,24.58,0.00,0.00,0.00,0.00,0.00,0.00
6.69,11.31,104.00,19.86,90.89,18.69,24.15,0.00,0.00,0.00,0.00,0.00,0.00
6.78,18.41,104.65,19.37,90.56,18.80,24.46,0.00,0.00,0.00,0.00,0.00,0.00
6.85,27.96,103.22,17.15,89.63,18.75,24.02,0.00,0.00,0.00,0.00,0.00,0.00
6.92,39.47,101.84,16.79,88.86,18.80,23.72,0.00,0.00,0.00,0.00,0.00,0.00
7.01,47.98,98.79,11.72,87.58,18.93,22.66,0.00,0.00,0.00,0.00,0.00,0.00
7.07,53.13,99.48,15.92,87.04,20.31,23.06,0.00,0.00,0.00,0.00,0.00,0.00
7.15,56.84,100.99,17.08,86.55,20.17,23.99,0.00,0.00,0.00,0.00,0.00,0.00
