Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.10,8.92,0.00,15.16,0.00,0.00,0.00,21.53,0.00,0.00,17.37,0.00,22.77,0.00,0.00,10.00,27.48,0.00,0.00
1.23,8.65,0.00,14.46,0.00,0.00,0.00,22.90,90.15,-90.24,17.39,0.00,22.76,0.00,0.00,10.00,28.29,0.00,0.00
1.40,8.66,108.71,14.73,95.32,0.00,58.38,23.56,90.15,-90.24,17.24,-71.29,22.38,84.68,0.00,NaN,28.59,0.00,0.00
1.50,8.70,108.71,17.27,95.32,0.00,58.38,23.90,90.15,-90.24,17.06,-71.29,21.14,84.68,0.00,NaN,29.36,82.43,-83.45
1.61,7.91,108.71,17.34,95.32,0.00,58.38,25.06,90.15,-90.24,17.31,-71.29,21.98,84.68,0.00,NaN,29.18,82.43,-83.45
1.73,7.55,108.71,15.06,95.32,0.00,58.38,25.54,90.15,-90.24,17.32,-71.29,23.08,84.68,0.00,NaN,28.76,83.97,-83.90
1.81,8.13,108.71,14.08,95.32,0.00,58.38,26.16,90.15,-90.24,17.06,-71.29,23.10,84.68,0.00,NaN,29.13,83.97,-83.90
1.90,8.43,108.71,13.83,95.32,0.00,58.38,24.60,90.15,-90.24,16.95,3.95,22.97,5.71,0.00,7.01,28.88,19.08,33.73
1.98,8.15,108.71,13.23,95.32,0.00,58.38,24.00,90.15,-90.24,16.83,3.95,22.95,5.71,0.00,7.01,28.05,19.08,33.73
2.08,7.64,108.71,12.64,95.32,0.00,58.38,24.40,87.93,-87.95,16.86,3.95,23.30,5.71,0.00,7.01,27.53,19.08,33.73
2.17,7.28,16.73,12.82,3.10,0.00,15.90,24.44,14.92,4.60,17.07,3.95,23.48,5.71,0.00,7.01,28.07,19.08,33.73
2.24,7.25,16.73,13.19,3.10,0.00,15.90,22.25,14.92,4.60,16.85,4.70,21.81,8.03,0.00,0.46,27.80,18.22,34.37
2.32,7.22,16.73,13.35,3.10,0.00,15.90,21.94,14.92,4.60,16.20,4.70,21.54,8.03,0.00,0.46,27.36,18.22,34.37
2.41,8.22,17.58,14.32,2.73,0.00,16.50,21.79,14.92,4.60,16.26,5.44,21.35,8.29,0.00,1.19,26.03,18.22,34.37
2.50,8.93,17.58,13.67,2.73,0.00,16.50,21.88,11.80,7.11,15.71,5.44,20.26,8.29,0.00,1.19,23.81,18.22,34.37
2.63,8.07,17.58,12.31,2.73,0.00,16.50,21.27,11.80,7.11,15.18,10.88,19.02,6.50,0.00,9.01,22.38,12.96,37.81
2.73,7.68,17.58,11.60,2.73,0.00,16.50,20.89,13.25,6.66,14.93,10.88,19.09,6.50,0.00,9.01,22.23,12.96,37.81
2.82,7.41,17.58,11.44,2.73,0.00,16.50,21.17,13.25,6.66,14.97,10.79,19.72,7.27,0.00,5.85,23.06,12.96,36.82
2.92,7.43,16.33,11.58,1.90,0.00,16.90,21.00,13.25,6.66,15.02,9.67,19.79,8.13,0.00,5.06,23.29,12.96,36.82
3.02,7.34,16.33,11.56,1.90,0.00,16.90,20.90,13.25,6.66,14.99,9.67,19.68,8.13,0.00,5.06,23.26,12.96,36.82
3.13,7.27,16.33,11.57,1.90,0.00,16.90,21.25,13.25,6.66,14.91,9.67,19.58,8.13,0.00,5.06,23.28,13.94,-36.13
3.23,7.05,16.33,11.40,1.90,0.00,16.90,20.92,13.27,7.32,14.81,9.67,19.47,8.13,0.00,5.06,23.27,13.94,-36.13
3.32,6.80,18.63,11.41,-2.23,0.00,2.34,20.29,10.28,-4.41,14.66,9.67,19.18,8.13,0.00,5.06,23.07,13.94,-36.13
3.40,6.76,18.63,11.44,-2.23,0.00,2.34,20.23,10.28,-4.41,14.64,10.21,18.94,8.37,0.00,16.73,22.95,13.36,34.66
3.49,7.35,18.63,11.60,-2.23,0.00,2.34,20.77,10.28,-4.41,14.43,10.21,18.74,8.37,0.00,16.73,22.80,13.57,-36.33
3.60,7.38,18.63,11.80,-2.23,0.00,2.34,20.94,10.38,-4.87,14.36,10.21,18.53,8.37,0.00,16.73,22.79,13.57,-36.33
3.73,6.79,18.63,11.51,-2.23,0.00,2.34,20.42,10.38,-4.87,14.34,10.40,18.50,8.30,0.00,19.11,22.82,13.41,34.99
3.82,6.50,18.63,11.14,-2.23,0.00,2.34,20.04,10.38,-4.87,14.44,10.40,18.64,8.30,0.00,19.11,22.84,13.41,34.99
3.93,6.20,18.63,10.56,-2.07,0.00,1.62,19.61,10.37,-4.51,14.33,10.40,18.52,8.30,0.00,19.11,22.57,13.41,34.99
4.02,5.97,18.63,10.14,-2.07,0.00,1.62,19.18,10.37,-4.51,14.99,10.40,19.05,8.30,0.00,19.11,23.43,13.41,34.99
4.11,6.00,18.63,10.17,-2.07,0.00,1.62,19.23,10.37,-4.51,14.99,10.40,18.93,8.30,0.00,19.11,23.72,13.41,34.99
4.20,6.19,18.63,10.33,-2.07,0.00,1.62,19.36,10.37,-4.51,14.67,10.40,18.37,8.30,0.00,19.11,23.45,13.41,34.99
4.28,6.17,18.63,10.35,-2.07,0.00,1.62,19.48,10.37,-4.51,14.31,11.42,17.89,6.21,0.00,28.49,23.11,13.27,32.11
4.36,6.14,18.63,10.34,-2.07,0.00,1.62,19.39,10.37,-4.51,14.13,11.42,17.65,6.21,0.00,28.49,22.91,13.27,32.11
4.47,6.09,19.17,10.29,-1.56,0.00,1.48,19.34,10.37,-4.51,14.17,12.19,17.83,6.11,0.00,25.54,22.98,13.27,32.11
4.56,6.07,19.17,10.24,-1.56,0.00,1.48,19.24,10.37,-4.51,13.98,12.19,17.55,6.11,0.00,25.54,22.88,13.27,32.11
4.66,6.01,19.17,10.22,-1.56,0.00,1.48,19.26,10.37,-4.51,13.90,12.19,17.41,6.11,0.00,25.54,22.81,13.27,32.11
4.75,6.10,19.17,10.31,-1.56,0.00,1.48,19.45,10.37,-4.51,13.87,12.19,17.31,6.11,0.00,25.54,22.79,13.27,32.11
4.84,6.04,19.17,10.31,-1.56,0.00,1.48,19.44,10.37,-4.51,13.95,12.19,17.33,6.11,0.00,25.54,22.86,13.27,32.11
4.93,5.97,19.17,10.28,-1.56,0.00,1.48,19.44,10.37,-4.51,14.04,11.98,17.38,5.92,0.00,25.81,23.01,13.53,31.63
5.01,5.84,19.17,10.18,-1.56,0.00,1.48,19.18,10.37,-4.51,14.08,11.98,17.38,5.92,0.00,25.81,22.96,13.53,31.63
5.10,5.76,19.17,10.17,-1.56,0.00,1.48,19.15,10.37,-4.51,14.06,11.98,17.36,5.92,0.00,25.81,22.86,13.53,31.63
5.19,5.77,19.17,10.16,-1.56,0.00,1.48,19.09,10.37,-4.51,14.03,11.98,17.34,5.92,0.00,25.81,22.80,13.53,31.63
5.27,5.84,19.17,10.23,-1.56,0.00,1.48,19.01,10.37,-4.51,14.07,11.98,17.39,5.92,0.00,25.81,22.85,13.53,31.63
5.36,5.89,19.17,10.20,-1.56,0.00,1.48,18.94,10.37,-4.51,14.10,11.98,17.45,5.92,0.00,25.81,22.93,13.53,31.63
5.44,5.85,19.17,10.18,-1.56,0.00,1.48,18.91,10.37,-4.51,14.15,11.98,17.57,5.92,0.00,25.81,22.96,13.90,-34.76
5.53,5.79,19.17,10.12,-1.56,0.00,1.48,18.80,10.37,-4.51,14.27,11.98,17.72,5.92,0.00,25.18,23.06,13.90,-34.76
5.69,5.70,19.17,10.02,-1.56,0.00,1.48,18.57,10.37,-4.51,14.35,11.98,17.83,5.92,0.00,25.18,23.07,13.90,-34.76
5.79,5.50,19.17,9.75,-1.56,0.00,1.48,18.54,10.37,-4.51,14.37,11.98,17.94,5.92,0.00,25.18,23.11,13.90,-34.76
5.88,5.42,19.17,9.67,-1.56,0.00,1.48,18.59,10.37,-4.51,14.38,12.01,17.97,6.10,0.00,24.61,23.20,13.80,35.10
5.96,5.38,19.17,9.66,-1.56,0.00,1.48,18.74,10.37,-4.51,14.29,12.01,17.94,6.10,0.00,24.61,23.11,13.80,35.10
6.05,5.33,19.17,9.65,-1.56,0.00,1.48,18.75,10.37,-4.51,14.27,12.01,17.93,6.10,0.00,24.61,23.04,13.80,35.10
6.14,5.28,19.17,9.60,-1.56,0.00,1.48,18.85,10.37,-4.51,14.17,12.01,17.87,6.10,0.00,24.61,22.95,13.80,35.10
6.23,5.29,19.17,9.64,-1.56,0.00,1.48,18.98,10.37,-4.51,14.13,12.01,17.86,6.10,0.00,24.61,23.19,13.80,35.10
6.34,5.25,19.17,9.63,-1.56,0.00,1.48,18.91,10.37,-4.51,14.11,12.01,17.85,6.10,0.00,24.61,23.21,13.80,35.10
6.42,5.24,19.17,9.60,-1.56,0.00,1.48,18.95,10.37,-4.51,14.08,12.01,17.82,6.10,0.00,24.61,23.07,13.80,35.10
6.50,5.20,19.17,9.56,-1.56,0.00,1.48,18.87,10.37,-4.51,14.05,12.01,17.79,6.10,0.00,24.61,23.02,13.80,35.10
6.58,5.16,19.17,9.50,-1.56,0.00,1.48,18.76,10.37,-4.51,14.03,12.01,17.77,6.10,0.00,24.61,23.02,13.80,-35.10
6.69,5.16,19.17,9.47,-1.56,0.00,1.48,18.70,10.37,-4.51,14.04,12.01,17.78,6.10,0.00,24.61,23.04,13.80,-35.10
6.79,5.19,19.17,9.48,-1.56,0.00,1.48,18.47,10.37,-4.51,14.06,12.01,17.78,6.10,0.00,24.61,22.94,13.80,-35.10
