Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.10,4.25,0.00,13.64,0.00,0.00,0.00,25.78,0.00,0.00,11.48,0.00,19.81,0.00,0.00,10.00,30.53,77.95,-78.70
1.23,3.41,0.00,16.86,0.00,0.00,0.00,20.38,0.00,0.00,13.35,0.00,18.28,0.00,0.00,10.00,33.64,77.95,-78.70
1.38,4.94,0.00,16.78,0.00,0.00,0.00,24.81,0.00,0.00,12.52,78.80,18.78,-18.39,0.00,75.78,33.37,22.05,28.78
1.45,4.53,0.00,13.49,0.00,0.00,0.00,27.54,0.00,0.00,12.48,78.80,20.77,-18.39,0.00,75.78,30.11,22.05,28.78
1.54,4.35,0.00,11.57,0.00,0.00,0.00,28.17,0.00,0.00,11.74,80.70,20.84,-26.31,0.00,72.29,29.12,23.12,37.04
1.62,4.66,0.00,11.79,0.00,0.00,0.00,28.44,0.00,0.00,11.48,80.70,20.28,-26.31,0.00,72.29,29.34,21.06,-31.01
1.74,4.78,0.00,11.95,0.00,0.00,0.00,27.57,89.45,-85.28,11.50,80.70,19.66,-26.31,0.00,72.29,30.09,21.06,-31.01
1.90,3.99,0.00,13.19,0.00,0.00,0.00,26.04,89.45,-85.28,11.89,80.70,18.25,-26.31,0.00,72.29,29.84,20.32,-31.61
1.99,4.37,0.00,12.16,0.00,0.00,0.00,24.87,89.45,-85.28,11.23,79.85,17.31,-15.42,0.00,60.85,29.46,18.74,27.69
2.10,4.54,139.98,10.84,112.40,0.00,56.29,23.70,89.45,-85.28,10.72,11.51,16.80,-7.75,0.00,7.12,30.00,18.74,27.69
2.22,4.60,139.98,10.12,112.40,0.00,56.29,22.89,89.45,-85.28,10.16,11.27,16.13,-8.50,0.00,9.00,28.24,19.10,26.15
2.31,4.52,138.98,9.86,111.32,0.00,57.48,22.01,89.45,-85.28,10.18,10.19,16.03,-7.86,0.00,8.54,27.96,19.10,26.15
