Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.22,5.27,0.00,10.23,0.00,0.00,0.00,21.90,0.00,0.00,10.86,0.00,16.13,0.00,0.00,10.00,26.32,0.00,0.00
1.38,4.82,0.00,9.93,0.00,0.00,0.00,20.46,0.00,0.00,10.92,82.03,16.02,-25.63,0.00,154.10,25.75,82.05,83.56
1.48,4.84,0.00,9.98,0.00,0.00,0.00,20.53,0.00,0.00,10.87,82.06,15.99,-25.10,0.00,154.64,25.70,82.08,83.51
1.57,4.91,0.00,10.08,0.00,0.00,0.00,20.49,0.00,0.00,10.84,82.06,15.96,-25.10,0.00,154.64,25.55,16.46,-29.46
1.69,5.01,0.00,10.24,0.00,0.00,0.00,20.45,91.33,-88.47,10.78,82.06,15.91,-25.10,0.00,154.64,25.53,16.46,-29.46
1.80,5.08,0.00,10.30,0.00,0.00,0.00,20.43,91.33,-88.47,10.78,82.06,15.93,-25.10,0.00,154.64,25.64,16.62,-28.95
1.91,5.11,88.58,10.34,-68.30,0.00,157.89,20.48,8.95,-4.64,10.80,82.06,16.01,-25.10,0.00,154.64,25.61,16.62,-28.95
2.04,5.07,19.77,10.28,2.64,0.00,25.43,20.20,8.95,-4.64,10.87,10.36,16.20,0.10,0.00,37.10,25.73,16.62,-28.95
2.15,4.99,19.77,10.21,2.64,0.00,25.43,19.91,8.95,-4.64,10.86,10.20,16.27,0.75,0.00,35.14,25.93,16.38,29.25
2.26,5.03,19.77,10.17,2.64,0.00,25.43,19.88,8.95,-4.64,10.88,10.20,16.32,0.75,0.00,35.14,26.01,16.38,29.25
2.35,5.13,19.77,10.27,2.64,0.00,25.43,19.86,8.95,-4.64,10.92,10.37,16.36,0.81,0.00,35.32,26.04,16.20,29.41
2.44,5.23,19.77,10.26,2.64,0.00,25.43,19.95,8.95,-4.64,10.90,10.37,16.33,0.81,0.00,35.32,25.96,16.20,-29.41
2.55,5.24,19.77,10.29,2.64,0.00,25.43,19.91,8.95,-4.64,10.91,10.37,16.38,0.81,0.00,35.32,25.93,16.20,-29.41
2.64,5.24,19.77,10.30,2.64,0.00,25.43,19.24,8.95,-4.64,10.91,10.23,16.35,0.77,0.00,35.15,25.87,16.34,29.57
2.74,5.23,19.77,10.24,2.64,0.00,25.43,18.04,8.95,-4.64,10.90,10.23,16.35,0.77,0.00,35.15,25.81,16.34,-29.57
2.85,5.08,19.68,10.02,2.87,0.00,26.21,15.07,8.95,-4.64,10.91,10.10,16.31,0.42,0.00,35.89,25.66,16.34,-29.57
2.92,5.00,19.68,9.99,2.87,0.00,26.21,13.85,8.04,-6.94,10.83,10.10,16.22,0.42,0.00,35.89,25.49,16.34,-29.57
3.01,4.96,19.68,9.95,2.87,0.00,26.21,13.47,8.04,-6.94,10.83,10.10,16.20,0.42,0.00,35.89,25.37,16.34,-29.57
3.09,4.95,19.68,9.82,2.87,0.00,26.21,13.42,8.04,-6.94,10.81,9.82,16.19,0.67,0.00,34.72,25.18,16.42,29.41
3.18,4.84,19.68,9.62,2.87,0.00,26.21,13.40,8.04,-6.94,10.86,9.82,16.24,0.67,0.00,34.72,25.15,16.42,29.41
3.25,4.83,19.56,9.57,3.21,0.00,18.49,13.44,8.04,-6.94,10.89,9.70,16.28,0.32,0.00,34.76,25.10,16.42,29.41
3.37,4.85,19.56,9.61,3.21,0.00,18.49,13.46,8.27,-5.93,10.86,9.70,16.30,0.32,0.00,34.76,25.10,16.42,29.41
3.47,4.86,19.56,9.70,3.21,0.00,18.49,13.64,8.27,-5.93,10.76,9.70,16.25,0.32,0.00,34.76,25.15,16.37,-28.69
3.58,4.62,19.56,9.75,3.21,0.00,18.49,15.28,14.33,-6.81,10.73,9.70,16.19,0.32,0.00,34.76,25.13,16.37,-28.69
3.65,3.03,27.35,9.62,0.75,0.00,20.68,20.84,6.21,-6.34,10.74,9.70,16.12,0.32,0.00,34.76,25.16,16.37,-28.69
3.73,1.84,27.35,9.79,0.75,0.00,20.68,23.81,6.21,-6.34,10.71,10.04,16.10,0.44,0.00,37.11,25.13,16.03,29.00
3.80,0.82,27.35,9.99,0.75,0.00,20.68,29.78,6.21,-6.34,10.71,10.04,16.04,0.44,0.00,37.11,25.10,16.03,29.00
3.89,0.13,27.35,10.29,0.75,0.00,20.68,35.67,6.21,-6.34,10.66,10.04,15.93,0.44,0.00,37.11,25.06,16.17,-29.17
4.00,0.87,27.35,10.63,0.75,0.00,20.68,43.08,6.21,-6.34,10.67,10.04,15.93,0.44,0.00,37.11,25.21,16.06,-29.04
4.10,1.71,27.35,11.32,0.75,0.00,20.68,49.98,49.04,-6.54,10.67,10.04,15.94,0.44,0.00,37.11,25.13,16.06,-29.04
4.20,2.10,27.35,11.64,0.75,0.00,20.68,54.68,49.04,-6.54,10.75,10.11,15.99,0.82,0.00,36.92,25.18,15.78,29.18
4.29,2.06,26.45,12.11,0.51,0.00,30.68,59.11,49.04,-6.54,10.76,9.25,16.02,1.48,0.00,35.59,25.27,15.78,29.18
4.41,2.11,37.57,12.37,0.86,28.18,37.08,61.89,39.95,-15.30,10.82,9.25,16.08,1.48,0.00,35.59,25.39,15.78,29.18
4.48,2.28,37.57,12.29,0.86,23.47,37.08,66.58,39.95,-15.30,10.85,9.25,16.11,1.48,0.00,35.59,25.45,16.45,-28.55
4.56,2.29,37.70,11.87,1.17,12.65,37.16,77.84,39.95,-15.30,10.90,9.38,16.23,1.13,0.00,34.55,25.60,16.45,-28.55
4.66,2.60,38.38,11.49,0.95,16.14,37.62,73.94,39.31,-16.22,10.92,9.38,16.31,1.13,0.00,34.55,25.63,16.45,-28.55
4.77,2.76,38.25,11.26,1.16,21.95,37.45,68.16,39.31,-16.22,10.92,9.26,16.40,1.02,0.00,34.41,25.85,16.45,-28.55
4.88,2.65,37.68,11.25,0.65,21.71,36.95,68.39,39.52,-15.34,10.93,9.26,16.44,1.02,0.00,34.41,26.08,16.45,-28.55
4.96,2.63,37.55,11.25,0.34,19.73,36.87,70.35,39.52,-15.34,11.04,9.13,16.60,1.37,0.00,34.34,26.21,16.45,-28.55
5.04,2.63,37.55,11.30,0.34,13.63,36.87,76.46,39.52,-15.34,11.21,9.13,16.81,1.37,0.00,34.34,26.15,16.45,-28.55
5.15,3.16,37.55,11.50,0.34,20.88,36.87,69.27,39.52,-15.34,11.38,9.13,17.01,1.37,0.00,34.34,26.28,16.45,-28.55
5.24,3.20,37.57,11.42,0.61,26.40,36.30,63.97,39.52,-15.34,11.48,9.16,17.13,1.37,0.00,33.88,26.17,16.45,-28.55
5.33,3.29,37.57,11.66,0.61,14.80,36.30,75.31,60.92,-23.71,11.52,9.16,17.16,1.37,0.00,33.88,26.25,16.45,-28.55
5.43,3.05,37.57,11.75,0.61,14.89,36.30,75.28,60.92,-23.71,11.56,8.83,17.16,1.59,0.00,32.69,26.21,16.61,27.75
5.55,3.59,37.57,13.40,0.61,15.53,36.30,75.58,62.98,-31.71,11.53,8.83,17.11,1.59,0.00,32.69,26.33,16.61,27.75
5.64,6.36,37.57,17.35,0.61,23.76,36.30,74.01,62.98,-31.71,11.52,9.14,17.09,1.68,0.00,33.00,26.49,16.30,27.74
5.75,5.81,37.57,22.44,0.61,29.44,36.30,77.69,62.98,-31.71,11.40,9.14,17.01,1.68,0.00,33.00,26.32,16.85,-27.32
5.84,4.69,37.57,21.89,0.61,32.80,36.30,80.91,62.98,-31.71,11.35,9.14,16.92,1.68,0.00,33.00,26.27,16.85,-27.32
5.96,5.04,37.57,21.61,0.61,39.30,36.30,84.81,62.98,-31.71,11.30,9.14,16.82,1.68,0.00,33.00,26.18,16.79,-27.96
6.03,6.52,37.57,20.89,0.61,47.50,36.30,91.23,74.33,-62.10,11.29,9.14,16.72,1.68,0.00,33.00,25.93,16.79,-27.96
6.11,4.93,37.57,21.51,0.61,48.37,36.30,93.93,74.33,-62.10,11.30,9.14,16.67,1.68,0.00,33.00,26.09,16.79,-27.96
6.20,17.06,37.57,19.67,0.61,56.10,36.30,76.77,74.33,-62.10,11.25,9.11,16.61,1.28,0.00,34.54,25.93,17.04,26.65
6.27,18.04,37.57,20.22,0.61,58.50,36.30,75.69,74.33,-62.10,11.27,9.11,16.60,1.28,0.00,34.54,25.97,17.04,26.65
6.36,18.43,37.57,20.20,0.61,60.49,36.30,74.56,74.33,-62.10,11.31,9.11,16.62,1.28,0.00,34.54,25.94,16.64,-26.87
6.48,18.69,37.57,20.25,0.61,61.25,36.30,73.44,74.33,-62.10,11.28,9.11,16.59,1.28,0.00,34.54,25.98,16.64,-26.87
6.57,19.87,36.91,20.68,-0.81,63.53,76.51,69.32,74.33,-62.10,11.28,8.52,16.59,3.60,0.00,31.53,25.99,16.64,-26.87
