Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
1.38,6.72,0.00,11.84,0.00,0.00,0.00,25.56,0.00,0.00,12.03,0.00,16.76,0.00,0.00,10.00,27.22,0.00,0.00
1.54,6.37,0.00,11.90,0.00,0.00,0.00,25.65,0.00,0.00,12.00,81.93,17.40,-29.39,0.00,150.29,27.91,81.96,85.53
1.65,6.41,89.93,12.21,-88.83,0.00,88.83,24.97,90.07,-89.78,11.93,81.93,17.22,-29.39,0.00,150.29,27.96,81.96,85.53
1.77,6.46,21.38,12.25,4.68,0.00,51.59,24.82,90.07,-89.78,12.13,10.27,17.43,-3.23,0.00,128.26,28.11,81.96,85.53
1.90,6.20,21.38,11.75,4.68,0.00,51.59,24.08,90.07,-89.78,11.87,9.12,17.48,-2.79,0.00,128.23,28.06,80.91,84.58
2.00,6.31,21.38,12.03,4.68,0.00,51.59,23.55,10.33,-15.55,11.23,9.12,16.82,-2.79,0.00,128.23,27.47,80.91,84.58
2.11,6.97,21.38,12.60,4.68,0.00,51.59,23.70,10.33,-15.55,11.41,9.12,17.02,-2.79,0.00,128.23,27.79,19.33,-38.19
2.20,6.73,21.38,12.01,4.68,0.00,51.59,24.09,12.72,-9.10,12.34,9.12,17.39,-2.79,0.00,128.23,27.79,19.33,-38.19
2.30,6.92,21.38,11.80,4.68,0.00,51.59,24.50,12.72,-9.10,12.55,9.98,17.50,-4.92,0.00,41.39,27.23,19.98,41.19
2.38,6.68,21.38,11.58,4.68,0.00,51.59,24.00,12.72,-9.10,12.57,9.98,17.48,-4.92,0.00,41.39,27.66,18.89,-37.99
2.47,6.33,21.38,11.14,4.68,0.00,51.59,23.13,11.49,-8.94,12.26,9.98,17.11,-4.92,0.00,41.39,26.92,18.89,-37.99
2.56,6.15,19.87,10.92,2.81,0.00,32.80,22.66,11.57,-11.09,11.99,9.98,16.76,-4.92,0.00,41.39,27.06,18.89,-37.99
2.69,5.91,19.87,10.71,2.81,0.00,32.80,22.24,11.57,-11.09,11.81,9.98,16.45,-4.92,0.00,41.39,26.52,17.76,-38.95
2.79,5.22,20.33,10.09,1.93,0.00,30.82,21.38,10.73,-10.99,11.74,9.98,16.48,-4.92,0.00,41.39,25.78,17.76,-38.95
2.88,5.09,20.33,10.04,1.93,0.00,30.82,21.32,10.73,-10.99,11.69,9.98,16.41,-4.92,0.00,41.39,25.61,17.90,-38.74
2.98,5.04,19.18,9.94,0.62,0.00,32.64,21.32,10.73,-10.99,11.69,8.92,16.42,-3.93,0.00,45.37,25.40,17.90,-38.74
3.07,5.01,19.65,9.96,0.75,0.00,34.56,21.46,10.41,-11.49,11.78,8.92,16.62,-3.93,0.00,45.37,25.45,17.90,-38.74
3.15,4.99,19.65,9.87,0.75,0.00,34.56,21.41,10.41,-11.49,11.79,10.32,16.69,-3.24,0.00,47.26,25.63,16.44,39.91
3.24,5.05,19.65,9.83,0.75,0.00,34.56,21.42,10.41,-11.49,11.95,10.32,16.93,-3.24,0.00,47.26,27.68,17.36,-38.55
3.32,5.01,19.65,9.84,0.75,0.00,34.56,21.42,11.11,-11.57,11.93,10.32,16.98,-3.24,0.00,47.26,27.17,17.36,-38.55
3.41,5.03,19.93,9.82,0.58,0.00,38.48,21.45,10.79,-11.54,12.01,10.32,17.08,-3.24,0.00,47.26,27.13,17.36,-38.55
3.55,4.93,19.93,9.77,0.58,0.00,38.48,21.56,10.79,-11.54,11.99,10.32,17.08,-3.24,0.00,47.26,27.70,17.49,-39.04
3.64,4.93,19.80,9.75,0.66,0.00,38.35,21.44,10.94,-11.71,11.89,10.32,16.98,-3.24,0.00,47.26,27.15,17.49,-39.04
3.74,4.94,19.80,9.76,0.66,0.00,38.35,21.40,10.94,-11.71,11.88,10.32,16.94,-3.24,0.00,47.26,26.69,17.47,-39.35
3.83,4.97,19.22,9.79,1.30,0.00,37.99,21.51,10.94,-11.71,11.92,9.73,16.95,-3.81,0.00,46.94,26.53,17.47,-39.35
3.95,5.01,19.35,9.82,1.21,0.00,38.12,21.50,10.79,-11.54,11.93,9.73,16.94,-3.81,0.00,46.94,26.34,17.47,-39.35
4.05,5.10,19.35,9.91,1.21,0.00,38.12,21.40,10.79,-11.54,12.00,9.73,16.99,-3.81,0.00,46.94,26.25,17.47,-39.35
4.13,5.16,19.35,9.93,1.21,0.00,38.12,21.46,10.95,-11.71,12.08,9.73,17.06,-3.81,0.00,46.94,26.90,17.47,-39.35
4.24,5.19,19.67,9.98,1.42,0.00,40.19,21.59,10.82,-12.05,12.09,9.73,17.06,-3.81,0.00,46.94,26.47,17.47,-39.35
4.35,5.17,19.28,10.02,1.30,0.00,40.53,21.70,10.82,-12.05,12.12,9.35,17.05,-3.74,0.00,47.29,26.92,17.47,-39.35
4.43,5.09,20.20,9.97,1.19,0.00,43.48,21.89,10.08,-13.06,11.98,9.35,16.95,-3.74,0.00,47.29,27.62,17.47,-39.35
4.55,4.90,20.20,9.90,1.19,0.00,43.48,22.47,10.08,-13.06,11.89,10.73,16.88,-2.97,0.00,49.18,29.72,15.98,38.56
4.64,4.72,19.41,9.88,1.43,0.00,43.51,22.99,10.08,-13.06,11.69,9.95,16.71,-3.21,0.00,49.25,31.49,15.98,38.56
4.73,4.56,20.38,9.79,0.33,0.00,43.41,23.45,8.66,-14.66,11.23,9.95,16.35,-3.21,0.00,49.25,32.82,15.98,38.56
4.82,4.48,20.30,9.80,0.19,0.00,42.46,23.68,8.63,-14.72,11.00,9.95,16.19,-3.21,0.00,49.25,32.33,15.98,38.56
4.97,4.57,20.27,9.87,0.10,0.00,42.94,23.77,8.63,-14.72,10.79,9.94,16.04,-3.20,0.00,49.70,30.84,15.98,38.56
5.06,4.77,20.27,10.01,0.10,0.00,42.94,24.00,8.63,-14.72,10.66,9.94,15.89,-3.20,0.00,49.70,28.53,20.17,-41.41
5.17,4.79,20.27,10.02,0.10,0.00,42.94,24.09,13.28,-12.42,10.45,9.94,15.72,-3.20,0.00,49.70,28.03,20.17,-41.41
5.26,4.66,20.27,9.96,0.10,0.00,42.94,24.28,13.28,-12.42,10.09,11.66,15.46,-2.20,0.00,50.68,28.63,18.30,41.74
5.37,4.52,20.27,9.88,0.10,0.00,42.94,24.44,13.28,-12.42,9.90,11.86,15.33,-2.29,0.00,51.31,29.04,18.24,41.55
5.46,4.43,20.27,9.86,0.10,0.00,42.94,24.54,12.96,-12.41,9.72,11.86,15.17,-2.29,0.00,51.31,29.83,18.24,41.55
5.54,4.44,20.14,9.87,0.57,0.00,47.77,24.47,13.37,-12.37,9.70,11.86,15.16,-2.29,0.00,51.31,29.68,18.24,41.55
5.63,4.48,20.14,9.90,0.57,0.00,47.77,24.25,13.37,-12.37,9.69,10.80,15.14,-2.80,0.00,49.72,28.77,19.31,41.09
5.72,4.48,20.30,9.89,0.69,0.00,47.66,23.48,13.37,-12.37,9.68,10.95,15.10,-2.91,0.00,49.60,27.80,19.31,41.09
5.81,4.58,20.30,9.95,0.69,0.00,47.66,23.09,11.29,-12.22,9.70,10.95,15.11,-2.91,0.00,49.60,26.98,19.31,41.09
5.89,4.69,19.55,10.02,1.36,0.00,41.96,22.96,12.27,-12.60,9.80,10.95,15.19,-2.91,0.00,49.60,26.54,19.31,41.09
5.97,4.71,19.45,10.04,1.19,0.00,41.21,22.91,12.23,-12.29,9.91,10.95,15.28,-2.91,0.00,49.60,26.15,19.31,41.09
6.12,4.74,19.37,10.08,1.44,0.00,40.57,22.90,12.23,-12.29,9.99,10.85,15.34,-3.06,0.00,48.99,26.08,19.31,41.09
6.21,4.59,19.37,9.95,1.44,0.00,40.57,23.98,12.23,-12.29,9.57,10.85,15.02,-3.06,0.00,48.99,27.76,24.20,-44.59
6.35,3.76,19.37,9.90,1.44,0.00,40.57,26.95,24.87,-7.36,8.58,10.85,14.61,-3.06,0.00,48.99,31.71,24.20,-44.59
6.44,2.06,19.37,11.11,1.44,0.00,40.57,40.30,24.87,-7.36,6.02,10.85,14.42,-3.06,0.00,48.99,41.22,47.36,-50.57
6.52,1.06,19.37,11.73,1.44,0.00,40.57,49.13,52.69,-7.69,4.68,10.85,14.53,-3.06,0.00,48.99,46.06,47.36,-50.57
