Timestamp,Kinect_LeftShoulder_Ext.-Flex.,IMU_LeftShoulder_Ext.-Flex.,Kinect_LeftShoulder_Abd.-Add.,IMU_LeftShoulder_Abd.-Add.,Kinect_LeftShoulder_Int.-Ext.,IMU_LeftShoulder_Int.-Ext.,Kinect_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Ext.-Flex.,IMU_LeftElbow_Pro.-Sup.,Kinect_RightShoulder_Ext.-Flex.,IMU_RightShoulder_Ext.-Flex.,Kinect_RightShoulder_Abd.-Add.,IMU_RightShoulder_Abd.-Add.,Kinect_RightShoulder_Int.-Ext.,IMU_RightShoulder_Int.-Ext.,Kinect_RightElbow_Ext.-Flex.,IMU_RightElbow_Ext.-Flex.,IMU_RightElbow_Pro.-Sup.
0.14,12.17,0.00,20.18,0.00,50.15,0.00,41.47,0.00,0.00,21.58,0.00,23.74,0.00,47.47,10.00,42.66,0.00,0.00
0.24,9.82,0.00,15.36,0.00,55.97,0.00,36.03,0.00,0.00,21.89,0.00,23.71,0.00,57.39,10.00,32.66,0.00,0.00
0.38,8.71,7.41,12.78,19.69,63.57,82.04,28.18,0.00,0.00,18.70,-172.59,21.42,160.31,59.57,103.31,30.43,0.00,0.00
0.51,9.22,7.41,12.99,19.69,67.33,82.04,23.70,0.00,0.00,17.32,-172.59,20.72,160.31,57.68,103.31,32.37,0.00,0.00
0.65,9.92,7.41,14.95,19.69,63.83,82.04,27.27,0.00,0.00,17.86,-172.59,21.25,160.31,59.79,103.31,30.52,0.00,0.00
0.78,9.71,7.41,14.67,19.69,63.85,82.04,26.93,0.00,0.00,18.64,-172.59,21.72,160.31,59.88,103.31,30.19,0.00,0.00
0.87,9.00,7.41,13.50,19.69,64.13,82.04,26.67,0.00,0.00,18.84,-172.59,22.22,160.31,60.74,103.31,29.27,0.00,0.00
0.97,9.15,7.41,13.43,19.69,64.81,82.04,26.34,0.00,0.00,18.69,-172.59,22.02,160.31,61.35,103.31,28.65,0.00,0.00
1.11,9.67,7.41,14.16,19.69,64.98,82.04,26.38,0.00,0.00,17.71,-172.59,20.59,160.31,60.93,103.31,29.15,0.00,0.00
1.20,10.15,7.41,14.90,19.69,65.01,82.04,26.07,0.00,0.00,16.34,-172.59,19.18,160.31,60.40,103.31,30.08,0.00,0.00
1.31,9.67,7.41,14.60,19.69,65.96,82.04,25.06,0.00,0.00,16.19,-172.59,19.09,160.31,61.57,103.31,28.65,0.00,0.00
1.41,9.30,7.41,14.09,19.69,66.37,82.04,24.67,0.00,0.00,16.12,-172.59,19.14,160.31,61.62,103.31,28.58,0.00,0.00
1.51,9.15,7.41,13.83,19.69,66.58,82.04,24.50,0.00,0.00,16.16,-172.59,19.16,160.31,61.76,103.31,28.45,0.00,0.00
1.60,9.20,7.41,13.93,19.69,66.66,82.04,24.45,0.00,0.00,16.28,-172.59,19.28,160.31,61.70,103.31,28.49,0.00,0.00
1.69,9.17,7.41,13.96,19.69,66.68,82.04,24.46,0.00,0.00,16.35,-172.59,19.42,160.31,62.01,103.31,28.13,0.00,0.00
1.80,9.11,7.41,13.88,19.69,66.67,82.04,24.44,0.00,0.00,16.40,-172.59,19.51,160.31,62.23,103.31,27.86,0.00,0.00
1.88,8.98,7.41,13.77,19.69,66.69,82.04,24.45,0.00,0.00,16.45,-172.59,19.60,160.31,62.32,103.31,27.76,0.00,0.00
1.97,8.89,7.41,13.76,19.69,66.43,82.04,24.71,0.00,0.00,16.51,-172.59,19.68,160.31,62.39,103.31,27.67,0.00,0.00
2.06,8.82,7.41,13.69,19.69,66.39,82.04,24.52,0.00,0.00,16.60,-172.59,19.79,160.31,62.28,103.31,27.78,0.00,0.00
2.14,8.78,7.41,13.69,19.69,67.13,82.04,23.58,0.00,0.00,16.67,-172.59,19.82,160.31,62.00,103.31,28.06,0.00,0.00
2.24,8.79,7.41,13.69,19.69,68.59,82.04,21.93,0.00,0.00,16.48,-172.59,19.66,160.31,61.84,103.31,28.23,0.00,0.00
2.33,8.91,7.41,13.73,19.69,67.74,82.04,22.72,0.00,0.00,16.46,-172.59,19.69,160.31,61.69,103.31,28.37,0.00,0.00
2.44,8.76,7.41,13.46,19.69,67.71,82.04,22.79,0.00,0.00,16.30,-172.59,19.60,160.31,61.70,103.31,28.35,0.00,0.00
2.53,8.70,7.41,13.35,19.69,67.77,82.04,22.80,0.00,0.00,16.19,-172.59,19.47,160.31,61.58,103.31,28.47,0.00,0.00
2.61,8.69,7.41,13.22,19.69,67.60,82.04,23.01,0.00,0.00,16.02,-172.59,19.30,160.31,61.74,103.31,28.31,0.00,0.00
2.70,9.96,7.41,14.48,19.69,67.00,82.04,23.65,0.00,0.00,15.88,-172.59,19.30,160.31,61.73,103.31,28.34,0.00,0.00
2.81,10.01,7.41,14.51,19.69,67.07,82.04,23.62,0.00,0.00,16.95,-172.59,19.61,160.31,60.89,103.31,29.11,0.00,0.00
2.89,9.74,7.41,14.20,19.69,67.33,82.04,23.36,0.00,0.00,16.68,-172.59,19.53,160.31,61.33,103.31,28.69,0.00,0.00
2.98,9.51,7.41,14.04,19.69,67.59,82.04,23.22,0.00,0.00,16.55,-172.59,19.44,160.31,61.61,103.31,28.44,0.00,0.00
3.08,9.15,7.41,13.75,19.69,67.25,82.04,23.81,0.00,0.00,16.26,-172.59,19.10,160.31,61.78,103.31,28.27,0.00,0.00
3.17,9.13,7.41,13.77,19.69,67.30,82.04,23.99,0.00,0.00,15.78,-172.59,18.61,160.31,62.03,103.31,28.03,0.00,0.00
3.25,9.95,7.41,14.75,19.69,66.81,82.04,24.63,0.00,0.00,15.42,-172.59,18.32,160.31,62.15,103.31,27.93,0.00,0.00
3.37,10.03,7.41,14.98,19.69,66.68,82.04,24.77,0.00,0.00,15.25,-172.59,18.15,160.31,62.24,103.31,27.85,0.00,0.00
